,Ath Bilbao scored,Ath Bilbao received,Celta scored,Celta received,Getafe scored,Getafe received,Real Madrid scored,Real Madrid received,La Coruna scored,La Coruna received,Valencia scored,Valencia received,Osasuna scored,Osasuna received,Sevilla scored,Sevilla received,Ath Madrid scored,Ath Madrid received,Alaves scored,Alaves received,Barcelona scored,Barcelona received,Zaragoza scored,Zaragoza received,Cadiz scored,Cadiz received,Villarreal scored,Villarreal received,Mallorca scored,Mallorca received,Betis scored,Betis received,Espanol scored,Espanol received,Malaga scored,Malaga received,Sociedad scored,Sociedad received,Santander scored,Santander received
0,3,0,2,0,2,0,2,1,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,0,1,0,2,0,2,0,3,0,1
1,1,1,3,2,1,1,2,3,1,0,2,2,0,1,1,1,0,1,1,2,2,0,2,2,1,0,1,1,0,2,1,0,2,1,1,2,2,1,0,1
2,1,2,0,1,4,3,0,1,2,2,2,2,1,0,0,1,2,1,3,4,1,2,0,0,1,1,1,1,5,2,0,0,1,0,2,1,2,5,1,0
3,1,3,2,1,1,1,3,1,1,1,2,2,1,3,0,0,2,3,0,0,2,2,3,1,0,0,1,2,1,1,1,1,0,1,0,0,3,2,1,0
4,0,0,2,1,1,0,3,0,1,1,2,1,2,0,1,2,0,1,0,3,4,1,1,1,0,2,2,1,1,4,1,4,1,2,4,1,1,2,0,0
5,1,3,1,1,2,1,4,0,0,1,1,2,1,0,1,1,2,0,2,1,2,2,2,2,1,1,3,1,0,4,1,1,1,1,0,2,1,1,1,2
6,0,1,0,2,0,1,3,0,3,3,2,1,2,0,1,0,0,3,1,1,3,3,0,1,2,0,1,1,0,0,1,0,0,2,1,2,1,0,0,0
7,0,1,1,0,5,2,1,2,0,2,2,1,0,3,2,0,1,0,0,2,3,0,2,5,1,0,3,0,0,3,0,5,0,1,5,0,2,0,0,1
8,1,1,1,1,0,1,2,0,1,0,1,1,2,0,1,1,1,1,0,0,5,0,1,1,0,0,1,1,1,1,0,2,0,2,1,1,0,5,1,1
9,1,1,2,1,1,3,1,0,1,1,0,1,2,1,0,0,0,0,1,2,3,1,0,1,1,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1
10,2,3,0,1,0,3,1,3,3,1,0,2,3,2,2,0,3,0,1,1,2,0,1,1,0,3,3,2,1,0,2,3,1,1,0,2,3,0,1,1
11,0,2,2,1,0,0,0,3,3,0,1,0,0,0,1,0,1,2,2,0,3,0,0,0,0,1,0,0,0,2,0,1,2,0,3,1,1,3,0,3
12,1,0,0,2,3,2,2,2,0,2,2,0,3,2,2,0,1,1,2,3,4,1,0,2,1,1,2,0,0,1,1,1,1,1,2,3,2,2,1,4
13,1,1,2,1,0,1,1,0,2,0,3,1,2,1,0,2,1,1,0,3,2,0,2,1,1,2,0,2,3,0,1,2,1,3,1,2,2,2,2,2
14,1,1,0,1,1,2,2,0,1,0,1,1,1,0,1,2,1,1,1,1,2,1,1,0,0,1,3,1,0,1,0,0,0,0,0,2,1,3,2,1
15,2,0,0,3,1,2,1,1,3,0,1,0,1,1,3,2,2,2,0,1,3,1,2,2,1,3,2,1,2,2,0,2,2,2,1,1,2,3,1,1
16,2,3,0,2,1,0,1,2,1,2,3,0,2,1,0,1,1,2,0,3,2,0,3,2,0,2,0,0,0,3,3,0,2,1,0,0,2,0,2,1
17,1,2,1,0,0,1,0,0,2,1,0,0,1,1,3,1,0,0,0,2,2,1,2,0,1,0,0,0,1,1,1,1,1,2,1,3,0,1,1,1
