,Ath Madrid scored,Ath Madrid received,Valencia scored,Valencia received,Almeria scored,Almeria received,La Coruna scored,La Coruna received,Getafe scored,Getafe received,Numancia scored,Numancia received,Espanol scored,Espanol received,Recreativo scored,Recreativo received,Osasuna scored,Osasuna received,Santander scored,Santander received,Sevilla scored,Sevilla received,Villarreal scored,Villarreal received,Real Madrid scored,Real Madrid received,Sp Gijon scored,Sp Gijon received,Barcelona scored,Barcelona received,Betis scored,Betis received,Valladolid scored,Valladolid received,Ath Bilbao scored,Ath Bilbao received,Mallorca scored,Mallorca received,Malaga scored,Malaga received
0,4.0,0.0,3.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,4.0
1,2.5,1.0,2.5,1.0,2.5,1.5,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.5,2.0,1.0,0.5,2.5,2.5,2.0,3.0,0.5,1.0,0.0,0.5,1.0,1.0,0.5,1.5,0.5,2.0,0.0,2.0
2,3.0,0.6666666666666666,2.0,0.6666666666666666,2.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.6666666666666667,2.0,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.6666666666666667,4.0,2.3333333333333335,1.0,0.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.0,0.3333333333333333,1.3333333333333333,0.0,1.6666666666666667
3,2.3333333333333335,1.0,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,1.0,0.3333333333333333,2.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.6666666666666667,2.0,1.0,1.6666666666666667,0.3333333333333333,4.333333333333333,1.3333333333333333,1.6666666666666667,5.666666666666667,3.3333333333333335,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.0,1.0
4,2.0,0.6666666666666666,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.0,1.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333,2.0,0.0,0.3333333333333333,0.3333333333333333,2.0,1.0,0.0,1.6666666666666667,0.3333333333333333,3.6666666666666665,0.6666666666666666,0.6666666666666666,4.666666666666667,3.6666666666666665,1.3333333333333333,1.0,1.6666666666666667,1.0,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333
5,1.0,2.6666666666666665,2.3333333333333335,0.6666666666666666,1.0,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,1.0,1.0,2.0,0.3333333333333333,2.0,0.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,2.3333333333333335,0.0,1.6666666666666667,0.3333333333333333,3.6666666666666665,1.3333333333333333,1.0,2.6666666666666665,3.6666666666666665,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.0,1.0,0.3333333333333333,2.0,1.3333333333333333,1.0,2.0,1.0
6,0.6666666666666666,3.0,3.0,0.6666666666666666,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,1.6666666666666667,1.0,1.3333333333333333,0.3333333333333333,2.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,2.0,0.0,1.0,0.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,3.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.0,2.0,0.6666666666666666,2.0,2.6666666666666665,0.6666666666666666
7,2.0,4.0,2.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,0.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.3333333333333333,2.0,1.6666666666666667,2.3333333333333335,1.6666666666666667,2.3333333333333335,0.3333333333333333,4.0,0.3333333333333333,2.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,2.6666666666666665,1.0,1.6666666666666667,2.3333333333333335,0.3333333333333333
8,2.3333333333333335,2.0,2.3333333333333335,1.6666666666666667,0.3333333333333333,2.3333333333333335,1.0,1.0,1.0,1.0,1.0,2.6666666666666665,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,2.6666666666666665,1.6666666666666667,2.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,3.3333333333333335,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,1.0,2.6666666666666665,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667
9,2.0,1.3333333333333333,2.0,1.6666666666666667,0.6666666666666666,2.6666666666666665,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.6666666666666665,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,0.0,1.0,2.0,1.3333333333333333,1.0,1.3333333333333333,3.3333333333333335,2.0,2.6666666666666665,2.0,2.0,0.6666666666666666,5.0,0.3333333333333333,2.0,1.6666666666666667,1.0,3.0,2.0,3.3333333333333335,2.0,1.6666666666666667,1.6666666666666667,2.6666666666666665
