,Valenciennes scored,Valenciennes received,Nancy scored,Nancy received,Lyon scored,Lyon received,Bordeaux scored,Bordeaux received,Le Mans scored,Le Mans received,Caen scored,Caen received,Monaco scored,Monaco received,St Etienne scored,St Etienne received,Lorient scored,Lorient received,Sochaux scored,Sochaux received,Lille scored,Lille received,Marseille scored,Marseille received,Paris SG scored,Paris SG received,Strasbourg scored,Strasbourg received,Metz scored,Metz received,Nice scored,Nice received,Lens scored,Lens received,Toulouse scored,Toulouse received,Auxerre scored,Auxerre received,Rennes scored,Rennes received
0,3,1,2,0,2,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,0,2,0,2
1,1,3,1,0,0,1,2,0,3,1,0,1,1,2,3,1,2,1,1,3,2,1,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,2,0,0
2,2,1,2,1,3,0,1,2,2,1,2,1,2,0,0,1,3,1,1,1,1,1,1,2,1,3,3,0,0,2,1,2,0,3,1,2,0,3,1,0
3,0,0,2,2,1,2,0,0,1,1,0,1,3,0,0,0,2,1,0,3,1,1,2,2,0,0,3,1,0,0,1,1,0,0,1,3,1,0,1,1
4,3,1,4,1,1,0,2,2,1,3,1,2,3,1,0,1,2,2,1,3,1,1,2,1,1,1,2,1,0,2,1,1,1,2,1,1,1,4,2,0
5,3,1,1,1,2,1,1,0,0,2,1,1,1,0,2,0,1,3,1,2,0,1,0,2,2,0,0,2,0,1,2,0,1,1,1,1,0,2,2,0
6,0,0,2,0,3,2,2,1,2,3,2,2,1,2,0,2,0,0,2,2,2,2,1,1,1,1,0,0,0,0,1,0,0,1,2,0,0,2,2,2
7,0,2,0,1,5,1,1,1,2,0,0,3,1,2,3,0,0,1,0,0,1,1,1,2,2,1,0,0,1,5,0,2,1,0,2,1,2,0,1,0
8,1,0,2,0,1,1,2,0,1,0,1,2,0,1,0,3,0,2,2,0,1,1,0,2,0,2,0,1,2,1,3,0,1,1,1,1,2,0,0,2
9,0,3,3,1,3,1,1,3,2,0,0,0,1,3,1,0,0,0,0,1,3,0,0,1,1,3,2,1,1,2,0,2,2,0,1,0,0,2,3,1
10,0,0,1,1,3,1,1,1,0,3,1,0,1,3,2,0,3,5,1,1,0,1,1,0,0,0,1,1,1,3,3,1,0,1,0,2,5,3,3,0
11,1,2,0,0,3,2,2,1,1,1,0,0,0,0,0,0,0,0,2,1,0,3,1,2,2,3,3,0,0,0,0,0,1,2,1,1,0,0,2,1
12,0,2,1,0,2,0,0,1,2,3,3,2,1,0,2,3,0,0,0,0,1,0,0,0,2,1,1,2,0,0,0,0,3,2,0,0,0,1,0,1
13,3,0,0,0,1,2,3,0,3,2,0,3,3,0,2,3,1,0,1,1,1,1,2,1,0,0,0,3,1,2,1,1,2,1,0,1,1,1,0,3
14,0,0,2,0,2,0,0,5,0,3,5,0,0,0,1,0,1,1,0,1,0,2,3,1,1,2,0,0,1,3,2,1,1,1,0,0,3,0,0,2
15,3,0,1,2,5,0,4,3,2,1,1,0,1,1,1,1,1,1,0,2,1,1,1,1,0,1,0,5,0,1,1,1,2,0,3,4,1,0,0,3
16,0,0,0,0,0,1,1,1,3,1,1,0,0,2,2,0,2,1,1,2,0,1,2,0,1,0,3,0,0,2,1,1,1,3,1,0,0,1,0,3
17,3,0,0,0,0,0,2,2,0,0,2,1,2,0,0,3,0,0,2,1,3,0,2,2,1,2,0,0,1,2,0,0,0,2,2,1,0,3,1,2
18,0,1,1,1,1,1,1,0,0,1,2,0,0,1,0,1,2,0,0,1,2,1,1,0,1,0,0,2,0,2,1,0,1,2,0,0,1,0,0,0
19,2,0,0,0,3,2,4,1,0,2,0,0,1,0,0,2,0,1,2,0,1,1,1,3,3,0,0,1,1,1,1,0,0,3,2,3,1,4,3,1
20,1,3,0,1,0,3,2,1,1,2,1,1,4,1,2,0,1,0,1,1,1,1,3,1,0,1,1,1,1,4,1,0,3,0,1,1,1,1,0,2
21,1,2,1,1,2,0,1,0,1,3,0,0,1,0,0,1,0,2,0,1,3,1,1,1,3,0,2,0,0,3,1,1,2,1,0,2,0,0,1,1
22,0,1,0,0,1,1,0,1,1,0,1,6,0,1,1,1,1,0,1,0,0,0,6,1,0,0,2,2,1,1,1,1,2,2,1,1,0,0,1,1
23,3,0,1,0,4,1,3,0,0,0,1,4,0,0,0,3,0,3,1,4,0,0,2,0,0,0,3,0,0,3,0,2,4,1,0,1,2,1,1,2
24,1,2,0,4,0,1,6,0,1,0,1,1,0,6,4,0,1,0,1,1,3,1,2,1,1,2,0,1,2,1,0,0,0,0,0,1,1,0,1,3
25,1,2,2,1,2,0,0,0,2,1,1,3,1,1,3,1,0,2,2,0,0,0,0,0,1,1,0,2,0,2,1,2,1,2,0,0,2,1,2,0
26,0,0,0,0,1,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,2,1,0,3,1,0,2,1,0,0,1,1,1,1,1,2,0,0
27,0,0,2,0,4,2,2,4,0,0,0,0,0,2,0,2,0,0,2,1,0,0,2,0,0,2,2,3,3,2,0,0,0,0,1,2,0,0,2,0
28,1,1,1,1,3,0,3,0,1,1,0,5,0,3,0,0,1,1,1,1,5,0,3,3,1,1,0,3,1,2,2,1,3,3,0,0,1,1,1,1
29,3,1,2,1,4,2,1,3,1,1,4,1,1,4,3,1,2,1,1,0,1,0,0,1,2,4,0,1,1,2,1,2,1,3,1,1,1,3,3,1
30,1,2,1,2,2,1,2,1,1,1,1,1,1,2,2,0,1,2,1,0,0,2,2,1,1,0,0,1,0,2,0,1,0,2,2,0,2,0,2,1
31,0,1,1,0,1,3,2,0,1,4,1,0,2,0,4,1,0,0,1,0,0,0,3,1,0,1,0,2,1,1,0,0,1,1,0,0,0,1,0,2
32,2,0,1,2,1,1,2,1,3,0,1,2,0,2,1,1,1,0,1,1,2,1,2,1,2,3,0,2,1,2,3,2,0,1,2,0,0,3,1,1
33,0,1,1,1,2,1,1,0,1,1,3,0,2,0,1,0,0,1,2,3,3,1,1,3,0,3,1,2,0,0,0,2,3,2,0,1,0,0,1,0
34,1,1,1,1,2,2,0,0,3,2,2,2,2,3,1,0,1,1,1,1,3,2,3,2,3,1,0,3,0,1,0,0,2,3,2,3,1,3,3,0
35,0,2,3,0,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,3,0,0,0,0,0,0,1,1,2,0,2,2
36,1,2,0,1,1,0,2,0,0,0,4,1,3,0,1,1,2,1,0,2,2,1,0,0,1,1,1,4,1,2,2,1,1,2,1,2,0,3,2,1
37,1,2,2,3,3,1,2,2,3,4,1,3,0,4,4,0,1,1,1,2,1,1,4,3,2,1,3,4,4,3,3,1,2,2,2,1,1,3,3,2
