,Inverness C scored,Inverness C received,Aberdeen scored,Aberdeen received,Celtic scored,Celtic received,Motherwell scored,Motherwell received,St Johnstone scored,St Johnstone received,Dundee United scored,Dundee United received,Partick scored,Partick received,Kilmarnock scored,Kilmarnock received,Ross County scored,Ross County received,Hibernian scored,Hibernian received,St Mirren scored,St Mirren received,Hearts scored,Hearts received
0,3,0,2,1,2,1,1,0,1,0,0,0,0,0,1,2,1,2,0,1,0,3,0,1
1,4,0,5,2,3,1,2,3,1,0,0,1,4,1,1,2,2,6,0,2,0,4,1,1
2,6,0,5,4,5,1,2,5,5,0,1,2,5,2,2,3,2,10,1,3,1,5,2,2
3,8,2,6,6,7,3,3,5,5,4,5,2,5,3,3,5,5,10,3,4,1,8,4,3
4,10,2,6,6,8,3,5,6,5,4,5,3,7,4,4,7,5,10,3,4,2,10,4,5
5,12,3,9,6,11,4,6,6,6,6,9,5,7,7,5,9,7,14,5,5,2,11,5,8
6,12,4,10,6,13,5,8,8,7,8,11,7,8,8,6,10,9,15,7,5,2,13,6,10
7,15,4,11,7,18,7,11,9,8,9,11,7,9,9,8,15,10,18,7,8,3,14,6,10
8,15,8,11,8,20,7,11,11,12,9,12,7,9,10,8,16,11,18,8,8,5,14,6,12
9,16,10,12,8,21,8,13,12,15,13,12,8,11,11,10,16,11,20,9,9,9,17,7,14
10,19,10,14,8,23,9,13,14,17,13,16,8,12,13,12,16,11,23,9,11,9,21,7,16
11,21,11,18,8,24,10,14,14,19,13,17,9,12,17,13,18,12,25,9,12,11,22,7,18
12,23,11,19,11,28,11,14,18,22,14,21,9,12,20,14,21,13,29,9,14,14,22,10,19
13,24,11,20,14,31,12,16,18,22,15,25,10,13,24,14,23,15,31,9,14,14,22,12,21
14,24,11,22,14,36,12,16,23,22,17,29,11,14,25,16,24,16,33,10,15,14,22,13,25
15,26,11,24,14,37,12,18,24,23,17,33,12,14,26,17,28,17,35,10,16,14,24,13,27
16,29,15,28,17,39,12,21,24,23,17,34,12,15,28,19,29,17,36,10,16,14,27,13,29
17,29,15,28,18,40,12,22,24,23,18,35,16,15,28,23,29,17,38,12,16,18,28,13,33
18,29,16,29,18,41,12,27,25,26,18,35,19,16,33,23,32,17,39,15,16,19,29,14,34
19,30,18,31,19,42,12,31,25,26,22,36,21,16,34,25,33,19,40,17,17,20,31,15,36
20,30,20,32,19,46,12,33,25,26,23,38,23,18,34,25,34,20,40,19,19,20,35,15,38
21,31,21,33,19,50,12,34,25,28,23,39,24,21,37,25,38,23,43,19,20,20,37,15,39
22,32,21,33,20,53,12,34,28,31,26,39,27,22,38,26,39,26,43,21,23,23,39,18,42
23,32,23,35,22,57,12,36,30,32,26,39,28,22,38,28,39,27,45,21,27,23,39,20,43
24,32,23,37,23,58,14,36,33,35,26,40,29,23,39,30,41,29,47,21,27,24,41,22,44
25,32,23,38,23,61,14,40,36,35,29,43,31,26,43,32,44,30,49,23,28,24,42,22,44
26,33,23,39,26,63,14,41,39,35,30,46,32,29,44,33,45,32,50,24,29,25,44,22,46
27,33,28,40,26,68,14,45,40,35,31,49,33,30,45,33,47,33,51,25,32,27,44,23,50
28,34,30,41,27,71,14,47,41,35,32,52,35,33,46,33,50,34,51,26,35,29,47,24,51
29,35,30,43,28,74,14,49,42,37,32,54,36,33,47,34,52,35,53,26,37,29,50,25,53
30,36,32,44,29,79,15,52,45,38,32,56,37,34,52,38,54,36,54,29,40,29,51,27,57
31,38,34,45,30,80,16,53,47,39,33,57,38,35,53,40,55,37,55,29,42,31,53,29,57
32,40,35,47,30,82,16,55,50,41,34,57,40,37,57,41,57,38,57,29,44,34,55,33,59
