,Galatasaray scored,Galatasaray received,Kasimpasa scored,Kasimpasa received,Besiktas scored,Besiktas received,Trabzonspor scored,Trabzonspor received,Akhisar Belediyespor scored,Akhisar Belediyespor received,Buyuksehyr scored,Buyuksehyr received,Fenerbahce scored,Fenerbahce received,Genclerbirligi scored,Genclerbirligi received,Karabukspor scored,Karabukspor received,Konyaspor scored,Konyaspor received,Bursaspor scored,Bursaspor received,Alanyaspor scored,Alanyaspor received,Osmanlispor scored,Osmanlispor received,Antalyaspor scored,Antalyaspor received,Kayserispor scored,Kayserispor received,Yeni Malatyaspor scored,Yeni Malatyaspor received,Goztep scored,Goztep received,Sivasspor scored,Sivasspor received
0,2.3333333333333335,1.0,0.3333333333333333,2.6666666666666665,4.0,0.3333333333333333,0.6666666666666666,1.0,2.6666666666666665,1.0,1.0,0.3333333333333333,2.0,1.0,1.3333333333333333,1.0,1.6666666666666667,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.3333333333333335,0.3333333333333333,2.6666666666666665,3.0,0.6666666666666666,1.0,1.3333333333333333,,,,,,
1,2.6666666666666665,1.3333333333333333,0.6666666666666666,2.0,3.3333333333333335,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,1.0,1.3333333333333333,2.6666666666666665,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,0.6666666666666666,3.0,3.0,1.0,1.0,1.0,,,,,,
2,2.6666666666666665,0.6666666666666666,1.0,1.6666666666666667,2.6666666666666665,1.0,1.6666666666666667,2.3333333333333335,2.0,2.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.0,1.6666666666666667,1.0,1.6666666666666667,1.0,3.0,2.3333333333333335,1.3333333333333333,1.0,1.0,,,,,,
3,2.3333333333333335,0.6666666666666666,2.0,2.0,1.6666666666666667,1.0,2.3333333333333335,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,2.0,0.6666666666666666,2.6666666666666665,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,2.0,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667
4,2.0,0.3333333333333333,1.3333333333333333,2.0,1.6666666666666667,0.3333333333333333,2.3333333333333335,2.0,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.6666666666666667,2.6666666666666665,1.6666666666666667,1.3333333333333333,2.6666666666666665,0.6666666666666666,1.3333333333333333,0.3333333333333333,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.6666666666666665,0.6666666666666666,1.3333333333333333,2.0,0.6666666666666666,1.6666666666666667,2.6666666666666665,2.6666666666666665,1.3333333333333333,1.3333333333333333,2.3333333333333335
5,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.6666666666666665,2.3333333333333335,0.6666666666666666,2.0,1.6666666666666667,1.6666666666666667,2.6666666666666665,1.6666666666666667,1.3333333333333333,2.0,1.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.3333333333333335,2.3333333333333335,0.6666666666666666,3.0,1.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,3.0,2.6666666666666665,1.3333333333333333,2.0,2.3333333333333335
6,2.3333333333333335,1.0,0.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,2.6666666666666665,1.0,1.0,1.3333333333333333,1.3333333333333333,2.0,1.0,1.3333333333333333,2.3333333333333335,1.6666666666666667,3.0,1.0,1.0,2.0,2.3333333333333335,3.0,2.6666666666666665,1.6666666666666667,2.3333333333333335,1.3333333333333333,1.6666666666666667,2.0,0.6666666666666666,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.0,3.0,2.0
7,2.3333333333333335,1.0,1.0,2.3333333333333335,1.3333333333333333,2.0,2.0,4.0,2.3333333333333335,1.0,1.3333333333333333,1.0,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.0,1.0,1.6666666666666667,2.0,3.0,2.0,1.3333333333333333,2.0,1.6666666666666667,2.0,1.3333333333333333,1.0,2.0,2.0,2.3333333333333335,1.6666666666666667,2.6666666666666665,2.0
8,1.6666666666666667,0.6666666666666666,1.0,2.6666666666666665,1.3333333333333333,1.6666666666666667,1.0,3.0,3.3333333333333335,1.3333333333333333,1.6666666666666667,1.0,1.0,0.6666666666666666,2.0,2.6666666666666665,1.0,2.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.6666666666666665,2.0,2.3333333333333335,1.0,1.3333333333333333,2.3333333333333335,1.6666666666666667,1.0,1.0,1.3333333333333333,2.3333333333333335,2.0,2.0,1.0
9,1.0,0.6666666666666666,2.0,2.0,1.3333333333333333,1.3333333333333333,1.0,2.6666666666666665,3.3333333333333335,2.0,1.6666666666666667,1.0,2.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.3333333333333335,0.3333333333333333,1.6666666666666667,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.0,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.0,1.0,2.3333333333333335,2.3333333333333335,1.3333333333333333,0.6666666666666666
10,2.0,1.0,2.0,1.6666666666666667,2.0,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,3.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,3.0,0.3333333333333333,2.0,1.0,1.3333333333333333,2.0,0.6666666666666666,2.6666666666666665,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,3.0,1.0,0.3333333333333333
