,Club Brugge scored,Club Brugge received,Anderlecht scored,Anderlecht received,Genk scored,Genk received,Mouscron scored,Mouscron received,Westerlo scored,Westerlo received,Lokeren scored,Lokeren received,FC Brussels scored,FC Brussels received,Germinal scored,Germinal received,Lierse scored,Lierse received,Charleroi scored,Charleroi received,Cercle Brugge scored,Cercle Brugge received,Roeselare scored,Roeselare received,Standard scored,Standard received,Beveren scored,Beveren received,Bergen scored,Bergen received,St Truiden scored,St Truiden received,Waregem scored,Waregem received,Gent scored,Gent received
0,5,0,4,2,3,1,2,1,2,1,2,1,1,0,1,0,0,0,0,0,1,2,1,2,1,2,0,1,0,1,2,4,1,3,0,5
1,2,3,1,0,3,0,3,1,3,0,0,0,1,0,0,1,0,3,2,1,0,0,3,2,1,2,0,3,2,0,0,2,0,1,1,3
2,2,0,4,3,1,1,2,2,3,4,1,1,2,2,2,1,1,2,2,1,1,2,2,2,1,1,0,2,1,2,2,2,2,1,1,1
3,0,1,1,0,1,0,1,3,1,1,2,2,1,0,0,2,0,1,1,2,0,1,2,2,1,1,3,1,1,1,2,0,1,1,2,1
4,0,0,1,1,3,1,1,1,1,0,2,0,1,2,2,1,1,3,2,1,2,1,1,2,3,1,0,2,0,0,0,1,1,2,1,3
5,3,2,2,0,3,3,0,1,0,0,0,2,1,2,0,0,1,2,2,2,2,1,3,3,2,1,2,2,1,0,2,3,1,1,1,1
6,1,0,1,1,1,0,1,0,1,0,0,2,0,1,0,1,1,4,1,1,0,1,2,4,1,0,0,1,2,0,0,1,4,2,4,1
7,2,1,1,4,4,1,2,6,1,2,0,1,0,1,6,2,0,2,2,1,1,0,2,0,1,2,1,0,1,2,1,0,0,1,2,1
8,1,1,4,0,5,1,4,0,0,4,0,0,1,1,0,0,0,1,2,1,0,1,1,2,2,1,1,0,1,5,1,2,0,4,1,0
9,5,1,2,0,2,1,1,5,4,1,1,4,3,3,1,1,0,2,1,1,0,1,1,0,3,0,0,3,0,0,1,2,0,0,3,3
10,2,3,0,0,4,0,1,1,2,1,3,2,1,1,0,4,0,0,1,2,2,2,0,2,0,0,2,2,0,0,0,3,3,0,2,0
11,2,0,2,0,1,0,1,1,0,1,1,1,1,1,1,1,0,4,0,2,0,2,1,1,3,2,1,0,2,3,4,0,1,1,0,1
12,0,0,1,2,0,0,0,1,2,2,0,0,0,0,3,2,2,3,1,0,3,0,2,1,1,2,1,2,0,3,2,1,2,2,2,1
13,4,1,3,2,2,2,2,2,2,0,0,0,2,2,1,3,0,2,0,0,0,2,2,3,3,1,2,2,0,1,2,0,1,4,1,0
14,2,1,1,1,1,0,0,0,0,3,0,1,0,2,2,1,1,2,2,0,1,2,2,1,3,0,1,1,1,2,1,3,0,0,3,1
15,4,4,1,0,1,4,2,2,0,0,0,2,0,1,0,3,2,2,4,1,0,0,1,1,4,4,0,1,1,0,1,1,2,0,3,0
16,0,1,4,1,3,1,0,2,0,2,0,1,1,3,1,1,1,0,0,1,1,0,1,1,2,0,1,2,1,4,2,1,1,0,2,0
17,0,0,2,0,2,2,1,2,0,2,1,3,1,1,1,1,2,1,1,2,2,1,2,0,3,1,1,1,1,1,0,2,2,2,0,0
18,0,1,3,1,3,0,0,3,2,0,2,0,2,0,1,3,0,3,2,5,0,2,1,0,5,2,0,2,0,1,1,0,0,2,3,0
19,2,0,1,0,1,2,1,2,0,1,1,3,2,2,1,2,1,0,0,0,0,0,2,1,2,1,0,2,2,1,2,2,0,1,3,1
20,2,2,2,2,3,0,4,2,2,1,1,1,2,1,3,2,1,2,1,0,0,3,1,1,1,3,2,4,1,2,2,3,3,1,0,1
21,0,1,2,1,3,1,1,2,2,0,2,3,0,3,3,0,2,3,3,1,2,0,1,3,3,2,3,2,1,0,0,2,0,2,1,3
22,1,0,1,1,3,0,2,2,1,1,1,1,0,3,1,1,0,2,2,1,2,0,0,3,3,0,1,2,2,2,0,1,3,2,2,3
23,0,4,3,2,5,0,1,1,1,1,0,1,1,1,4,0,0,4,2,3,0,2,3,1,2,0,0,5,1,0,1,1,1,3,4,0
24,2,0,1,1,1,1,1,0,0,2,1,1,0,0,0,1,3,1,1,0,0,0,1,3,0,1,1,2,0,1,1,1,2,1,1,0
25,4,1,0,0,0,5,0,1,1,0,2,1,1,4,1,2,1,1,1,1,2,0,2,3,3,2,1,1,5,0,1,1,0,0,0,2
26,1,2,4,1,2,0,2,1,1,1,1,1,1,1,3,3,1,4,3,3,1,1,1,1,0,0,0,0,2,1,0,2,1,2,1,1
27,2,2,1,0,1,2,2,2,0,1,2,2,2,2,2,1,1,1,1,0,1,1,1,3,0,1,1,1,1,1,2,2,2,2,3,1
28,1,1,1,0,3,1,1,1,1,3,1,1,6,2,2,0,0,0,1,1,0,1,2,6,1,0,1,2,0,1,0,0,0,2,2,1
29,0,1,1,0,1,0,2,1,4,2,0,0,0,0,2,3,3,2,1,2,0,1,2,2,3,0,2,2,1,0,0,3,2,4,0,1
30,1,2,5,0,3,2,2,3,1,1,3,4,2,0,2,2,1,1,4,3,0,1,0,5,2,2,0,2,1,4,1,0,2,1,4,1
31,4,0,8,1,1,0,3,0,1,1,0,1,0,1,1,0,0,4,1,0,0,1,1,6,1,1,1,8,6,1,0,1,0,3,1,0
32,0,1,6,0,0,2,3,3,1,4,1,1,0,6,2,1,3,3,2,0,4,1,3,2,1,0,0,0,0,0,2,3,1,1,1,2
33,3,3,1,3,1,3,2,0,1,1,1,4,3,1,3,0,4,1,2,1,3,3,0,3,0,2,2,3,3,1,3,2,1,2,1,1
