,VVV Venlo scored,VVV Venlo received,PSV Eindhoven scored,PSV Eindhoven received,Twente scored,Twente received,Feyenoord scored,Feyenoord received,Heracles scored,Heracles received,Heerenveen scored,Heerenveen received,Ajax scored,Ajax received,Vitesse scored,Vitesse received,AZ Alkmaar scored,AZ Alkmaar received,Utrecht scored,Utrecht received,Waalwijk scored,Waalwijk received,Sparta Rotterdam scored,Sparta Rotterdam received,FC Emmen scored,FC Emmen received,Groningen scored,Groningen received,Den Haag scored,Den Haag received,For Sittard scored,For Sittard received,Zwolle scored,Zwolle received,Willem II scored,Willem II received
0,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,1.0,2.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.0,2.3333333333333335,1.0,1.3333333333333333,1.6666666666666667,2.0,2.6666666666666665,0.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,2.0,2.3333333333333335,2.0,2.6666666666666665,2.3333333333333335,0.3333333333333333,1.6666666666666667,0.6666666666666666,2.0,0.6666666666666666,1.0,1.6666666666666667,2.0,1.6666666666666667,2.3333333333333335
1,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.0,2.3333333333333335,2.0,2.0,1.0,2.0,1.3333333333333333,2.3333333333333335,0.3333333333333333,2.3333333333333335,1.3333333333333333,1.3333333333333333,2.6666666666666665,2.0,2.6666666666666665,1.6666666666666667,2.3333333333333335,0.6666666666666666,1.3333333333333333,0.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.0,1.6666666666666667,2.3333333333333335,1.0
2,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,2.0,0.3333333333333333,1.0,0.0,1.6666666666666667,0.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,2.3333333333333335,0.3333333333333333,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666
3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
