,Barcelona scored,Barcelona received,Celta scored,Celta received,Real Madrid scored,Real Madrid received,Villarreal scored,Villarreal received,Malaga scored,Malaga received,Granada scored,Granada received,Eibar scored,Eibar received,Espanol scored,Espanol received,Sevilla scored,Sevilla received,Almeria scored,Almeria received,Valencia scored,Valencia received,Ath Madrid scored,Ath Madrid received,Vallecano scored,Vallecano received,Ath Bilbao scored,Ath Bilbao received,Sociedad scored,Sociedad received,Cordoba scored,Cordoba received,Elche scored,Elche received,Levante scored,Levante received,Getafe scored,Getafe received,La Coruna scored,La Coruna received
0,3,0,3,1,2,0,2,0,1,0,2,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,2,0,3,0,2,1,3,1,2
1,4,0,4,2,4,4,2,1,1,3,3,2,2,2,2,3,3,2,1,2,4,1,2,1,2,2,3,1,4,3,1,3,1,4,0,5,2,3,3,4
2,6,0,6,4,5,6,2,1,1,3,3,2,2,3,3,6,5,2,2,3,7,2,4,2,4,5,3,3,6,5,2,4,4,6,0,5,2,5,4,4
3,11,0,8,6,13,8,6,3,3,5,4,2,4,3,5,8,8,3,4,4,10,2,6,4,6,9,3,4,7,7,3,7,4,8,0,10,2,8,6,12
4,11,0,10,7,18,9,7,4,3,5,4,3,5,4,7,8,9,3,4,5,13,2,7,4,8,10,4,6,7,8,3,10,5,13,1,10,2,10,7,14
5,17,0,11,7,20,9,7,6,3,6,4,9,5,4,7,8,9,7,5,5,14,3,11,4,10,10,4,6,8,9,3,10,5,14,1,12,3,10,7,15
6,19,0,12,10,25,9,10,7,5,7,5,11,8,7,9,8,13,8,7,7,17,4,12,7,10,12,4,11,8,11,4,11,7,16,4,15,4,11,8,19
7,22,0,13,11,30,9,12,7,7,8,5,12,8,10,9,10,15,8,7,9,17,7,14,7,11,12,5,12,9,13,5,13,7,18,4,20,6,12,11,19
8,23,3,16,11,33,10,13,9,11,8,6,13,9,11,9,10,17,9,7,10,20,8,15,7,11,16,6,12,10,14,6,14,8,21,4,23,6,13,11,19
9,23,4,17,11,37,10,14,12,12,8,6,17,12,13,10,12,17,10,8,12,23,9,19,9,13,19,7,12,10,15,8,18,10,22,6,24,8,14,12,21
10,25,5,17,11,42,11,15,13,14,9,6,17,13,15,11,13,18,11,9,14,23,9,20,11,14,24,7,12,12,16,8,18,10,22,7,25,8,14,12,21
11,30,6,17,12,46,11,17,14,15,12,6,17,13,19,12,16,19,16,9,14,24,11,23,12,15,24,10,13,12,16,10,20,12,24,9,26,9,16,12,21
12,31,6,17,13,48,12,19,14,16,14,7,22,14,19,14,17,24,17,9,15,24,12,25,12,16,24,12,14,15,16,10,22,12,27,10,28,10,18,12,23
13,36,7,17,16,51,12,23,14,17,14,8,23,19,21,15,22,25,17,11,20,25,13,27,12,16,25,12,15,15,20,11,22,12,29,11,29,11,19,12,24
14,36,7,17,17,55,13,24,14,18,14,9,25,19,21,17,23,25,17,12,24,28,13,27,13,16,28,13,16,16,21,11,22,12,30,11,29,11,19,13,24
15,41,7,17,18,57,14,27,14,20,15,10,26,19,22,20,24,26,19,13,24,29,13,31,14,17,31,14,20,17,22,11,27,13,32,12,30,12,20,13,27
16,41,8,17,19,58,16,29,16,21,17,10,28,21,23,21,26,27,19,15,25,31,14,34,15,19,32,14,21,18,22,13,27,15,34,13,33,13,22,14,27
17,44,9,18,20,61,16,30,17,22,18,11,29,23,24,21,29,29,19,15,27,32,15,35,18,19,33,15,23,19,23,14,27,17,35,13,33,14,24,14,27
18,48,9,18,21,64,16,32,17,22,20,11,31,24,25,22,29,31,19,17,30,35,17,37,18,20,33,15,25,19,24,15,28,18,35,13,34,14,27,14,31
19,54,9,19,23,66,17,33,17,23,21,13,33,24,26,25,29,32,22,17,33,38,18,40,19,21,36,16,26,20,24,16,30,18,41,13,35,16,28,16,33
20,57,11,20,23,70,18,35,20,24,21,14,33,25,29,27,32,35,24,18,33,38,19,43,20,22,38,18,26,21,28,16,31,18,42,13,37,16,29,18,34
21,62,13,21,24,70,22,37,20,25,25,14,35,25,31,28,34,36,26,20,34,40,20,47,20,22,40,20,31,22,29,17,33,20,42,17,38,18,30,20,34
22,67,13,23,24,72,22,37,22,25,27,14,35,25,32,30,34,39,26,22,36,41,20,47,22,24,40,20,31,24,31,17,36,21,42,17,43,18,31,20,36
23,67,14,25,24,74,22,38,22,26,27,15,37,25,33,31,36,42,30,22,39,43,21,50,22,24,41,21,31,28,34,18,38,21,44,19,44,20,32,20,38
24,70,15,26,25,75,23,39,23,29,29,16,40,25,34,32,36,42,30,22,39,45,21,50,22,28,43,22,31,28,36,18,39,22,45,21,48,22,35,20,38
25,76,16,27,29,75,24,43,24,29,30,17,40,26,36,32,37,46,33,22,40,46,22,51,23,29,49,23,31,29,36,19,41,23,45,23,49,24,36,23,42
26,78,16,28,31,77,24,43,24,31,30,18,43,26,38,32,37,49,33,22,40,48,22,51,23,32,50,25,32,30,36,19,43,23,48,23,51,24,37,23,44
27,80,17,29,31,78,26,43,26,31,31,18,43,26,38,32,37,51,33,23,42,52,22,53,23,33,50,27,33,33,37,20,46,23,52,23,52,24,39,23,44
28,81,17,29,32,87,27,43,26,32,32,19,52,27,40,33,38,53,33,24,46,52,22,55,23,35,51,27,35,34,38,20,48,24,53,27,53,26,40,24,46
29,85,17,30,33,89,27,43,29,32,33,20,53,28,40,36,38,55,34,24,50,53,23,57,23,35,53,28,36,34,40,21,49,24,54,28,55,27,40,25,47
30,87,19,36,34,92,27,44,30,34,35,20,56,28,43,37,38,57,36,27,50,56,23,59,25,36,59,28,37,36,42,21,51,26,54,28,58,28,41,27,49
31,89,19,37,34,95,28,44,30,35,38,21,57,28,44,39,40,58,37,27,52,56,25,61,26,38,59,32,37,36,43,21,51,27,54,30,60,28,45,28,51
32,91,19,39,38,99,30,44,30,36,39,21,61,28,46,39,42,60,37,29,52,60,25,64,26,38,61,33,37,36,43,21,52,27,57,31,60,28,46,29,52
33,97,19,40,38,102,30,44,31,36,40,22,63,29,49,41,43,63,38,29,55,61,26,65,26,39,62,34,38,37,44,21,53,31,57,32,60,28,52,29,56
