,Hoffenheim scored,Hoffenheim received,Kaiserslautern scored,Kaiserslautern received,St Pauli scored,St Pauli received,Mainz scored,Mainz received,Leverkusen scored,Leverkusen received,Bayern Munich scored,Bayern Munich received,Hamburg scored,Hamburg received,Hannover scored,Hannover received,Nurnberg scored,Nurnberg received,M'gladbach scored,M'gladbach received,Ein Frankfurt scored,Ein Frankfurt received,Schalke 04 scored,Schalke 04 received,Wolfsburg scored,Wolfsburg received,FC Koln scored,FC Koln received,Freiburg scored,Freiburg received,Dortmund scored,Dortmund received,Stuttgart scored,Stuttgart received,Werder Bremen scored,Werder Bremen received
0,4,1,3,1,3,1,2,0,2,0,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,3,1,3,0,2,0,2,1,4
1,1,0,2,0,0,1,4,3,3,6,0,2,3,1,2,1,1,2,6,3,1,3,1,2,3,4,2,4,2,1,3,1,1,3,4,2
2,2,0,1,2,0,1,2,1,2,2,0,0,1,1,2,2,1,1,0,4,4,0,0,2,0,2,1,0,2,1,2,0,1,2,0,0
3,2,2,2,2,1,1,2,0,0,0,0,0,1,1,0,2,0,0,0,7,0,1,1,3,2,0,0,0,1,0,3,1,7,0,0,2
4,1,2,0,5,2,1,2,0,2,1,2,1,1,3,4,1,2,1,1,2,1,2,2,1,3,1,0,2,1,2,5,0,1,2,1,4
5,1,1,0,1,1,3,2,1,4,1,1,2,2,3,1,0,0,2,2,2,2,0,2,2,2,1,1,1,1,2,3,1,1,4,3,2
6,2,4,1,2,1,0,4,2,2,2,0,2,2,1,0,1,2,1,1,1,2,1,1,2,1,1,2,3,3,2,2,0,1,2,2,2
7,3,2,0,3,3,2,0,1,3,2,3,0,1,0,0,3,2,3,2,3,3,0,2,2,2,3,1,2,1,2,2,1,2,2,2,1
8,1,1,1,2,0,2,1,0,0,1,0,0,0,0,2,1,2,1,1,4,0,0,0,0,1,2,1,2,2,1,1,1,2,0,4,1
9,4,0,3,0,1,3,0,2,1,0,4,2,2,3,0,4,3,2,0,3,3,1,0,1,2,0,3,2,2,4,2,0,0,2,2,3
10,1,2,1,3,0,3,0,1,3,1,3,3,2,1,0,4,3,1,3,3,3,1,3,0,1,3,1,3,1,0,4,0,6,0,0,6
11,0,1,3,3,0,1,0,1,1,0,3,0,0,2,1,0,0,3,4,0,0,0,2,2,2,2,0,4,1,0,2,0,3,3,0,0
12,4,0,3,1,1,1,3,2,1,1,1,1,2,3,3,2,1,3,2,3,0,4,4,0,1,1,1,0,1,2,2,1,0,1,0,4
13,2,2,5,0,0,3,3,0,2,2,4,1,4,2,3,0,0,3,1,4,1,4,0,5,1,1,1,1,0,3,4,1,2,4,3,0
14,1,1,0,1,1,0,1,2,3,2,0,2,0,1,2,1,0,2,1,2,2,1,2,0,0,0,2,3,1,0,2,0,1,1,0,0
15,1,1,0,0,0,3,0,1,4,2,3,0,2,4,2,1,1,1,0,3,0,1,1,0,0,0,1,0,3,0,2,0,1,2,0,2
16,2,2,2,1,2,4,4,2,2,2,5,3,2,1,1,3,3,1,1,2,1,0,3,0,2,2,0,3,2,2,0,1,3,5,1,2
17,1,2,1,1,2,2,0,1,1,3,1,1,1,0,3,0,0,1,1,0,0,3,0,1,1,1,1,1,2,2,3,1,1,0,2,1
18,2,2,1,5,2,2,0,1,3,1,5,1,1,0,0,1,1,1,1,3,0,1,1,0,1,0,3,0,1,1,1,1,1,1,0,3
19,1,0,0,1,3,0,1,0,2,0,3,1,0,2,0,2,2,0,1,0,0,1,0,1,0,3,0,3,1,0,3,0,0,1,1,3
20,3,2,2,3,1,0,1,1,0,1,2,3,0,1,1,0,1,0,2,3,0,0,0,0,0,1,3,2,0,0,0,0,3,2,1,1
21,0,4,1,1,3,1,2,4,3,0,4,0,1,0,1,1,4,1,1,3,0,3,1,0,0,1,4,2,0,1,1,1,1,4,1,1
22,1,1,0,3,0,2,1,3,4,2,3,1,4,0,3,0,3,0,2,1,0,3,1,2,1,2,1,1,2,1,2,0,2,4,0,4
23,1,2,1,1,0,1,2,1,2,2,1,3,1,1,1,0,1,1,1,2,0,2,1,1,2,1,1,0,0,1,3,1,2,0,2,2
24,0,2,0,0,0,5,4,2,3,0,1,3,2,4,3,1,5,0,2,0,0,0,0,1,0,3,0,1,1,3,1,0,1,0,3,1
25,1,0,2,1,1,2,0,1,1,0,6,0,0,6,0,4,2,1,1,1,1,2,2,1,1,2,4,0,1,2,0,1,2,1,1,1
26,0,2,1,0,1,2,1,1,2,0,2,1,6,2,2,0,1,3,0,1,2,1,0,2,1,1,2,6,1,2,1,1,1,1,3,1
27,0,0,0,1,0,2,1,1,1,0,1,0,0,0,1,4,0,1,0,1,1,1,2,0,1,1,1,0,1,1,4,1,1,1,1,1
28,2,3,4,2,1,2,0,2,2,1,1,1,1,1,2,0,1,1,5,1,1,1,1,0,0,1,1,5,3,2,1,1,2,4,1,1
29,1,0,0,2,2,2,1,0,1,5,5,1,0,0,0,0,2,0,0,1,0,1,1,1,2,2,1,3,0,3,3,0,3,1,1,1
30,1,2,1,0,1,3,0,0,2,1,1,1,0,3,3,1,0,0,1,0,1,1,0,1,4,1,1,4,1,3,0,1,3,0,3,1
31,1,2,2,0,0,2,3,0,0,2,4,1,0,2,0,1,0,2,1,0,0,3,1,4,1,0,2,0,2,0,2,0,2,1,0,1
32,2,1,2,1,1,8,3,1,1,1,8,1,1,1,1,2,1,2,2,0,0,2,1,3,1,2,2,0,0,2,0,2,2,1,2,0
33,1,3,3,2,1,2,2,1,1,0,2,1,1,1,3,1,1,3,1,1,1,3,1,2,3,1,2,1,0,1,3,1,1,2,2,3
