,Atalanta scored,Atalanta received,Roma scored,Roma received,Inter scored,Inter received,Empoli scored,Empoli received,Catania scored,Catania received,Messina scored,Messina received,Palermo scored,Palermo received,Siena scored,Siena received,Parma scored,Parma received,Torino scored,Torino received,Chievo scored,Chievo received,Sampdoria scored,Sampdoria received,Udinese scored,Udinese received,Ascoli scored,Ascoli received,Livorno scored,Livorno received,Cagliari scored,Cagliari received,Lazio scored,Lazio received,Milan scored,Milan received,Reggina scored,Reggina received,Fiorentina scored,Fiorentina received
0,3,1,2,0,3,2,2,1,1,0,1,0,4,3,2,1,1,1,1,1,1,2,1,2,0,1,1,3,0,2,0,1,1,2,2,1,3,4,2,3
1,0,0,3,1,1,1,1,1,0,0,1,1,2,1,1,3,0,2,0,2,1,1,1,1,2,0,1,1,1,0,1,2,1,2,2,0,2,1,0,1
2,0,0,0,1,1,0,0,0,3,5,2,0,5,3,2,1,0,1,1,2,0,1,3,3,3,3,0,1,2,2,2,2,1,0,1,0,0,2,1,0
3,0,1,4,0,4,3,2,0,2,2,2,2,0,2,0,0,0,4,1,1,3,4,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1
4,1,1,1,0,1,1,0,1,0,3,0,1,1,0,0,0,2,3,0,4,0,1,3,2,0,0,0,0,1,0,1,1,4,0,0,0,1,1,3,0
5,3,2,0,1,2,1,1,2,1,2,1,3,2,3,3,1,0,3,1,0,0,1,1,1,3,0,0,2,2,0,0,0,0,0,1,1,1,0,2,1
6,3,2,1,1,0,0,2,2,3,1,2,2,2,0,0,0,1,0,0,0,1,1,2,3,0,0,0,1,0,0,0,0,1,3,0,2,0,3,3,0
7,3,3,2,2,4,1,1,1,1,1,1,2,2,1,1,1,2,3,0,1,0,1,2,0,1,1,2,2,1,4,3,3,0,2,1,0,3,2,1,0
8,1,3,1,0,4,3,0,0,1,1,2,1,3,2,1,0,3,1,1,1,1,2,0,1,0,1,0,1,0,0,1,0,0,0,3,4,0,0,2,3
9,2,0,3,1,2,0,1,1,1,0,1,1,2,0,2,2,2,2,1,1,0,0,0,2,0,1,0,2,1,0,0,0,1,1,0,2,0,1,1,3
10,1,3,2,1,2,1,1,0,3,2,2,2,3,0,0,1,1,2,0,3,0,3,3,0,0,5,0,1,2,3,2,2,5,0,1,2,1,0,3,1
11,2,2,7,0,1,0,0,0,0,7,1,4,0,1,0,3,0,3,1,0,2,2,0,1,3,0,1,1,3,0,1,0,4,1,0,0,0,1,1,1
12,1,2,4,2,2,1,1,0,2,0,0,1,1,2,1,1,0,2,2,1,2,0,2,4,0,2,1,3,2,2,0,1,3,1,1,0,2,2,1,1
13,1,2,2,1,2,0,0,1,2,2,0,2,0,0,0,2,0,0,1,0,2,0,2,0,1,1,2,2,0,2,2,2,0,1,2,2,1,1,1,0
14,3,2,0,3,3,0,0,3,1,0,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,3,0,0,3,0,0,0,2,1,1,0
15,1,1,4,0,2,0,1,2,2,1,0,2,0,4,1,1,2,2,2,0,2,2,1,0,3,1,0,2,1,1,1,3,1,1,2,2,0,1,2,2
16,1,2,2,1,2,0,1,0,0,3,1,1,4,0,0,1,1,1,1,2,3,2,4,1,2,1,0,4,1,4,0,2,0,2,3,0,2,3,2,0
17,1,2,2,0,2,1,1,4,4,2,0,4,1,1,1,1,1,3,1,1,0,3,2,4,0,3,3,0,1,1,0,2,3,1,3,0,4,1,4,0
18,5,1,1,1,3,1,2,0,1,2,1,1,2,0,1,1,0,2,1,3,2,1,0,0,0,2,0,1,1,5,1,0,1,1,3,1,1,3,0,0
19,3,1,1,1,3,1,2,0,0,1,0,1,0,0,2,1,1,0,0,1,1,2,0,2,1,0,1,3,1,1,1,0,0,0,0,0,0,0,1,3
20,1,1,1,0,2,0,0,0,1,1,1,2,0,3,0,1,0,1,2,3,0,0,0,2,3,2,2,1,1,2,0,2,3,0,1,0,2,0,2,1
21,0,2,3,1,1,3,2,0,1,2,1,3,2,1,1,0,2,0,0,1,0,0,0,1,1,0,2,5,2,1,1,2,0,0,5,2,3,1,0,2
22,0,0,3,0,2,0,1,0,1,1,1,1,0,1,2,2,0,3,1,2,0,2,2,0,0,2,0,2,1,2,2,2,0,0,2,1,2,1,2,0
23,1,1,0,1,1,0,1,0,0,1,1,2,1,1,3,4,0,1,0,2,1,1,1,0,2,2,2,2,2,1,0,1,2,0,4,3,1,1,1,0
24,1,1,3,0,5,2,0,2,2,5,1,0,1,1,0,1,3,3,0,3,3,0,0,1,3,3,0,0,0,0,0,2,2,0,1,0,0,3,2,0
25,1,2,2,2,1,1,3,1,1,3,1,3,0,0,0,0,0,0,1,0,2,2,2,1,1,1,0,0,0,0,0,1,3,1,0,0,1,1,1,1
26,0,2,1,1,2,1,1,0,1,1,2,0,0,2,1,1,2,2,1,5,1,3,0,1,0,1,1,1,1,2,2,0,1,0,3,1,2,2,5,1
27,1,1,3,1,2,1,2,2,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,3,1,0,2,2,1,1,3,2,1,2,2,3,1,1
28,0,1,0,0,2,1,1,3,1,4,0,3,1,1,0,1,1,0,3,0,2,0,1,1,4,0,1,2,0,4,0,2,3,1,1,0,4,1,0,0
29,2,2,1,1,2,0,4,1,1,4,0,2,0,0,1,0,0,2,0,0,1,1,1,1,2,4,1,4,4,1,2,0,4,2,1,1,0,1,2,2
30,1,0,2,0,0,0,1,3,0,2,0,1,1,3,2,2,1,0,0,1,0,1,1,0,2,2,0,4,0,1,3,1,1,0,3,1,0,0,4,0
31,2,1,4,0,2,2,0,0,1,1,1,3,2,2,0,1,1,1,1,2,1,2,0,4,2,1,2,2,1,1,0,0,2,2,3,1,1,1,1,0
32,2,1,1,2,2,1,0,0,3,3,1,3,3,4,1,2,4,3,0,0,2,1,3,1,1,1,3,3,1,2,1,3,0,1,3,1,1,1,1,0
33,0,0,0,0,3,1,1,3,1,0,0,0,2,1,0,2,2,1,0,1,0,1,2,0,0,1,2,3,1,2,1,2,0,0,1,0,3,2,1,0
34,3,1,2,1,1,0,2,1,1,2,0,1,1,2,1,3,0,1,1,0,1,0,0,0,1,2,0,1,0,1,2,1,1,0,0,0,0,0,0,0
35,3,2,0,1,4,3,0,2,1,1,1,4,2,3,2,0,4,1,1,0,1,1,0,1,2,3,3,2,1,0,0,1,3,4,1,1,1,1,1,0
36,1,1,2,3,1,1,3,3,0,1,2,2,2,1,1,2,0,0,0,0,1,0,1,0,3,2,0,1,0,0,3,2,0,0,2,3,3,3,2,2
37,2,4,4,3,3,0,1,3,2,0,3,4,2,1,2,1,3,1,0,3,0,2,1,5,1,2,2,1,4,2,1,2,1,2,0,2,2,0,5,1
