,Porto scored,Porto received,Boavista scored,Boavista received,Feirense scored,Feirense received,Benfica scored,Benfica received,Sp Lisbon scored,Sp Lisbon received,Setubal scored,Setubal received,Chaves scored,Chaves received,Sp Braga scored,Sp Braga received,Moreirense scored,Moreirense received,Pacos Ferreira scored,Pacos Ferreira received,Nacional scored,Nacional received,Guimaraes scored,Guimaraes received,Rio Ave scored,Rio Ave received,Tondela scored,Tondela received,Maritimo scored,Maritimo received,Arouca scored,Arouca received,Estoril scored,Estoril received,Belenenses scored,Belenenses received
0,3,1,2,0,2,0,2,0,2,0,2,0,1,0,1,0,1,1,1,1,0,1,0,1,1,3,0,2,0,2,0,2,0,2,0,2
1,4,1,2,0,2,3,3,1,3,0,3,1,2,1,2,1,4,1,1,2,0,3,2,1,2,4,1,3,0,4,2,2,0,3,0,2
2,5,3,4,2,2,4,6,2,5,1,5,1,4,3,5,2,4,2,4,7,1,6,7,4,3,4,1,4,1,4,2,4,1,6,1,2
3,8,3,4,5,4,5,8,3,8,1,5,1,4,3,8,2,4,5,4,7,2,8,7,7,4,4,2,6,1,5,3,6,1,6,3,3
4,8,3,5,7,6,6,11,4,9,4,6,5,5,3,9,5,4,7,8,8,4,8,8,8,7,5,2,6,1,7,3,7,3,6,4,4
5,11,4,6,10,6,9,13,4,13,6,7,7,5,5,11,6,4,8,10,9,7,8,9,8,8,7,2,8,3,7,4,8,5,10,5,5
6,15,4,8,10,6,13,17,4,16,9,7,8,8,6,12,7,4,10,11,11,7,12,12,11,9,9,4,9,4,7,5,9,7,11,6,8
7,18,4,9,11,7,14,19,4,17,10,8,9,8,7,13,7,5,11,12,12,8,13,14,11,10,10,5,10,5,8,5,12,7,13,6,10
8,18,4,9,11,8,15,22,4,17,10,8,9,9,8,15,8,7,12,12,15,8,13,17,11,10,13,6,12,5,9,6,12,7,13,7,12
9,19,5,11,12,8,16,23,5,20,10,10,10,10,9,15,9,8,14,13,16,9,15,19,12,11,15,6,14,6,9,6,15,9,13,8,12
10,19,5,11,13,10,22,26,5,21,10,10,11,10,9,21,11,8,17,13,17,9,16,20,14,12,15,8,15,6,9,7,15,10,13,8,12
11,20,5,12,15,10,24,27,7,23,10,10,13,11,10,21,12,11,18,15,18,10,19,21,15,15,16,9,18,8,10,9,15,11,14,9,13
12,24,5,13,17,10,28,29,8,24,12,12,13,13,11,24,12,12,20,15,21,13,21,23,16,17,16,11,21,8,11,9,17,11,16,10,13
13,26,6,14,18,10,30,30,8,24,13,13,16,14,13,25,12,13,24,16,21,14,23,26,17,19,17,12,22,10,11,13,18,11,17,10,14
14,28,7,16,18,12,30,32,8,25,13,16,16,15,13,27,13,14,26,16,23,14,25,27,17,19,19,12,25,11,13,13,19,11,18,10,15
15,28,7,17,18,13,32,34,8,27,14,16,17,17,15,27,13,15,26,16,23,14,25,27,19,21,21,13,27,12,13,15,20,11,19,10,16
16,31,7,20,21,13,32,37,11,29,16,17,17,19,17,29,13,15,29,17,26,14,26,27,19,21,22,13,29,15,14,17,21,12,21,11,16
17,35,9,22,22,14,32,41,11,31,18,19,18,21,17,30,15,17,29,17,28,14,28,29,20,23,26,13,33,17,16,18,23,12,22,12,18
18,37,10,22,23,15,33,41,12,35,20,20,18,21,19,30,16,18,30,19,32,15,29,29,20,24,26,15,33,17,16,19,24,13,24,13,18
19,39,11,22,23,17,34,44,12,36,22,21,20,21,19,31,17,18,31,21,32,15,32,29,22,25,28,15,33,18,16,21,25,14,25,13,18
20,41,11,23,24,18,34,47,12,39,24,21,20,21,19,32,18,20,34,22,34,16,33,29,24,25,28,15,34,18,16,21,28,16,26,14,19
21,45,11,24,24,18,35,48,12,40,24,22,22,23,19,32,19,21,35,24,35,16,33,30,25,25,29,15,38,18,16,21,30,17,27,15,20
22,46,11,24,25,18,35,51,13,42,24,23,23,24,22,33,20,21,36,24,35,16,33,31,25,25,29,16,39,19,17,22,32,17,29,17,21
23,53,11,24,25,18,36,52,13,43,25,23,24,25,24,36,21,21,36,24,35,16,40,32,26,27,29,16,39,20,17,23,35,17,31,19,22
24,57,11,27,25,20,37,56,13,47,26,24,26,25,24,36,21,23,39,25,36,17,41,35,29,30,31,17,43,20,20,23,39,20,34,19,26
25,58,12,27,25,23,39,56,13,49,26,25,27,27,27,38,22,24,40,25,36,17,43,38,29,30,34,18,44,23,21,24,42,20,34,20,28
26,59,13,27,26,25,40,57,14,51,27,27,27,28,27,41,25,24,42,25,37,18,45,40,30,31,34,18,46,26,24,25,44,22,34,21,30
27,62,13,27,30,25,41,58,14,55,27,27,27,29,29,42,25,24,43,26,38,19,45,42,31,31,34,19,48,28,25,26,45,22,35,21,33
28,63,14,27,30,25,43,61,14,58,27,27,30,31,32,43,26,25,43,26,38,19,46,45,33,32,36,21,49,28,28,28,45,25,36,22,36
29,63,14,27,32,25,43,62,15,59,28,27,33,31,32,44,29,25,43,29,39,19,48,47,33,35,36,23,49,31,28,28,48,28,36,22,39
30,65,14,28,32,27,44,64,16,62,30,27,35,31,34,46,32,27,45,31,40,19,50,49,33,37,36,23,50,32,30,30,50,29,38,23,41
31,66,15,30,34,28,44,65,16,63,33,28,37,32,36,47,34,29,46,31,41,21,52,50,33,37,37,25,51,33,31,30,51,31,39,26,42
32,70,16,31,34,30,45,70,16,64,35,28,38,34,38,51,34,30,47,32,45,21,56,50,38,39,39,27,52,34,32,31,53,32,40,27,43
33,71,19,33,36,31,45,72,18,68,36,30,39,35,42,51,36,33,48,32,45,22,58,50,39,41,39,29,52,34,32,33,57,36,42,27,45
