,Porto scored,Porto received,Boavista scored,Boavista received,Feirense scored,Feirense received,Benfica scored,Benfica received,Sp Lisbon scored,Sp Lisbon received,Setubal scored,Setubal received,Chaves scored,Chaves received,Sp Braga scored,Sp Braga received,Moreirense scored,Moreirense received,Pacos Ferreira scored,Pacos Ferreira received,Nacional scored,Nacional received,Guimaraes scored,Guimaraes received,Rio Ave scored,Rio Ave received,Tondela scored,Tondela received,Maritimo scored,Maritimo received,Arouca scored,Arouca received,Estoril scored,Estoril received,Belenenses scored,Belenenses received
0,3,1,2,0,2,0,2,0,2,0,2,0,1,0,1,0,1,1,1,1,0,1,0,1,1,3,0,2,0,2,0,2,0,2,0,2
1,1,0,0,0,0,3,1,1,1,0,1,1,1,1,1,1,3,0,0,1,0,2,2,0,1,1,1,1,0,2,2,0,0,1,0,0
2,1,2,2,2,0,1,3,1,2,1,2,0,2,2,3,1,0,1,3,5,1,3,5,3,1,0,0,1,1,0,0,2,1,3,1,0
3,3,0,0,3,2,1,2,1,3,0,0,0,0,0,3,0,0,3,0,0,1,2,0,3,1,0,1,2,0,1,1,2,0,0,2,1
4,0,0,1,2,2,1,3,1,1,3,1,4,1,0,1,3,0,2,4,1,2,0,1,1,3,1,0,0,0,2,0,1,2,0,1,1
5,3,1,1,3,0,3,2,0,4,2,1,2,0,2,2,1,0,1,2,1,3,0,1,0,1,2,0,2,2,0,1,1,2,4,1,1
6,4,0,2,0,0,4,4,0,3,3,0,1,3,1,1,1,0,2,1,2,0,4,3,3,1,2,2,1,1,0,1,1,2,1,1,3
7,3,0,1,1,1,1,2,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,2,0,1,1,1,1,1,1,0,3,0,2,0,2
8,0,0,0,0,1,1,3,0,0,0,0,0,1,1,2,1,2,1,0,3,0,0,3,0,0,3,1,2,0,1,1,0,0,0,1,2
9,1,1,2,1,0,1,1,1,3,0,2,1,1,1,0,1,1,2,1,1,1,2,2,1,1,2,0,2,1,0,0,3,2,0,1,0
10,0,0,0,1,2,6,3,0,1,0,0,1,0,0,6,2,0,3,0,1,0,1,1,2,1,0,2,1,0,0,1,0,1,0,0,0
11,1,0,1,2,0,2,1,2,2,0,0,2,1,1,0,1,3,1,2,1,1,3,1,1,3,1,1,3,2,1,2,0,1,1,1,1
12,4,0,1,2,0,4,2,1,1,2,2,0,2,1,3,0,1,2,0,3,3,2,2,1,2,0,2,3,0,1,0,2,0,2,1,0
13,2,1,1,1,0,2,1,0,0,1,1,3,1,2,1,0,1,4,1,0,1,2,3,1,2,1,1,1,2,0,4,1,0,1,0,1
14,2,1,2,0,2,0,2,0,1,0,3,0,1,0,2,1,1,2,0,2,0,2,1,0,0,2,0,3,1,2,0,1,0,1,0,1
15,0,0,1,0,1,2,2,0,2,1,0,1,2,2,0,0,1,0,0,0,0,0,0,2,2,2,1,2,1,0,2,1,0,1,0,1
16,3,0,3,3,0,0,3,3,2,2,1,0,2,2,2,0,0,3,1,3,0,1,0,0,0,1,0,2,3,1,2,1,1,2,1,0
17,4,2,2,1,1,0,4,0,2,2,2,1,2,0,1,2,2,0,0,2,0,2,2,1,2,4,0,4,2,2,1,2,0,1,1,2
18,2,1,0,1,1,1,0,1,4,2,1,0,0,2,0,1,1,1,2,4,1,1,0,0,1,0,2,0,0,0,1,1,1,2,1,0
19,2,1,0,0,2,1,3,0,1,2,1,2,0,0,1,1,0,1,2,0,0,3,0,2,1,2,0,0,1,0,2,1,1,1,0,0
20,2,0,1,1,1,0,3,0,3,2,0,0,0,0,1,1,2,3,1,2,1,1,0,2,0,0,0,1,0,0,0,3,2,1,1,1
21,4,0,1,0,0,1,1,0,1,0,1,2,2,0,0,1,1,1,2,1,0,0,1,1,0,1,0,4,0,0,0,2,1,1,1,1
22,1,0,0,1,0,0,3,1,2,0,1,1,1,3,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,2,0,2,2,1
23,7,0,0,0,0,1,1,0,1,1,0,1,1,2,3,1,0,0,0,0,0,7,1,1,2,0,0,0,1,0,1,3,0,2,2,1
24,4,0,3,0,2,1,4,0,4,1,1,2,0,0,0,0,2,3,1,1,1,1,3,3,3,2,1,4,0,3,0,4,3,3,0,4
25,1,1,0,0,3,2,0,0,2,0,1,1,2,3,2,1,1,1,0,0,0,2,3,0,0,3,1,1,3,1,1,3,0,0,1,2
26,1,1,0,1,2,1,1,1,2,1,2,0,1,0,3,3,0,2,0,1,1,2,2,1,1,0,0,2,3,3,1,2,2,0,1,2
27,3,0,0,4,0,1,1,0,4,0,0,0,1,2,1,0,0,1,1,1,1,0,2,1,0,0,1,2,2,1,1,1,0,1,0,3
28,1,1,0,0,0,2,3,0,3,0,0,3,2,3,1,1,1,0,0,0,0,1,3,2,1,2,2,1,0,3,2,0,3,1,1,3
29,0,0,0,2,0,0,1,1,1,1,0,3,0,0,1,3,0,0,3,1,0,2,2,0,3,0,2,0,3,0,0,3,3,0,0,3
30,2,0,1,0,2,1,2,1,3,2,0,2,0,2,2,3,2,2,2,1,0,2,2,0,2,0,0,1,1,2,2,2,1,2,1,2
31,1,1,2,2,1,0,1,0,1,3,1,2,1,2,1,2,2,1,0,1,2,2,1,0,0,1,2,1,1,1,0,1,2,1,3,1
32,4,1,1,0,2,1,5,0,1,2,0,1,2,2,4,0,1,1,1,4,0,4,0,5,2,2,2,1,1,1,1,2,1,1,1,1
33,1,3,2,2,1,0,2,2,4,1,2,1,1,4,0,2,3,1,0,0,1,2,0,1,2,0,2,0,0,0,2,4,4,2,0,2
