,Dundee United scored,Dundee United received,Inverness C scored,Inverness C received,St Johnstone scored,St Johnstone received,Celtic scored,Celtic received,Motherwell scored,Motherwell received,Dundee scored,Dundee received,Kilmarnock scored,Kilmarnock received,Ross County scored,Ross County received,Partick scored,Partick received,St Mirren scored,St Mirren received,Hamilton scored,Hamilton received,Aberdeen scored,Aberdeen received
0,3,0,2,0,2,1,1,0,1,0,1,1,1,1,1,2,0,1,0,1,0,2,0,3
1,4,0,2,0,2,4,4,0,1,1,1,1,1,3,1,6,4,1,0,3,2,2,2,3
2,5,6,4,0,2,5,10,1,1,3,2,2,3,4,2,8,5,2,2,5,3,2,4,5
3,7,7,5,0,3,5,10,2,1,5,3,2,5,4,3,10,6,4,2,6,5,3,4,6
4,10,7,7,0,4,5,11,3,1,6,4,3,5,6,3,14,6,6,2,9,9,3,6,6
5,12,9,8,3,4,6,13,4,3,7,5,3,7,7,4,16,9,7,3,11,11,5,7,8
6,16,10,10,4,5,8,14,5,4,8,6,7,7,7,4,19,10,9,5,12,11,5,10,8
7,18,10,12,7,5,10,16,6,4,12,7,9,10,7,6,20,10,12,6,14,15,5,13,10
8,18,12,13,8,6,12,16,7,5,15,9,12,12,7,7,21,13,13,8,15,16,5,16,12
9,19,12,14,8,7,14,21,7,6,18,12,13,14,8,7,26,13,14,8,16,19,5,16,15
10,19,13,15,8,7,14,23,7,6,19,14,13,14,10,9,28,13,14,10,18,19,7,17,15
11,22,13,15,9,9,15,24,7,7,21,17,14,15,13,9,29,16,17,10,21,22,10,18,15
12,22,14,19,11,10,16,26,8,8,21,18,15,15,16,12,29,17,17,10,22,24,14,19,17
13,25,15,22,12,12,17,28,9,9,24,19,17,16,19,13,31,17,18,10,25,27,14,20,17
14,28,17,24,13,13,17,29,9,9,25,20,19,17,20,15,34,18,19,10,26,27,17,23,17
15,28,19,24,17,14,17,33,10,11,27,21,21,17,21,17,36,22,19,11,30,29,18,25,17
16,30,20,24,18,15,17,34,12,12,27,22,22,17,22,17,37,23,20,11,31,30,18,26,17
17,31,22,24,19,17,18,34,12,13,27,23,25,18,22,17,37,23,21,14,32,30,19,27,17
18,37,24,27,20,17,20,37,12,13,32,25,31,20,23,18,40,23,24,15,34,35,19,29,17
19,39,26,28,20,17,21,39,12,13,34,26,32,20,25,19,41,25,26,15,35,36,19,31,17
20,42,28,30,21,18,21,39,13,14,38,30,33,21,27,20,41,25,27,15,37,38,22,33,17
21,43,29,31,22,20,21,41,13,15,39,33,36,22,28,21,43,25,29,17,38,38,24,36,20
22,44,30,33,22,20,23,45,13,15,43,34,36,22,29,21,47,30,29,18,39,38,29,40,20
23,47,31,35,22,21,24,46,13,16,46,36,37,24,31,21,48,32,31,19,41,38,31,41,21
24,47,32,36,23,22,25,50,14,17,47,37,38,25,35,22,49,32,32,20,41,39,32,42,21
25,49,35,38,24,23,27,52,15,19,50,38,38,28,37,25,51,32,33,21,43,39,35,45,21
26,49,37,41,27,25,27,56,15,19,51,39,38,31,40,28,52,33,36,21,46,39,39,48,21
27,49,39,42,29,25,27,60,15,21,52,39,39,31,40,29,52,35,36,22,46,39,40,48,25
28,50,41,44,30,25,30,62,16,22,54,40,41,32,40,31,54,38,36,22,47,41,42,50,26
29,50,44,44,31,27,30,65,16,26,54,41,42,33,42,33,55,39,36,22,49,41,46,51,27
30,51,46,45,32,28,31,67,16,28,55,42,43,34,44,35,56,39,36,22,51,42,47,51,27
31,52,49,45,33,28,32,69,16,33,55,45,44,34,44,36,56,39,38,22,56,42,47,52,27
32,53,49,46,34,29,32,70,17,33,57,45,45,35,46,39,56,41,38,22,59,42,48,54,28
