,0,1,2,3,4,5,6,7,8,9,10,11
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,Inverness C,Celtic,Hamilton,Dundee United,Kilmarnock,Dundee,St Johnstone,Partick,Aberdeen,Motherwell,St Mirren,Ross County
4,Inverness C,Hamilton,Dundee United,Celtic,St Johnstone,Dundee,Aberdeen,Kilmarnock,Partick,Motherwell,St Mirren,Ross County
5,Celtic,Hamilton,Inverness C,Dundee United,Dundee,Kilmarnock,St Johnstone,Partick,Aberdeen,Motherwell,St Mirren,Ross County
6,Dundee United,Inverness C,Celtic,Hamilton,Kilmarnock,Aberdeen,Dundee,St Johnstone,Partick,Motherwell,St Mirren,Ross County
7,Dundee United,Celtic,Hamilton,Inverness C,Kilmarnock,Aberdeen,Dundee,St Johnstone,Partick,Motherwell,St Mirren,Ross County
8,Hamilton,Dundee United,Celtic,Inverness C,Kilmarnock,Aberdeen,Partick,Dundee,St Johnstone,St Mirren,Motherwell,Ross County
9,Hamilton,Dundee United,Celtic,Inverness C,Kilmarnock,Aberdeen,Dundee,Partick,St Johnstone,St Mirren,Motherwell,Ross County
10,Celtic,Hamilton,Inverness C,Dundee United,Kilmarnock,Aberdeen,Dundee,Partick,St Johnstone,St Mirren,Motherwell,Ross County
11,Celtic,Dundee United,Hamilton,Inverness C,Aberdeen,Kilmarnock,Dundee,St Johnstone,Partick,St Mirren,Motherwell,Ross County
12,Celtic,Inverness C,Dundee United,Hamilton,Aberdeen,Dundee,Kilmarnock,Partick,St Johnstone,Motherwell,St Mirren,Ross County
13,Celtic,Inverness C,Dundee United,Hamilton,Aberdeen,Dundee,Kilmarnock,St Johnstone,Partick,Motherwell,St Mirren,Ross County
14,Celtic,Inverness C,Dundee United,Aberdeen,Hamilton,Kilmarnock,Dundee,St Johnstone,Partick,Motherwell,St Mirren,Ross County
15,Celtic,Inverness C,Dundee United,Aberdeen,Hamilton,St Johnstone,Kilmarnock,Dundee,Partick,Motherwell,Ross County,St Mirren
16,Celtic,Dundee United,Aberdeen,Hamilton,Inverness C,St Johnstone,Dundee,Kilmarnock,Partick,Motherwell,Ross County,St Mirren
17,Celtic,Aberdeen,Dundee United,Hamilton,Inverness C,St Johnstone,Kilmarnock,Dundee,Partick,Motherwell,St Mirren,Ross County
18,Celtic,Aberdeen,Dundee United,Hamilton,Inverness C,St Johnstone,Kilmarnock,Dundee,Partick,Motherwell,St Mirren,Ross County
19,Celtic,Aberdeen,Hamilton,Dundee United,Inverness C,St Johnstone,Kilmarnock,Dundee,Partick,Motherwell,St Mirren,Ross County
20,Aberdeen,Celtic,Dundee United,Inverness C,Hamilton,St Johnstone,Kilmarnock,Dundee,Partick,Motherwell,Ross County,St Mirren
21,Celtic,Aberdeen,Dundee United,Inverness C,Hamilton,St Johnstone,Kilmarnock,Dundee,Partick,Motherwell,St Mirren,Ross County
22,Celtic,Aberdeen,Inverness C,Dundee United,Hamilton,St Johnstone,Dundee,Kilmarnock,Partick,Motherwell,St Mirren,Ross County
23,Celtic,Aberdeen,Inverness C,Dundee United,Hamilton,St Johnstone,Dundee,Kilmarnock,Partick,Motherwell,St Mirren,Ross County
24,Celtic,Aberdeen,Inverness C,Dundee United,Hamilton,St Johnstone,Dundee,Kilmarnock,Partick,Motherwell,St Mirren,Ross County
25,Celtic,Aberdeen,Inverness C,Dundee United,Hamilton,St Johnstone,Dundee,Kilmarnock,Partick,Motherwell,St Mirren,Ross County
26,Celtic,Aberdeen,Inverness C,Dundee United,Hamilton,St Johnstone,Dundee,Kilmarnock,Partick,Ross County,Motherwell,St Mirren
27,Celtic,Aberdeen,Inverness C,Dundee United,St Johnstone,Hamilton,Dundee,Kilmarnock,Partick,Ross County,Motherwell,St Mirren
28,Celtic,Aberdeen,Inverness C,Dundee United,Hamilton,St Johnstone,Dundee,Kilmarnock,Partick,Ross County,Motherwell,St Mirren
29,Celtic,Aberdeen,Inverness C,Dundee United,St Johnstone,Hamilton,Dundee,Kilmarnock,Partick,Ross County,Motherwell,St Mirren
30,Celtic,Aberdeen,Inverness C,Dundee United,St Johnstone,Hamilton,Dundee,Kilmarnock,Partick,Ross County,Motherwell,St Mirren
31,Celtic,Aberdeen,Inverness C,Dundee United,St Johnstone,Dundee,Hamilton,Kilmarnock,Partick,Ross County,Motherwell,St Mirren
32,Celtic,Aberdeen,Inverness C,Dundee United,St Johnstone,Dundee,Hamilton,Partick,Kilmarnock,Ross County,Motherwell,St Mirren
