,Chelsea scored,Chelsea received,Man City scored,Man City received,Arsenal scored,Arsenal received,Liverpool scored,Liverpool received,Swansea scored,Swansea received,Aston Villa scored,Aston Villa received,Hull scored,Hull received,Tottenham scored,Tottenham received,Everton scored,Everton received,Leicester scored,Leicester received,Sunderland scored,Sunderland received,West Brom scored,West Brom received,Crystal Palace scored,Crystal Palace received,Man United scored,Man United received,Southampton scored,Southampton received,QPR scored,QPR received,Stoke scored,Stoke received,West Ham scored,West Ham received,Burnley scored,Burnley received,Newcastle scored,Newcastle received
0,3,1,2,0,2,1,2,1,2,1,1,0,1,0,1,0,2,2,2,2,2,2,2,2,1,2,1,2,1,2,0,1,0,1,0,1,1,3,0,2
1,2,0,3,1,2,2,1,3,1,0,0,0,1,1,4,0,2,2,0,2,1,1,0,0,1,3,1,1,0,0,0,4,1,1,3,1,0,1,0,0
2,6,3,0,1,1,1,3,0,3,0,2,1,1,2,0,3,3,6,1,1,0,1,0,3,3,3,0,0,3,1,1,0,1,0,1,3,0,0,3,3
3,4,2,2,2,2,2,0,1,2,4,1,0,2,2,2,2,2,0,1,0,2,2,0,2,0,0,4,0,4,0,0,4,0,1,2,2,0,0,0,4
4,1,1,1,1,3,0,1,3,0,1,0,3,2,2,0,1,2,3,5,3,0,0,1,0,3,2,3,5,1,0,2,2,2,2,3,1,0,0,2,2
5,3,0,4,2,1,1,1,1,0,0,0,3,2,4,1,1,1,1,0,2,0,0,4,0,2,0,2,1,2,1,1,2,1,0,1,2,0,4,0,1
6,2,0,2,0,0,2,2,1,2,2,0,2,2,0,1,0,1,2,2,2,3,1,1,2,0,2,2,1,0,1,0,2,1,3,2,0,2,2,2,2
7,2,1,4,1,2,2,3,2,1,2,0,3,2,2,1,4,3,0,0,1,0,8,2,2,1,2,2,2,8,0,2,3,2,1,3,1,1,3,1,0
8,1,1,1,2,2,0,0,0,2,0,0,2,0,0,1,2,3,1,0,2,0,2,2,2,2,2,1,1,1,0,2,0,0,1,2,1,1,3,2,1
9,2,1,1,0,3,0,0,1,0,0,1,2,0,1,2,1,0,0,0,1,3,1,1,0,1,3,0,1,1,0,1,2,2,2,2,2,0,3,1,0
10,2,1,2,2,1,2,1,2,2,1,0,0,0,1,1,2,1,1,0,2,1,1,0,2,0,1,1,0,2,0,2,2,2,1,0,0,1,0,2,0
11,2,0,2,1,1,2,1,3,1,2,1,1,1,2,2,1,2,1,0,0,0,0,0,2,3,1,2,1,1,1,0,1,1,2,1,2,2,1,1,0
12,0,0,3,0,1,0,1,0,1,1,1,1,0,3,2,1,1,2,2,3,0,0,0,1,1,1,3,0,0,3,3,2,0,1,1,0,1,1,0,1
13,3,0,4,1,1,0,3,1,2,0,1,0,1,1,0,3,1,1,1,3,1,4,1,2,0,1,2,1,0,1,0,2,1,2,2,1,1,1,1,1
14,1,2,1,0,2,3,0,0,1,3,2,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,1,1,2,2,0,3,2,3,1,0,2,2,1
15,2,0,1,0,4,1,0,3,1,2,0,1,0,2,2,1,3,1,0,1,1,1,1,0,1,1,3,0,0,1,1,3,1,1,1,1,1,0,1,4
16,2,0,3,0,2,2,2,2,1,0,1,1,0,1,2,1,0,3,0,2,1,0,2,3,0,3,1,1,3,0,3,2,0,2,2,0,1,2,0,1
17,2,0,3,1,2,1,1,0,1,0,0,1,3,1,2,1,0,1,1,2,1,3,1,3,1,3,3,1,3,1,1,2,1,0,0,2,0,1,1,3
18,1,1,2,2,2,1,4,1,1,4,0,0,0,1,0,0,2,3,1,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,1,2,2,2,3,2
19,3,5,3,2,0,2,2,2,1,1,0,0,2,0,5,3,0,2,2,2,2,3,1,1,0,0,1,1,2,0,1,1,1,1,1,1,3,3,3,3
20,2,0,1,1,3,0,1,0,1,1,0,1,0,1,1,2,1,1,1,0,0,1,1,0,2,1,0,1,1,0,1,2,0,3,1,1,2,1,0,2
21,5,0,0,2,2,0,2,0,0,5,0,2,0,3,2,1,0,0,0,1,1,2,0,0,3,2,2,0,2,1,0,2,1,0,3,0,2,3,1,2
22,1,1,1,1,5,0,2,0,1,0,0,5,0,3,3,0,1,0,1,3,2,0,0,3,0,1,3,1,0,1,1,3,3,1,0,2,0,2,3,0
23,2,1,1,1,1,2,0,0,1,1,1,2,1,1,2,1,0,0,0,1,1,1,2,2,1,0,1,1,1,0,0,1,1,1,1,1,2,2,1,1
24,1,0,4,1,2,1,3,2,0,2,0,2,2,0,2,3,0,1,1,2,0,2,2,0,1,1,3,1,0,0,2,0,1,4,0,0,1,3,1,1
25,1,1,5,0,2,1,2,0,2,1,1,2,2,1,2,2,2,2,2,2,0,0,0,0,1,2,1,2,0,2,1,2,2,1,2,2,1,1,0,5
26,3,1,1,2,2,0,2,1,1,0,0,1,0,1,2,1,0,2,1,3,0,2,1,0,3,1,2,0,0,1,1,2,1,0,1,3,0,1,1,0
27,1,0,2,0,2,1,2,0,2,3,2,1,1,1,3,2,0,2,0,2,1,1,1,2,0,1,1,0,1,0,1,2,2,0,0,1,0,2,0,1
28,1,1,0,1,3,0,1,0,0,1,4,0,0,0,0,3,3,0,0,0,0,4,1,0,3,1,3,0,1,1,1,3,0,1,0,3,1,0,0,3
29,3,2,3,0,2,1,1,2,1,0,0,1,2,3,4,3,2,1,3,4,0,1,0,3,2,1,2,1,2,0,1,2,1,2,1,0,0,2,1,2
30,2,1,1,2,4,1,1,4,3,1,1,3,1,3,0,0,1,0,2,1,1,0,1,4,2,1,3,1,0,1,4,1,1,2,1,2,0,0,0,1
31,1,0,2,4,1,0,2,0,1,1,1,0,0,2,0,1,1,1,3,2,1,4,2,3,4,1,4,2,2,0,0,1,1,1,1,1,0,1,0,2
32,1,0,2,0,0,0,0,1,0,2,3,3,1,0,3,1,1,0,2,0,0,0,2,0,0,2,0,1,1,2,3,3,2,1,0,2,0,1,1,3
33,0,0,3,2,0,0,0,0,3,2,2,3,2,0,2,2,3,0,1,0,1,1,0,0,0,2,0,3,2,2,0,0,1,1,0,0,0,1,2,3
34,1,0,1,0,3,1,2,1,2,0,3,2,1,3,0,1,2,3,3,0,2,1,1,0,0,1,0,1,1,2,1,2,0,2,1,0,0,1,0,3
35,1,1,6,0,0,1,1,1,1,0,1,0,0,1,0,3,0,2,2,0,2,0,1,1,1,2,2,1,0,2,0,6,3,0,0,1,1,0,1,1
36,0,3,4,2,1,1,1,3,2,4,1,6,0,2,2,0,2,1,0,0,0,0,3,0,3,1,1,1,6,1,2,1,0,0,1,2,0,0,1,2
37,3,1,2,0,4,1,1,6,0,1,0,1,0,0,1,0,0,1,5,1,1,3,1,4,1,0,0,0,0,2,1,5,6,1,0,2,1,0,2,0
