,Fenerbahce scored,Fenerbahce received,Genclerbirligi scored,Genclerbirligi received,Kayserispor scored,Kayserispor received,Manisaspor scored,Manisaspor received,Ankaraspor scored,Ankaraspor received,Denizlispor scored,Denizlispor received,Galatasaray scored,Galatasaray received,Gaziantepspor scored,Gaziantepspor received,Konyaspor scored,Konyaspor received,Sakaryaspor scored,Sakaryaspor received,Antalyaspor scored,Antalyaspor received,Bursaspor scored,Bursaspor received,Rizespor scored,Rizespor received,Ankaragucu scored,Ankaragucu received,Sivasspor scored,Sivasspor received,Besiktas scored,Besiktas received,Trabzonspor scored,Trabzonspor received,Erciyesspor scored,Erciyesspor received
0,6,0,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,6
1,8,0,2,3,1,4,2,1,2,2,1,2,5,1,2,3,2,1,1,1,0,0,1,2,1,1,1,1,2,3,2,2,1,2,2,7
2,10,1,2,3,3,5,4,3,4,4,1,4,7,3,4,4,2,1,3,1,0,0,1,2,2,3,2,3,2,5,4,2,2,4,4,9
3,11,3,4,4,7,5,5,3,5,6,1,5,9,5,6,6,3,4,5,2,1,2,3,3,3,5,2,4,4,6,7,3,3,4,4,13
4,15,5,4,4,7,5,10,4,7,7,2,6,10,6,8,8,5,4,6,5,3,6,6,4,4,7,4,6,4,8,9,6,6,6,5,18
5,16,6,4,9,8,7,15,4,7,7,2,6,11,6,9,9,6,5,6,5,6,8,8,7,6,8,4,6,5,9,9,7,7,7,6,19
6,17,6,4,11,10,7,17,4,8,8,4,7,12,9,11,9,6,6,6,7,7,9,9,10,6,10,5,8,8,10,11,8,10,8,7,21
7,17,7,7,12,10,8,18,4,10,8,5,10,15,12,11,11,9,9,6,8,8,9,10,10,8,10,7,10,8,12,12,9,12,10,8,22
8,19,9,7,13,11,9,21,6,12,10,7,10,16,13,12,11,10,9,6,9,10,12,10,11,8,12,8,11,9,13,13,9,15,11,9,25
9,23,10,10,13,12,13,23,9,12,10,9,11,18,14,12,11,10,11,7,11,10,12,10,11,8,13,10,11,12,15,14,9,15,14,10,27
10,26,12,10,14,14,13,25,12,14,12,10,12,19,14,13,11,12,13,7,11,11,13,10,13,9,13,14,12,12,16,14,9,15,15,11,31
11,30,13,11,16,15,14,25,16,15,13,12,12,20,16,14,15,14,14,8,11,15,17,14,13,11,14,16,13,12,18,18,13,15,16,12,33
12,30,13,13,16,16,15,26,19,18,14,12,12,24,16,15,17,15,15,8,15,15,17,16,14,11,16,18,13,13,18,18,14,15,16,12,35
13,30,13,17,17,18,17,28,21,20,14,12,13,25,16,15,19,16,19,8,15,15,18,17,14,11,16,18,13,14,18,18,14,15,17,12,35
