,Man United scored,Man United received,Liverpool scored,Liverpool received,Chelsea scored,Chelsea received,Hull scored,Hull received,Man City scored,Man City received,Swansea scored,Swansea received,West Brom scored,West Brom received,Everton scored,Everton received,Middlesbrough scored,Middlesbrough received,Southampton scored,Southampton received,Stoke scored,Stoke received,Tottenham scored,Tottenham received,Watford scored,Watford received,Arsenal scored,Arsenal received,Leicester scored,Leicester received,Sunderland scored,Sunderland received,West Ham scored,West Ham received,Burnley scored,Burnley received,Crystal Palace scored,Crystal Palace received,Bournemouth scored,Bournemouth received
0,3,1,4,3,2,1,2,1,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,2,1,2,1,2,0,1,0,1,1,3
1,2,0,0,2,2,1,2,0,4,1,0,2,1,2,2,1,2,1,0,2,1,4,1,0,1,2,0,0,0,0,1,2,1,0,2,0,0,1,0,1
2,1,0,1,1,3,0,0,1,3,1,1,2,0,0,1,0,0,0,1,1,0,1,1,1,1,3,3,1,2,1,1,1,1,3,0,3,1,1,1,1
3,1,2,4,1,2,2,1,1,2,1,2,2,0,1,3,0,1,2,1,2,0,4,4,0,4,2,2,1,1,4,0,3,2,4,1,1,2,1,1,0
4,1,3,2,1,1,2,1,4,4,0,0,1,4,2,3,1,1,3,1,0,1,4,1,0,3,1,4,1,3,0,0,1,2,4,0,3,4,1,0,4
5,4,1,5,1,0,3,1,5,3,1,1,3,1,1,0,1,1,2,3,0,1,1,2,1,0,2,3,0,1,4,2,3,0,3,2,0,3,2,1,0
6,1,1,2,1,2,0,0,2,0,2,1,2,1,1,1,1,1,1,0,0,1,1,2,0,2,2,1,0,0,0,1,1,1,1,0,1,1,1,2,2
7,0,0,0,0,3,0,1,6,1,1,2,3,1,1,1,1,0,1,3,1,2,0,1,1,1,0,3,2,0,3,0,2,1,0,1,3,0,1,6,1
8,0,4,2,1,4,0,0,2,1,1,0,0,1,2,1,2,0,0,1,1,2,0,0,0,0,0,0,0,3,1,0,1,1,0,2,1,1,3,0,0
9,0,0,4,2,2,0,0,1,4,0,1,3,0,4,2,0,2,0,0,2,3,1,1,1,1,0,4,1,1,1,1,4,0,2,0,0,2,4,0,2
10,3,1,6,1,5,0,2,1,1,1,1,3,2,1,0,5,1,1,1,2,1,1,1,1,1,6,1,1,1,2,2,1,1,1,3,2,2,3,1,2
11,1,1,0,0,1,0,0,3,2,1,1,1,4,0,1,1,0,1,0,0,0,1,3,2,2,1,1,1,1,2,3,0,2,3,0,4,1,2,1,0
