,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Man United,Liverpool,Chelsea,Hull,Man City,Swansea,West Brom,Everton,Middlesbrough,Southampton,Stoke,Tottenham,Watford,Arsenal,Leicester,Sunderland,West Ham,Burnley,Crystal Palace,Bournemouth
1,Man City,Man United,Hull,Chelsea,Everton,Middlesbrough,Tottenham,Burnley,West Brom,West Ham,Liverpool,Swansea,Arsenal,Watford,Leicester,Southampton,Stoke,Sunderland,Crystal Palace,Bournemouth
2,Man City,Chelsea,Man United,Everton,Hull,Middlesbrough,Tottenham,Arsenal,Leicester,West Brom,Liverpool,West Ham,Burnley,Swansea,Southampton,Sunderland,Crystal Palace,Watford,Bournemouth,Stoke
3,Man City,Chelsea,Everton,Man United,Tottenham,Liverpool,Arsenal,Hull,Middlesbrough,Watford,Crystal Palace,West Brom,Swansea,Bournemouth,Burnley,Leicester,West Ham,Southampton,Sunderland,Stoke
4,Man City,Everton,Tottenham,Arsenal,Chelsea,Liverpool,Man United,Crystal Palace,Watford,West Brom,Leicester,Hull,Middlesbrough,Southampton,Swansea,Burnley,Bournemouth,West Ham,Sunderland,Stoke
5,Man City,Tottenham,Arsenal,Liverpool,Everton,Man United,Crystal Palace,Chelsea,Southampton,West Brom,Watford,Leicester,Burnley,Hull,Bournemouth,Middlesbrough,Swansea,West Ham,Stoke,Sunderland
6,Man City,Tottenham,Arsenal,Liverpool,Everton,Man United,Chelsea,Crystal Palace,West Brom,Southampton,Watford,Leicester,Bournemouth,Burnley,Hull,Middlesbrough,Swansea,West Ham,Stoke,Sunderland
7,Man City,Arsenal,Tottenham,Liverpool,Chelsea,Everton,Man United,Southampton,Crystal Palace,Watford,Bournemouth,West Brom,Leicester,Burnley,West Ham,Hull,Middlesbrough,Stoke,Swansea,Sunderland
8,Man City,Arsenal,Liverpool,Chelsea,Tottenham,Everton,Man United,Southampton,Watford,Bournemouth,Crystal Palace,Leicester,West Brom,Burnley,West Ham,Stoke,Middlesbrough,Hull,Swansea,Sunderland
9,Man City,Arsenal,Liverpool,Chelsea,Tottenham,Everton,Watford,Man United,Southampton,Bournemouth,Leicester,Stoke,Crystal Palace,Burnley,Middlesbrough,West Brom,West Ham,Hull,Swansea,Sunderland
10,Liverpool,Chelsea,Man City,Arsenal,Tottenham,Man United,Everton,Watford,Burnley,Southampton,West Brom,Stoke,Bournemouth,Leicester,Middlesbrough,Crystal Palace,West Ham,Hull,Swansea,Sunderland
11,Chelsea,Liverpool,Man City,Arsenal,Tottenham,Man United,Everton,Watford,West Brom,Bournemouth,Southampton,Burnley,Stoke,Leicester,Middlesbrough,Crystal Palace,West Ham,Hull,Sunderland,Swansea
12,Chelsea,Liverpool,Man City,Arsenal,Tottenham,Man United,Everton,Watford,West Brom,Southampton,Stoke,Bournemouth,Burnley,Leicester,Middlesbrough,West Ham,Crystal Palace,Hull,Swansea,Sunderland
13,Chelsea,Arsenal,Liverpool,Man City,Tottenham,Man United,West Brom,Everton,Stoke,Bournemouth,Watford,Southampton,Middlesbrough,Crystal Palace,Burnley,Leicester,West Ham,Sunderland,Hull,Swansea
14,Chelsea,Arsenal,Liverpool,Man City,Tottenham,Man United,Watford,West Brom,Everton,Southampton,Stoke,Bournemouth,Burnley,Leicester,Crystal Palace,Middlesbrough,West Ham,Swansea,Hull,Sunderland
15,Chelsea,Liverpool,Arsenal,Man City,Tottenham,Man United,West Brom,Everton,Southampton,Bournemouth,Watford,Stoke,Burnley,Leicester,West Ham,Crystal Palace,Middlesbrough,Swansea,Hull,Sunderland
16,Chelsea,Liverpool,Man City,Arsenal,Tottenham,Man United,Southampton,West Brom,Everton,Bournemouth,Stoke,Watford,West Ham,Middlesbrough,Leicester,Burnley,Crystal Palace,Sunderland,Swansea,Hull
17,Chelsea,Liverpool,Man City,Arsenal,Tottenham,Man United,Everton,Southampton,West Brom,Watford,West Ham,Bournemouth,Stoke,Burnley,Middlesbrough,Leicester,Crystal Palace,Sunderland,Swansea,Hull
18,Chelsea,Liverpool,Arsenal,Tottenham,Man City,Man United,Everton,West Brom,Southampton,Bournemouth,Burnley,West Ham,Watford,Stoke,Leicester,Middlesbrough,Crystal Palace,Sunderland,Hull,Swansea
19,Chelsea,Liverpool,Tottenham,Man City,Arsenal,Man United,Everton,West Brom,Bournemouth,Southampton,Stoke,Burnley,West Ham,Watford,Leicester,Middlesbrough,Crystal Palace,Sunderland,Swansea,Hull
20,Chelsea,Tottenham,Liverpool,Arsenal,Man City,Man United,Everton,West Brom,Stoke,Burnley,Bournemouth,West Ham,Southampton,Watford,Leicester,Middlesbrough,Crystal Palace,Hull,Sunderland,Swansea
21,Chelsea,Arsenal,Tottenham,Liverpool,Man City,Man United,Everton,West Brom,Stoke,West Ham,Southampton,Bournemouth,Burnley,Watford,Leicester,Middlesbrough,Swansea,Crystal Palace,Hull,Sunderland
22,Chelsea,Tottenham,Arsenal,Liverpool,Man City,Man United,Everton,West Brom,Stoke,Burnley,West Ham,Southampton,Watford,Bournemouth,Middlesbrough,Leicester,Swansea,Crystal Palace,Hull,Sunderland
23,Chelsea,Tottenham,Man City,Arsenal,Liverpool,Man United,Everton,West Brom,West Ham,Watford,Stoke,Burnley,Southampton,Bournemouth,Middlesbrough,Leicester,Swansea,Hull,Crystal Palace,Sunderland
24,Chelsea,Man City,Tottenham,Arsenal,Liverpool,Man United,Everton,West Brom,Stoke,West Ham,Southampton,Burnley,Watford,Bournemouth,Swansea,Middlesbrough,Leicester,Hull,Crystal Palace,Sunderland
25,Chelsea,Tottenham,Arsenal,Man City,Liverpool,Man United,Everton,West Brom,West Ham,Stoke,Burnley,Watford,Southampton,Bournemouth,Leicester,Swansea,Middlesbrough,Crystal Palace,Hull,Sunderland
26,Chelsea,Tottenham,Man City,Arsenal,Liverpool,Man United,Everton,West Brom,Stoke,Southampton,West Ham,Burnley,Watford,Bournemouth,Leicester,Swansea,Crystal Palace,Middlesbrough,Hull,Sunderland
27,Chelsea,Tottenham,Man City,Arsenal,Liverpool,Man United,Everton,West Brom,Stoke,Southampton,West Ham,Burnley,Watford,Bournemouth,Leicester,Swansea,Middlesbrough,Crystal Palace,Hull,Sunderland
28,Chelsea,Tottenham,Man City,Liverpool,Arsenal,Man United,Everton,West Brom,Stoke,Southampton,Bournemouth,West Ham,Burnley,Watford,Leicester,Crystal Palace,Swansea,Middlesbrough,Hull,Sunderland
29,Chelsea,Tottenham,Liverpool,Man City,Arsenal,Man United,Everton,West Brom,Stoke,Southampton,Bournemouth,Watford,West Ham,Leicester,Burnley,Crystal Palace,Swansea,Hull,Middlesbrough,Sunderland
30,Chelsea,Tottenham,Arsenal,Liverpool,Man City,Man United,Everton,West Brom,Southampton,Watford,Leicester,Stoke,Bournemouth,Burnley,West Ham,Crystal Palace,Hull,Swansea,Middlesbrough,Sunderland
