,Atalanta scored,Atalanta received,Empoli scored,Empoli received,Juventus scored,Juventus received,Milan scored,Milan received,Napoli scored,Napoli received,Roma scored,Roma received,Sassuolo scored,Sassuolo received,Spal scored,Spal received,Udinese scored,Udinese received,Sampdoria scored,Sampdoria received,Parma scored,Parma received,Fiorentina scored,Fiorentina received,Genoa scored,Genoa received,Lazio scored,Lazio received,Bologna scored,Bologna received,Inter scored,Inter received,Torino scored,Torino received,Frosinone scored,Frosinone received,Cagliari scored,Cagliari received,Chievo scored,Chievo received
0,4,0,2,0,3,2,2,1,2,1,1,0,1,0,1,0,2,2,1,1,2,2,1,1,1,2,1,2,0,1,0,1,0,1,0,4,0,2,2,3
1,3,3,1,2,2,0,2,3,3,2,3,3,2,2,1,0,1,0,0,1,0,1,6,1,2,1,0,2,0,0,2,2,2,2,0,0,2,2,1,6
2,0,1,0,0,2,1,2,1,0,3,1,2,5,3,0,1,0,1,3,0,1,2,1,0,3,5,1,0,0,3,3,0,1,0,0,1,1,0,0,0
3,0,2,0,1,2,1,1,1,1,0,2,2,1,2,2,0,1,1,5,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,5,1,1,2,2
4,2,2,1,3,2,0,2,2,3,1,0,2,3,1,0,3,2,0,0,1,2,0,3,0,1,4,4,1,2,0,1,0,1,3,0,2,0,2,0,2
5,0,0,1,1,2,0,1,1,3,0,4,0,2,0,0,2,1,2,0,0,0,3,1,2,2,0,2,1,0,2,2,1,0,0,0,4,0,0,0,2
6,0,2,0,1,3,1,4,1,1,3,3,1,1,4,1,2,1,2,2,1,1,0,2,0,2,1,1,3,2,1,2,0,1,0,1,2,0,2,0,1
7,0,1,0,2,2,0,3,1,2,0,2,0,0,2,1,2,0,2,1,0,3,1,0,1,1,3,1,0,0,2,2,1,3,2,2,3,2,0,1,3
8,5,1,3,3,1,1,0,1,3,0,0,2,0,0,2,0,0,3,0,0,0,2,1,1,1,1,2,0,2,2,1,0,2,2,3,3,1,1,1,5
9,3,0,1,2,2,1,3,2,1,1,1,1,2,2,0,3,2,2,2,3,0,3,1,1,2,2,0,3,2,2,3,0,1,1,3,0,2,1,1,2
10,2,1,1,5,3,1,1,0,5,1,1,1,2,0,1,4,0,1,1,4,0,0,1,1,0,5,4,1,1,2,5,0,4,1,0,0,1,3,0,2
11,4,1,2,1,2,0,0,2,2,1,4,1,1,1,2,2,1,2,1,4,2,1,1,1,1,2,1,1,2,2,1,4,1,2,1,1,2,2,2,2
12,2,3,3,2,2,0,1,1,0,0,0,1,1,2,0,2,1,0,1,1,2,1,0,0,1,1,1,1,0,0,3,0,0,0,0,3,0,0,0,0
13,1,2,2,2,3,0,2,1,2,1,2,2,0,0,2,2,0,0,4,1,1,2,0,3,1,2,1,1,1,4,2,2,2,1,1,1,1,1,1,1
14,3,1,2,1,1,0,0,0,4,0,2,2,3,3,1,1,1,3,2,2,1,1,3,3,1,1,2,2,1,2,0,1,0,0,0,4,2,2,1,1
15,1,0,1,3,1,0,0,0,1,0,3,2,2,0,0,0,0,1,2,0,0,2,3,1,2,3,0,1,0,0,1,0,0,1,0,2,0,1,0,0
16,1,3,2,4,1,0,0,1,1,0,0,1,1,1,0,1,1,1,4,2,0,0,1,0,3,1,3,1,0,0,1,1,1,1,1,1,1,3,1,1
17,2,2,0,3,2,2,0,0,0,1,3,1,1,3,0,0,0,0,2,0,1,0,0,1,0,1,2,0,0,2,1,0,3,0,0,0,1,0,0,2
18,6,2,0,1,2,1,2,1,3,2,2,0,2,6,1,2,2,0,1,2,0,2,0,0,0,0,1,1,2,3,1,0,1,1,0,1,0,2,1,0
19,5,0,2,2,3,0,2,0,2,1,3,2,0,0,1,1,1,2,3,3,2,1,3,3,0,2,1,2,1,1,0,0,2,3,0,5,2,2,0,3
20,3,3,1,3,2,1,0,0,0,0,3,3,3,0,3,2,0,4,4,0,2,3,4,3,3,1,1,2,0,4,0,1,1,0,4,0,0,3,3,4
21,1,0,2,2,3,3,1,1,3,0,1,1,1,1,0,0,1,1,0,3,3,3,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,2,2
22,2,1,0,1,3,0,3,0,0,0,3,0,0,3,1,2,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,3,0,3
23,1,3,3,0,3,0,3,1,0,0,2,1,0,3,1,4,1,0,1,2,1,2,4,1,2,1,1,2,1,2,2,1,0,0,0,3,2,1,0,1
24,0,2,0,3,1,0,3,0,4,0,3,2,1,1,1,1,0,2,1,0,0,4,3,3,0,0,2,0,0,1,3,3,2,0,2,3,0,1,0,0
25,3,1,3,3,2,1,1,0,1,2,0,3,0,1,1,2,2,1,2,1,3,3,1,3,0,0,3,0,1,2,1,2,3,0,0,0,2,1,0,3
26,2,1,1,2,4,1,2,1,1,1,2,1,1,1,0,2,1,4,1,2,1,0,1,1,0,1,1,1,2,0,2,0,2,1,1,2,0,2,1,2
27,1,1,2,1,0,2,2,3,4,2,1,2,3,5,2,1,2,4,5,3,1,4,1,2,2,0,4,1,3,2,3,2,2,3,1,2,2,1,1,1
28,3,1,0,1,1,0,0,1,4,1,1,4,1,2,1,0,2,0,1,0,1,3,1,1,0,2,1,0,2,1,0,1,1,1,0,1,3,0,0,3
29,4,1,2,1,2,0,1,1,1,2,2,2,4,0,1,0,1,1,1,2,2,3,2,2,0,4,0,1,1,4,4,0,2,1,3,2,0,2,0,4
30,0,0,2,3,2,1,1,2,1,1,1,0,2,2,1,2,3,2,0,1,0,0,0,1,1,1,2,2,3,0,0,0,0,0,1,0,2,1,0,3
