,Genoa scored,Genoa received,Milan scored,Milan received,Sampdoria scored,Sampdoria received,Palermo scored,Palermo received,Juventus scored,Juventus received,Lazio scored,Lazio received,Fiorentina scored,Fiorentina received,Bologna scored,Bologna received,Inter scored,Inter received,Udinese scored,Udinese received,Cagliari scored,Cagliari received,Roma scored,Roma received,Siena scored,Siena received,Catania scored,Catania received,Napoli scored,Napoli received,Atalanta scored,Atalanta received,Chievo scored,Chievo received,Parma scored,Parma received,Bari scored,Bari received,Livorno scored,Livorno received
1,2.6666666666666665,1.0,1.3333333333333333,2.3333333333333335,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.6666666666666665,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,3.0,1.6666666666666667,3.0,2.3333333333333335,1.6666666666666667,3.3333333333333335,2.3333333333333335,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,2.3333333333333335,1.3333333333333333,1.6666666666666667,2.3333333333333335,0.3333333333333333,1.6666666666666667,,,,,,
2,3.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.0,1.0,1.0,1.3333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.0,1.0,3.3333333333333335,1.0,3.6666666666666665,2.3333333333333335,1.0,3.3333333333333335,2.0,2.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,3.0,2.3333333333333335,1.6666666666666667,1.0,2.0,1.0,1.6666666666666667,,,,,,
3,2.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,2.6666666666666665,0.6666666666666666,0.3333333333333333,1.0,2.3333333333333335,0.3333333333333333,1.0,1.3333333333333333,1.0,1.0,0.0,1.0,2.6666666666666665,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,2.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.3333333333333333,1.6666666666666667,0.3333333333333333,2.0,2.0,1.0,1.0,1.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.6666666666666667
4,2.3333333333333335,2.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,2.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,0.6666666666666666,1.0,2.3333333333333335,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.0,2.6666666666666665,1.6666666666666667,0.6666666666666666,2.0,1.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.0,1.0,1.6666666666666667,1.0,0.0,1.3333333333333333
5,1.0,2.3333333333333335,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,1.0,1.3333333333333333,1.3333333333333333,1.0,1.0,0.6666666666666666,1.6666666666666667,1.0,1.0,0.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.6666666666666667,0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.0,1.0,1.3333333333333333,0.6666666666666666,0.0,1.6666666666666667
6,1.6666666666666667,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,2.0,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,1.0,1.0,0.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.3333333333333333,0.0,0.3333333333333333,0.0,1.0
7,1.0,2.6666666666666665,1.0,0.6666666666666666,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,2.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0
8,1.6666666666666667,3.0,1.6666666666666667,1.0,2.0,1.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,1.0,3.0,3.0,0.6666666666666666,0.6666666666666666,2.0,1.6666666666666667,2.0,1.0,1.3333333333333333,0.0,0.6666666666666666,1.0,1.0,1.3333333333333333,1.0,2.3333333333333335,1.0,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666
9,1.3333333333333333,3.0,2.0,1.3333333333333333,2.0,2.3333333333333335,2.0,2.0,2.3333333333333335,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.3333333333333335,4.0,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,2.0,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,1.0,1.0,0.6666666666666666
10,1.3333333333333333,1.3333333333333333,2.0,1.0,1.6666666666666667,2.0,1.3333333333333333,1.6666666666666667,2.6666666666666665,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.3333333333333335,3.0,1.3333333333333333,1.0,1.0,2.3333333333333335,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,2.3333333333333335,2.0,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
