,Genoa scored,Genoa received,Milan scored,Milan received,Sampdoria scored,Sampdoria received,Palermo scored,Palermo received,Juventus scored,Juventus received,Lazio scored,Lazio received,Parma scored,Parma received,Fiorentina scored,Fiorentina received,Bari scored,Bari received,Bologna scored,Bologna received,Inter scored,Inter received,Livorno scored,Livorno received,Udinese scored,Udinese received,Cagliari scored,Cagliari received,Roma scored,Roma received,Siena scored,Siena received,Catania scored,Catania received,Napoli scored,Napoli received,Atalanta scored,Atalanta received,Chievo scored,Chievo received
0,3,2,2,1,2,1,2,1,1,0,1,0,2,2,1,1,1,1,1,1,1,1,0,0,2,2,0,0,2,3,1,2,1,2,1,2,0,1,0,1
1,1,0,0,4,3,1,0,1,3,1,2,1,2,1,1,0,0,0,0,0,4,0,1,3,1,3,1,3,1,3,3,1,1,2,3,1,0,1,1,2
2,4,1,0,0,1,0,1,1,2,0,0,2,0,2,1,0,1,1,0,2,2,0,0,0,4,2,0,1,2,1,1,2,2,4,1,4,0,1,2,0
3,1,3,1,0,4,1,0,1,2,0,1,1,1,0,1,3,4,1,0,1,2,1,0,2,0,0,1,2,3,1,1,4,1,1,0,0,1,4,3,1
4,2,2,0,1,0,2,3,3,2,2,1,2,2,1,2,0,0,1,2,0,3,1,0,2,1,0,1,0,3,3,0,0,0,0,1,3,0,0,0,0
5,0,2,0,0,1,0,1,1,1,1,1,1,0,2,1,0,0,0,1,1,0,1,0,1,2,0,2,0,1,1,1,2,1,1,2,1,1,1,1,1
6,3,1,1,1,1,1,2,0,0,2,0,0,1,1,0,0,0,0,1,3,2,1,0,0,1,2,1,2,2,1,0,0,0,0,1,2,1,1,2,1
7,0,5,2,1,1,1,2,1,1,1,1,1,1,0,1,1,2,1,1,2,5,0,1,2,1,3,1,2,1,2,0,1,2,1,2,1,3,1,1,2
8,2,3,2,1,4,1,1,0,1,0,0,2,1,3,0,1,2,0,1,4,2,1,1,0,0,1,3,2,0,1,0,1,1,2,1,0,3,1,1,2
9,2,1,2,2,1,5,3,5,5,1,0,1,2,0,1,2,0,2,2,1,5,3,1,0,2,1,1,0,1,2,1,2,1,2,2,2,0,1,2,1
10,0,0,2,0,0,0,0,0,2,3,1,1,0,2,3,1,0,0,1,2,2,0,0,2,1,1,3,0,2,1,1,1,1,3,3,2,0,3,1,1
11,4,2,2,1,0,2,1,3,5,2,1,2,2,0,1,0,1,0,3,1,1,1,0,1,0,1,2,0,1,1,2,4,0,0,0,0,2,5,0,2
12,1,2,4,3,2,1,1,1,1,0,0,0,3,2,2,3,1,3,1,3,3,1,2,1,0,1,3,4,3,1,0,2,1,1,0,0,2,0,1,2
13,3,0,2,0,0,3,0,1,0,2,0,0,1,1,0,1,2,1,0,0,1,0,0,2,2,0,2,0,2,1,1,2,0,2,1,1,1,2,1,0
14,2,2,3,0,0,3,2,1,2,1,0,1,2,2,2,0,2,3,2,1,1,2,0,2,1,2,1,2,1,0,3,2,2,3,3,2,0,2,2,0
15,0,1,0,2,0,0,2,0,1,3,1,0,2,1,1,2,3,1,1,2,1,1,1,0,1,2,3,3,0,0,2,1,0,1,3,3,1,1,2,1
16,1,1,2,1,1,3,1,0,1,2,0,1,0,2,1,2,1,1,2,2,1,0,3,1,2,1,1,2,2,0,0,1,2,1,2,0,2,2,0,2
17,2,5,5,2,1,1,1,1,2,1,4,1,1,2,5,1,2,0,0,1,1,0,1,4,0,2,2,2,2,2,1,5,1,0,2,0,0,2,0,1
18,2,0,3,0,0,1,1,0,0,3,1,1,1,2,2,1,1,2,0,1,4,3,2,1,1,1,1,0,1,0,3,4,0,2,1,0,0,1,0,1
19,0,3,4,0,1,1,0,0,0,1,0,3,0,0,1,2,2,2,2,1,2,2,0,3,0,0,3,0,3,0,0,4,1,1,0,0,3,0,1,0
20,2,0,0,2,3,2,3,0,1,2,1,1,0,3,0,3,1,2,2,1,2,0,0,2,2,3,1,1,2,1,1,1,3,0,2,0,0,2,1,1
21,0,0,1,1,2,0,2,4,1,1,1,1,1,1,2,2,4,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,0,0,0,2,1,1
22,1,0,0,0,2,1,2,1,1,1,0,1,1,2,0,1,0,1,0,0,3,0,1,1,3,1,0,3,1,0,1,2,1,0,1,3,1,0,0,1
23,2,3,3,2,2,0,1,4,3,2,2,0,0,2,0,2,1,3,1,0,0,0,0,1,2,3,3,1,4,1,1,0,0,0,0,0,0,0,0,1
24,3,0,2,0,0,0,3,1,2,1,1,3,0,2,2,1,0,2,1,2,0,0,1,2,0,3,2,0,1,0,0,0,0,1,0,0,0,1,1,0
25,3,4,3,1,0,1,2,0,0,2,1,1,1,0,1,1,0,4,4,3,3,2,1,2,2,3,1,2,2,2,2,1,4,0,2,2,1,3,2,1
26,0,0,0,0,2,1,1,0,2,1,1,2,1,1,1,2,1,0,2,1,0,0,0,1,0,0,2,2,0,0,1,1,2,2,1,2,0,0,0,1
27,5,3,1,0,1,1,2,3,3,3,0,2,1,0,3,1,2,0,1,1,1,3,3,3,3,2,3,5,3,3,3,3,3,1,1,3,0,1,0,1
28,0,3,1,1,1,0,1,1,0,1,2,0,1,1,3,0,1,1,0,1,1,1,0,3,2,4,0,2,4,2,1,0,1,1,1,1,3,0,1,1
29,2,2,0,1,1,2,2,2,1,3,2,0,1,0,0,1,2,1,0,2,3,0,0,3,0,0,1,3,2,0,0,2,1,0,3,1,3,1,0,0
30,0,0,1,1,1,1,3,1,2,1,1,1,0,0,4,1,1,1,1,3,1,2,1,1,1,4,1,1,2,1,0,0,0,1,1,0,1,2,0,0
31,1,1,3,2,2,1,0,2,0,3,1,1,1,1,1,1,0,1,0,3,3,0,1,1,3,0,2,3,1,0,0,2,2,0,1,1,2,0,1,2
32,0,1,2,2,1,0,3,1,1,0,3,2,3,2,2,2,2,3,2,3,2,2,0,2,2,0,0,1,2,1,3,2,2,2,2,3,1,2,1,3
33,3,2,1,2,2,1,2,2,0,2,1,2,2,3,1,2,1,2,1,1,2,0,0,2,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,0
34,1,2,1,3,2,1,3,1,3,0,2,1,1,2,0,2,0,3,2,1,3,1,3,1,4,1,0,0,1,2,1,4,1,3,0,0,1,3,2,0
35,0,3,1,0,2,0,2,1,1,1,0,2,1,2,0,1,3,0,1,1,2,0,0,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,2
36,1,0,0,1,1,1,1,1,2,3,2,1,3,2,1,1,3,3,1,1,4,3,1,2,3,3,1,2,2,1,1,1,1,1,2,0,0,2,3,4
37,0,1,3,0,1,0,2,1,0,3,3,1,4,1,0,2,2,0,1,1,1,0,1,4,1,3,1,1,2,0,0,1,1,0,0,1,1,2,0,2
