,Twente scored,Twente received,Nijmegen scored,Nijmegen received,Waalwijk scored,Waalwijk received,Feyenoord scored,Feyenoord received,Den Haag scored,Den Haag received,Ajax scored,Ajax received,AZ Alkmaar scored,AZ Alkmaar received,Vitesse scored,Vitesse received,Heracles scored,Heracles received,NAC Breda scored,NAC Breda received,Roda scored,Roda received,VVV Venlo scored,VVV Venlo received,PSV Eindhoven scored,PSV Eindhoven received,Utrecht scored,Utrecht received,Heerenveen scored,Heerenveen received,Groningen scored,Groningen received,Zwolle scored,Zwolle received,Willem II scored,Willem II received
0,2.0,3.3333333333333335,1.3333333333333333,1.0,2.6666666666666665,2.0,2.6666666666666665,1.0,1.3333333333333333,4.0,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,2.3333333333333335,1.3333333333333333,3.3333333333333335,2.3333333333333335,1.3333333333333333,1.3333333333333333,3.6666666666666665,2.0,1.6666666666666667,3.6666666666666665,0.6666666666666666,2.0,2.0,3.3333333333333335,2.6666666666666665,0.6666666666666666,1.0,,,,
1,2.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,3.0,2.3333333333333335,2.6666666666666665,1.3333333333333333,1.6666666666666667,4.0,3.6666666666666665,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.0,3.0,1.3333333333333333,1.3333333333333333,1.0,4.333333333333333,1.6666666666666667,2.3333333333333335,4.333333333333333,0.3333333333333333,2.6666666666666665,1.3333333333333333,2.3333333333333335,2.3333333333333335,0.6666666666666666,1.0,,,,
2,2.0,1.6666666666666667,1.3333333333333333,3.3333333333333335,1.6666666666666667,1.6666666666666667,2.0,1.3333333333333333,3.0,3.0,4.666666666666667,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,1.0,2.3333333333333335,1.0,2.6666666666666665,0.3333333333333333,3.0,2.3333333333333335,3.0,3.6666666666666665,0.6666666666666666,2.3333333333333335,1.0,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,,,,
3,1.6666666666666667,0.3333333333333333,2.0,3.0,1.3333333333333333,1.0,1.0,1.0,2.0,1.6666666666666667,4.333333333333333,1.0,1.3333333333333333,2.0,1.3333333333333333,0.0,1.0,2.0,0.3333333333333333,2.3333333333333335,1.0,2.0,1.0,2.6666666666666665,4.333333333333333,0.6666666666666666,1.6666666666666667,1.0,1.0,1.0,1.0,1.3333333333333333,0.3333333333333333,2.0,0.3333333333333333,2.0
4,3.3333333333333335,1.0,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.3333333333333333,3.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,2.0,0.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,2.6666666666666665,1.0,1.0,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,2.0,0.3333333333333333,2.3333333333333335,0.6666666666666666,3.6666666666666665
5,2.6666666666666665,0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.0,2.0,2.3333333333333335,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,1.0,0.3333333333333333,1.0,2.0,1.0,1.3333333333333333,0.3333333333333333,2.6666666666666665,0.6666666666666666,3.0
6,2.3333333333333335,1.0,1.0,2.3333333333333335,1.3333333333333333,2.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.6666666666666667,1.3333333333333333,0.3333333333333333,2.6666666666666665,1.6666666666666667,2.0,0.6666666666666666,2.0,1.6666666666666667,1.0,1.6666666666666667,0.6666666666666666,2.6666666666666665,1.0,3.0,3.0,0.3333333333333333,1.0,0.6666666666666666,1.0,1.3333333333333333,1.6666666666666667,2.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.3333333333333335
7,1.3333333333333333,0.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,1.6666666666666667,2.3333333333333335,2.0,1.6666666666666667,1.6666666666666667,1.0,0.6666666666666666,1.3333333333333333,2.6666666666666665,2.0,1.6666666666666667,2.3333333333333335,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.3333333333333333,0.3333333333333333,3.3333333333333335,4.333333333333333,0.0,1.0,1.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.3333333333333333
8,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.0,1.3333333333333333,2.0,3.3333333333333335,1.6666666666666667,1.6666666666666667,2.0,1.6666666666666667,1.3333333333333333,1.0,2.6666666666666665,2.6666666666666665,1.3333333333333333,3.0,2.0,0.0,3.0,2.0,1.3333333333333333,0.6666666666666666,4.0,4.333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.0,1.6666666666666667,2.3333333333333335,1.0,1.3333333333333333,1.0,1.3333333333333333
9,1.6666666666666667,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,2.3333333333333335,2.0,1.3333333333333333,1.0,2.0,2.0,0.6666666666666666,2.0,2.3333333333333335,1.6666666666666667,4.0,2.0,1.3333333333333333,2.6666666666666665,1.3333333333333333,0.3333333333333333,1.0,3.3333333333333335,3.0,1.0,1.3333333333333333,0.6666666666666666,3.0,3.0,0.6666666666666666,2.0,1.0,2.0,1.0,1.6666666666666667
