,Twente scored,Twente received,Nijmegen scored,Nijmegen received,Waalwijk scored,Waalwijk received,Feyenoord scored,Feyenoord received,Den Haag scored,Den Haag received,Ajax scored,Ajax received,AZ Alkmaar scored,AZ Alkmaar received,Vitesse scored,Vitesse received,Heracles scored,Heracles received,NAC Breda scored,NAC Breda received,Zwolle scored,Zwolle received,Roda scored,Roda received,VVV Venlo scored,VVV Venlo received,Willem II scored,Willem II received,PSV Eindhoven scored,PSV Eindhoven received,Utrecht scored,Utrecht received,Heerenveen scored,Heerenveen received,Groningen scored,Groningen received
0,4,1,2,0,3,2,1,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,0,1,0,2,1,4
1,1,0,1,6,2,2,1,1,2,2,6,1,3,1,1,0,1,3,0,1,0,1,0,5,1,3,1,1,5,0,3,1,1,1,1,1
2,3,1,1,3,1,0,2,1,4,2,5,0,0,0,2,0,1,2,0,5,1,1,0,1,2,4,0,2,3,1,1,1,0,0,1,3
3,1,0,4,0,1,1,0,1,0,1,2,2,1,5,1,0,1,1,1,1,0,4,3,0,0,1,0,3,5,1,1,1,2,2,1,0
4,6,2,2,2,0,2,2,0,3,1,2,0,4,0,3,0,2,1,1,2,0,2,0,4,2,2,2,6,0,1,1,0,1,3,0,3
5,1,0,0,0,1,1,0,3,1,1,1,1,1,2,1,1,1,1,2,1,1,2,0,1,1,1,0,0,3,0,1,0,0,1,2,1
6,0,1,1,5,3,3,5,1,3,3,1,0,3,3,2,1,3,3,0,2,1,0,2,3,0,6,0,1,6,0,1,2,2,0,3,2
7,3,0,1,1,0,1,2,2,1,1,1,1,0,3,3,3,3,0,0,4,0,3,3,0,0,3,1,0,4,0,1,1,3,3,2,2
8,1,1,2,0,1,2,3,2,1,2,3,3,0,2,3,0,3,3,0,3,2,1,1,1,2,3,2,3,3,2,2,1,3,0,0,3
9,1,0,0,0,0,1,2,2,2,0,2,2,2,1,1,2,6,3,4,1,1,2,0,0,1,4,0,2,2,1,1,0,3,6,0,1
10,3,0,2,1,1,2,0,3,0,0,0,2,1,2,2,0,0,4,2,1,1,2,0,0,2,1,1,5,4,0,5,1,2,1,1,2
11,0,0,3,2,4,0,5,2,2,2,4,2,2,2,0,0,2,3,0,1,2,4,2,5,4,1,1,4,5,1,0,4,1,5,1,0
12,1,1,1,4,2,0,3,0,1,6,2,0,1,1,4,1,5,1,0,2,2,0,1,5,0,2,0,3,6,1,1,1,0,2,1,1
13,2,2,2,0,1,1,2,0,3,0,2,1,0,2,2,1,2,2,0,3,2,2,1,2,1,1,2,2,1,2,0,2,1,1,1,1
14,2,0,1,1,0,2,2,0,0,2,3,1,1,2,3,0,0,2,1,1,0,0,0,3,0,0,3,1,1,3,2,1,1,3,2,0
15,0,3,0,2,2,0,2,2,1,1,2,0,0,0,1,3,1,1,2,2,1,1,4,4,3,1,0,0,3,0,1,1,4,4,0,2
16,3,2,1,1,2,2,3,2,2,3,4,2,2,1,2,2,2,3,0,0,1,2,0,0,0,0,2,4,1,1,3,1,1,3,0,0
17,3,0,0,2,0,0,2,1,2,0,0,0,0,3,1,2,1,1,1,6,1,1,4,2,2,4,0,0,6,1,0,0,2,1,1,2
18,0,0,0,2,0,0,0,3,1,1,3,0,4,1,1,4,1,0,1,0,3,1,2,0,0,1,1,1,1,3,2,0,0,1,0,2
19,0,0,2,1,0,4,0,0,2,2,2,3,4,1,3,2,1,5,4,0,1,1,2,2,1,4,1,3,5,1,3,1,1,1,1,2
20,2,4,2,1,0,1,3,1,0,7,3,0,0,1,1,2,3,3,3,0,0,3,3,3,0,3,1,3,7,0,4,2,1,0,1,0
21,1,1,3,0,1,2,3,1,2,1,1,1,1,3,2,2,4,1,1,2,1,1,1,1,2,2,1,4,2,2,0,3,2,2,2,1
