,Sampdoria scored,Sampdoria received,Chievo scored,Chievo received,Fiorentina scored,Fiorentina received,Lazio scored,Lazio received,Sassuolo scored,Sassuolo received,Torino scored,Torino received,Inter scored,Inter received,Palermo scored,Palermo received,Udinese scored,Udinese received,Roma scored,Roma received,Verona scored,Verona received,Bologna scored,Bologna received,Frosinone scored,Frosinone received,Napoli scored,Napoli received,Atalanta scored,Atalanta received,Juventus scored,Juventus received,Milan scored,Milan received,Carpi scored,Carpi received,Empoli scored,Empoli received,Genoa scored,Genoa received
19,29,32,26,22,37,21,25,29,25,21,27,26,25,13,19,33,18,31,37,23,13,32,22,27,22,45,41,16,21,24,37,15,27,23,19,35,25,24,23,26
20,31,36,27,26,39,21,29,30,25,23,27,28,26,14,23,34,19,35,37,24,14,33,24,27,22,45,45,18,21,24,38,15,29,25,20,36,27,26,24,27
21,33,39,27,30,39,21,29,30,26,24,27,28,26,17,24,35,19,35,40,25,14,33,27,29,23,48,50,19,22,25,42,15,32,25,21,37,28,31,24,27
22,35,41,27,31,41,22,29,32,26,26,29,30,27,17,24,37,20,36,42,25,16,34,27,30,24,48,52,19,23,27,43,15,34,25,22,39,29,32,24,28
23,36,43,29,32,42,23,29,32,28,28,30,32,30,20,26,39,21,37,44,26,19,37,28,31,24,50,53,19,23,27,45,15,35,26,22,40,29,32,24,28
24,36,43,30,33,44,24,34,34,29,29,33,33,31,22,27,42,21,38,47,27,21,42,29,31,26,51,53,20,23,27,46,15,37,27,23,43,30,34,25,30
25,37,46,31,36,47,26,34,34,32,31,33,33,34,23,27,47,22,40,52,27,24,43,29,31,26,51,54,21,25,30,46,15,38,28,23,43,32,37,27,31
26,39,46,32,36,48,27,34,36,34,31,33,34,34,25,27,47,24,40,55,28,24,45,29,31,26,53,55,22,26,31,48,15,39,28,24,44,33,40,27,32
27,42,46,33,39,49,31,35,37,36,31,34,35,37,26,28,50,24,42,59,29,24,48,29,31,28,53,58,23,26,33,50,15,39,30,24,44,33,41,28,32
28,43,47,33,39,50,32,37,37,36,32,36,38,39,27,28,51,25,44,61,30,25,49,30,33,29,55,59,23,26,35,51,15,39,30,26,45,34,42,31,34
29,43,48,34,39,50,32,38,38,37,33,37,42,40,28,28,51,26,45,62,31,26,51,30,35,29,55,62,24,28,35,55,16,40,31,28,46,34,42,32,37
30,44,49,37,40,51,33,39,42,40,34,39,43,41,30,29,54,29,46,66,32,27,51,30,36,29,59,63,27,30,36,56,16,41,33,29,49,34,43,36,37
31,46,49,38,40,51,35,42,42,40,35,41,44,42,30,29,57,29,48,67,33,27,54,31,37,29,60,66,27,31,38,58,17,42,35,29,50,36,43,37,37
32,46,50,38,40,54,36,44,42,41,38,42,44,44,30,29,61,29,48,70,36,28,56,31,38,31,61,66,29,34,41,62,17,43,35,33,51,36,45,38,41
33,46,50,43,41,55,38,44,45,41,38,44,47,44,31,31,63,31,49,73,38,28,57,31,44,32,66,72,29,36,43,65,17,43,35,33,51,37,45,39,41
34,48,51,43,42,56,40,45,47,44,39,45,50,47,32,33,63,32,52,74,38,30,58,33,44,32,68,72,30,37,43,67,18,44,37,34,51,37,46,39,43
35,48,53,43,42,56,40,47,47,45,39,50,51,47,34,35,63,33,57,77,40,30,59,33,44,35,71,74,31,38,45,69,18,47,40,34,53,37,46,41,46
36,48,56,43,45,56,40,50,48,46,39,51,53,49,35,35,63,34,58,80,40,32,60,33,45,35,72,76,32,39,46,70,20,48,40,35,56,38,48,44,46
37,48,61,43,45,60,42,52,52,49,40,52,55,50,38,38,65,35,60,83,41,34,63,33,45,35,76,80,32,41,47,75,20,49,43,37,57,40,49,45,48
