,Sampdoria scored,Sampdoria received,Chievo scored,Chievo received,Fiorentina scored,Fiorentina received,Lazio scored,Lazio received,Sassuolo scored,Sassuolo received,Torino scored,Torino received,Inter scored,Inter received,Palermo scored,Palermo received,Udinese scored,Udinese received,Roma scored,Roma received,Verona scored,Verona received,Bologna scored,Bologna received,Frosinone scored,Frosinone received,Napoli scored,Napoli received,Atalanta scored,Atalanta received,Juventus scored,Juventus received,Milan scored,Milan received,Carpi scored,Carpi received,Empoli scored,Empoli received,Genoa scored,Genoa received
0,5,2,3,1,2,0,2,1,2,1,2,1,1,0,1,0,1,0,1,1,1,1,1,2,1,2,1,2,0,1,0,1,0,2,2,5,1,3,0,1
1,2,2,4,0,1,3,0,4,1,0,3,1,2,1,1,0,0,1,2,1,0,2,0,1,0,2,2,2,2,0,1,2,2,1,1,2,1,2,2,0
2,2,0,1,1,1,0,2,0,2,2,2,2,1,0,2,2,0,2,2,0,2,2,0,2,0,2,2,2,2,2,1,1,0,1,2,2,2,2,0,1
3,0,2,0,1,1,0,0,5,2,2,2,0,1,0,2,3,1,2,2,2,1,1,1,0,0,1,5,0,1,1,2,0,3,2,0,1,2,1,0,2
4,2,1,1,0,2,0,2,0,1,0,0,1,1,0,0,1,2,3,1,2,0,1,0,2,1,1,0,0,1,0,1,1,3,2,0,0,0,1,0,2
5,1,2,1,1,4,1,2,1,1,1,2,1,1,4,1,2,2,1,5,1,1,2,1,2,2,0,2,1,2,1,1,2,0,1,1,5,0,2,1,0
6,1,1,1,1,3,0,2,0,0,1,1,2,1,1,2,4,1,1,4,2,1,1,1,3,0,2,4,0,0,3,3,1,0,4,2,1,1,0,1,1
7,0,2,2,3,1,2,1,2,2,1,1,1,0,0,1,0,1,1,3,1,1,1,0,1,2,0,2,1,3,0,0,0,1,1,0,3,1,3,3,2
8,4,1,0,1,1,2,3,0,1,2,0,3,1,1,1,1,1,0,2,1,1,4,2,1,0,1,1,0,0,2,2,0,2,1,1,2,2,0,0,2
9,1,1,0,1,2,0,1,2,1,0,3,3,1,0,0,2,1,3,3,1,0,2,0,1,2,1,2,0,2,1,0,1,1,0,1,2,1,1,3,3
10,1,1,1,1,4,1,1,3,0,0,1,2,1,0,0,1,0,0,0,1,0,0,3,0,1,4,0,0,0,3,2,1,3,1,0,0,1,0,0,0
11,0,2,0,1,2,0,0,2,1,0,0,1,1,0,1,0,0,1,2,0,0,2,2,0,2,2,1,0,0,0,3,1,0,0,0,1,1,3,2,2
12,0,1,2,1,2,2,1,1,1,2,1,0,4,0,1,1,1,0,2,2,0,2,2,2,0,4,2,0,0,1,1,0,0,1,1,2,2,2,2,1
13,1,4,2,3,1,1,0,1,1,1,2,0,1,2,0,3,3,2,0,2,2,3,0,2,3,2,2,1,2,0,3,0,4,1,2,1,1,0,1,2
14,1,3,2,0,3,0,0,2,3,1,1,1,1,0,0,3,0,3,1,1,0,1,3,2,0,2,2,3,3,0,2,0,0,0,0,0,1,0,0,1
15,1,1,1,0,1,3,1,1,1,1,1,1,4,0,4,1,0,4,0,0,1,1,1,0,1,4,0,0,0,1,3,1,1,1,0,3,3,0,0,1
16,2,0,0,2,2,0,2,1,1,1,0,1,1,2,0,2,1,0,2,0,1,1,2,3,2,4,3,1,1,3,3,2,4,2,2,3,3,2,0,2
17,3,2,3,3,3,1,0,0,2,2,1,2,1,0,1,3,2,1,3,3,0,3,1,0,2,2,2,1,1,2,3,0,0,1,0,0,0,1,2,3
18,1,2,1,0,1,3,3,1,1,0,0,1,0,1,1,0,1,2,1,1,0,1,0,1,1,5,5,1,0,2,2,1,1,1,2,1,1,0,2,0
19,1,2,1,1,0,2,2,2,1,3,4,2,1,1,0,4,0,4,1,1,1,1,2,2,2,4,3,1,1,1,4,0,2,0,2,1,1,1,4,0
20,2,4,1,4,2,0,4,1,0,2,0,2,1,1,4,1,1,4,0,1,1,1,2,0,0,0,4,2,0,0,1,0,2,2,1,1,2,2,1,1
21,2,3,0,4,0,0,0,0,1,1,0,0,0,3,1,1,0,0,3,1,0,0,3,2,1,3,5,1,1,1,4,0,3,0,1,1,1,5,0,0
22,2,2,0,1,2,1,0,2,0,2,2,2,1,0,0,2,1,1,2,0,2,1,0,1,1,0,2,0,1,2,1,0,2,0,1,2,1,1,0,1
