,Falkirk scored,Falkirk received,Rangers scored,Rangers received,Dundee United scored,Dundee United received,Hibernian scored,Hibernian received,Motherwell scored,Motherwell received,Celtic scored,Celtic received,Kilmarnock scored,Kilmarnock received,Aberdeen scored,Aberdeen received,Hearts scored,Hearts received,St Mirren scored,St Mirren received,Inverness C scored,Inverness C received,Gretna scored,Gretna received
0,4,0,3,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,3,0,4
1,1,4,2,0,1,2,4,2,2,1,4,1,2,1,1,1,1,1,0,2,1,2,2,4
2,2,7,7,2,0,0,0,0,1,2,3,1,2,1,1,3,1,1,2,1,1,2,1,1
3,0,1,2,1,3,0,3,3,2,1,5,0,1,2,3,3,0,5,1,0,0,3,1,2
4,0,2,4,0,2,0,1,0,0,2,5,1,0,1,1,0,2,0,1,5,0,1,0,4
5,1,1,2,4,2,0,1,1,2,1,5,0,2,1,1,2,4,2,0,2,0,5,1,2
6,1,0,3,0,2,3,3,2,0,1,2,3,0,0,0,3,1,2,0,0,2,1,3,2
7,2,4,1,1,0,3,4,1,1,1,3,0,1,4,2,0,3,1,1,3,4,2,0,2
8,2,4,0,1,1,0,1,0,0,1,2,1,2,2,4,0,4,2,0,4,2,2,1,2
9,1,1,3,0,3,1,1,2,2,1,0,3,1,1,2,1,1,3,1,0,1,2,0,1
10,1,1,1,2,2,1,0,1,0,3,3,0,3,1,1,1,1,3,1,0,4,0,0,4
11,2,0,2,0,0,2,1,1,1,1,2,1,1,2,2,0,1,1,1,1,0,2,0,2
12,0,4,3,0,2,0,1,0,3,0,4,0,0,2,1,4,4,1,0,3,0,3,0,1
13,1,3,3,1,2,2,2,2,1,0,3,0,0,1,0,3,1,1,0,1,1,0,1,1
14,5,1,2,0,0,1,1,3,3,0,1,1,0,2,3,1,1,1,1,5,1,0,0,3
15,3,0,2,1,0,3,0,2,2,1,1,1,1,2,2,1,1,2,1,1,2,0,1,2
16,1,1,2,1,3,0,1,1,3,0,2,3,3,3,0,3,1,2,0,3,3,2,3,3
17,3,0,1,1,1,2,1,1,0,3,1,1,0,0,1,1,2,3,0,0,3,2,2,1
18,1,0,3,1,0,2,1,2,1,3,2,0,2,1,1,1,0,1,1,0,0,1,1,1
19,2,1,2,1,3,5,1,2,5,3,3,0,1,3,1,0,1,2,0,1,3,1,0,3
20,1,0,1,2,4,1,1,0,0,1,2,1,0,1,1,0,1,4,0,0,0,1,0,0
21,0,0,2,0,0,2,1,2,1,4,4,1,1,1,0,0,1,1,2,1,3,0,0,3
22,0,2,1,0,3,0,0,1,1,3,1,0,0,1,0,3,1,0,3,1,0,1,2,0
23,0,1,4,0,2,1,4,2,3,1,1,0,1,2,0,1,1,0,0,4,1,3,2,4
24,0,2,2,0,1,1,1,1,1,0,5,1,0,1,1,5,2,0,1,1,1,1,0,2
25,4,0,2,0,1,1,3,1,3,1,3,0,0,2,1,3,0,3,0,4,1,1,1,3
26,0,0,4,2,0,0,2,0,0,1,1,0,3,1,1,3,1,0,0,1,0,2,2,4
27,0,2,4,0,1,1,2,0,1,1,2,1,2,4,1,1,0,4,1,1,1,2,4,2
28,0,0,3,1,3,0,0,2,0,0,2,0,1,0,1,3,3,0,0,1,0,3,0,3
29,1,0,1,1,0,0,2,0,1,1,0,0,0,2,3,0,1,1,1,1,0,1,0,3
30,0,0,2,1,2,0,1,2,0,2,3,0,4,1,1,1,0,0,1,1,1,4,0,3
31,0,0,1,0,0,1,0,1,1,0,0,1,0,0,4,3,1,0,2,0,3,4,0,2
32,1,2,3,3,3,3,2,0,1,0,0,1,0,0,2,1,0,0,0,2,2,1,1,2
