,Genk scored,Genk received,Oostende scored,Oostende received,Waregem scored,Waregem received,Anderlecht scored,Anderlecht received,Kortrijk scored,Kortrijk received,Charleroi scored,Charleroi received,Gent scored,Gent received,Westerlo scored,Westerlo received,Waasland-Beveren scored,Waasland-Beveren received,Club Brugge scored,Club Brugge received,Standard scored,Standard received,Mechelen scored,Mechelen received,Lokeren scored,Lokeren received,Mouscron-Peruwelz scored,Mouscron-Peruwelz received,St Truiden scored,St Truiden received,Oud-Heverlee Leuven scored,Oud-Heverlee Leuven received
0,1.6666666666666667,1.0,2.6666666666666665,2.3333333333333335,1.6666666666666667,3.3333333333333335,1.6666666666666667,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,2.3333333333333335,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.3333333333333335,1.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.6666666666666667,,,,
1,1.0,1.3333333333333333,3.3333333333333335,1.6666666666666667,1.3333333333333333,3.0,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,2.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,,,,
2,0.0,0.6666666666666666,2.3333333333333335,1.0,0.6666666666666666,2.0,1.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.3333333333333335,0.6666666666666666,0.6666666666666666,2.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,2.0,2.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,2.3333333333333335,,,,
3,0.6666666666666666,0.6666666666666666,2.0,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,0.3333333333333333,1.6666666666666667,2.0,1.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667
4,1.0,1.3333333333333333,2.0,1.0,1.0,0.6666666666666666,1.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,1.0,1.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.6666666666666667,2.3333333333333335,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667
5,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,0.0,1.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,2.3333333333333335,1.6666666666666667,3.0,1.3333333333333333,1.0,3.3333333333333335,1.3333333333333333,1.6666666666666667,1.0,1.0,1.3333333333333333,1.6666666666666667,1.0,1.0,1.3333333333333333,0.6666666666666666
6,1.0,1.0,2.3333333333333335,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.6666666666666667,2.0,3.0,2.6666666666666665,1.6666666666666667,0.6666666666666666,3.3333333333333335,2.0,1.6666666666666667,0.6666666666666666,1.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.0,0.6666666666666666,0.6666666666666666
7,1.6666666666666667,0.3333333333333333,2.0,1.0,2.0,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.3333333333333333,3.6666666666666665,4.333333333333333,1.3333333333333333,0.6666666666666666,4.0,1.6666666666666667,2.3333333333333335,1.0,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,1.0,1.0
8,1.0,0.6666666666666666,2.6666666666666665,1.0,2.6666666666666665,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,2.6666666666666665,1.0,1.3333333333333333,3.0,1.0,4.333333333333333,2.3333333333333335,1.0,1.0,2.3333333333333335,1.0,2.0,0.6666666666666666,1.0,2.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667
9,2.0,1.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,2.3333333333333335,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.3333333333333333,3.6666666666666665,1.0,1.0,2.6666666666666665,1.6666666666666667,3.0,2.3333333333333335,1.6666666666666667,1.3333333333333333,3.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.0
