,Genk scored,Genk received,Oostende scored,Oostende received,Waregem scored,Waregem received,Anderlecht scored,Anderlecht received,Kortrijk scored,Kortrijk received,Charleroi scored,Charleroi received,St Truiden scored,St Truiden received,Gent scored,Gent received,Westerlo scored,Westerlo received,Waasland-Beveren scored,Waasland-Beveren received,Club Brugge scored,Club Brugge received,Standard scored,Standard received,Mechelen scored,Mechelen received,Oud-Heverlee Leuven scored,Oud-Heverlee Leuven received,Lokeren scored,Lokeren received,Mouscron-Peruwelz scored,Mouscron-Peruwelz received
0,3,1,3,1,3,1,3,2,2,1,2,1,2,1,1,1,1,1,2,3,1,2,1,2,1,3,1,3,1,3,1,2
1,0,1,2,1,1,2,2,0,1,2,2,2,2,0,1,0,1,2,2,1,3,0,2,1,0,3,0,2,2,2,0,2
2,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,3,2,0,1,0,0,1,0,3,1,2,3,0,0,1,3
3,2,1,3,1,1,2,1,3,1,2,0,2,0,1,1,0,1,2,2,1,2,1,1,1,0,2,2,0,2,0,1,1
4,1,3,2,1,2,0,1,0,0,0,0,0,3,1,0,0,0,0,3,3,0,2,1,2,2,1,1,2,0,1,3,3
5,2,0,0,2,2,0,3,0,1,0,0,2,0,1,2,2,0,3,2,1,7,1,1,7,2,2,1,0,1,2,0,1
6,0,0,5,1,1,1,0,0,0,0,1,1,1,1,1,1,2,2,1,5,1,2,0,1,2,2,0,0,1,0,2,1
7,3,1,1,0,3,2,1,1,0,1,1,1,3,0,4,1,0,3,1,5,5,1,1,4,1,3,2,3,1,2,2,1
8,0,1,2,2,4,2,1,0,1,0,1,0,0,1,3,1,2,4,1,3,1,0,2,2,0,1,2,2,0,1,2,2
9,3,1,2,0,0,3,1,1,1,1,3,0,1,3,4,1,1,1,3,1,1,4,1,3,1,1,1,1,0,2,1,1
10,1,0,0,1,0,4,4,0,2,0,0,2,0,3,2,1,2,1,0,1,1,0,1,2,3,0,2,1,1,2,1,2
11,0,4,2,2,4,3,3,1,1,2,2,3,2,1,2,2,1,2,2,0,1,3,3,2,3,4,0,2,2,1,4,0
12,2,3,3,2,4,0,1,1,1,1,1,0,0,4,2,1,2,2,0,1,2,0,2,1,1,2,0,2,1,2,2,2
13,0,2,1,1,2,2,2,0,2,2,1,1,1,0,2,0,0,2,0,2,2,0,0,1,2,0,0,2,2,0,0,2
14,0,1,3,0,2,2,0,1,1,0,3,1,1,1,1,3,2,2,2,2,1,0,1,0,0,1,0,3,1,1,2,2
15,3,1,1,2,0,3,1,1,1,1,1,0,1,2,5,0,0,5,2,1,3,0,1,1,2,1,1,3,1,1,0,1
16,0,1,1,0,2,3,3,2,3,1,1,2,0,1,1,0,0,1,1,3,4,1,3,2,1,4,2,3,2,1,1,0
17,0,0,1,2,2,2,0,0,1,3,1,2,2,1,2,2,1,5,0,0,2,1,0,0,3,2,5,1,3,1,2,3
18,0,0,1,1,2,1,1,1,1,3,2,1,0,2,2,0,0,0,1,2,0,2,2,0,1,1,1,2,1,1,3,1
19,3,0,4,1,1,1,4,1,0,3,1,2,0,3,3,0,2,1,1,0,1,4,1,4,1,3,3,1,1,1,0,1
20,0,1,0,1,1,0,2,1,1,4,1,0,2,2,0,2,1,2,2,3,4,1,3,0,2,0,2,2,3,2,0,3
21,2,1,3,3,1,2,0,2,0,1,0,0,0,0,2,0,3,2,3,3,3,0,2,0,2,3,1,0,0,2,0,3
22,1,1,1,2,2,2,2,1,2,1,1,2,1,2,3,0,2,1,1,2,2,1,0,3,1,1,2,2,1,1,1,1
23,1,0,3,3,2,1,2,1,0,1,3,2,1,2,2,1,1,2,1,2,2,1,2,0,2,3,0,2,1,2,3,3
24,1,0,1,0,2,3,2,2,1,1,3,2,2,1,0,1,1,1,2,2,1,0,1,2,2,2,2,2,0,1,0,1
25,6,1,0,2,0,3,3,0,1,1,1,1,0,3,2,0,2,0,1,6,2,0,0,2,3,0,3,3,3,3,0,2
26,0,0,5,2,2,3,0,1,3,0,0,3,0,3,2,5,0,6,1,0,6,0,3,0,3,2,1,3,0,0,3,1
27,3,2,1,4,2,1,3,3,2,0,2,3,1,2,3,1,2,2,3,2,2,3,3,3,0,2,4,1,1,3,2,2
28,1,2,2,1,0,1,1,2,1,0,1,2,0,3,1,1,1,2,0,0,3,0,2,1,0,0,1,1,2,1,2,1
29,4,1,1,4,3,0,3,0,0,3,1,1,1,1,1,1,1,0,0,1,1,0,0,4,4,0,0,1,1,1,0,3
