,Hamilton scored,Hamilton received,Inverness C scored,Inverness C received,Hearts scored,Hearts received,Celtic scored,Celtic received,Kilmarnock scored,Kilmarnock received,Rangers scored,Rangers received,Motherwell scored,Motherwell received,Falkirk scored,Falkirk received,Hibernian scored,Hibernian received,St Mirren scored,St Mirren received,Dundee United scored,Dundee United received,Aberdeen scored,Aberdeen received
0,3,1,2,0,3,2,1,0,1,0,1,0,2,3,0,1,0,1,0,1,1,3,0,2
1,1,0,0,1,0,2,1,1,0,0,2,0,0,1,2,3,3,2,0,0,1,1,1,0
2,0,1,1,1,2,1,3,0,1,0,1,1,1,1,0,3,1,1,1,2,1,1,1,1
3,1,2,2,1,2,1,2,4,2,0,4,2,1,0,1,2,0,1,0,1,0,2,1,0
4,2,1,1,2,1,2,4,2,1,2,2,1,2,4,2,1,2,1,2,1,1,2,1,2
5,0,1,0,1,1,0,3,1,1,3,2,1,1,2,1,1,1,0,1,1,1,0,0,1
6,1,4,3,1,0,3,3,2,1,3,3,0,2,1,4,1,0,3,1,2,3,0,2,3
7,0,4,1,2,1,2,4,0,2,1,0,1,3,2,2,3,2,1,1,0,2,1,1,2
8,1,2,1,2,1,1,2,1,1,0,3,3,0,1,0,1,1,1,2,1,3,3,1,0
9,1,3,1,2,1,1,4,2,1,2,3,1,2,1,2,1,2,4,0,2,2,0,1,1
10,0,2,0,5,0,2,2,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0,1,0
11,1,1,2,1,1,0,2,0,0,4,4,0,0,2,1,1,1,2,0,1,2,1,1,2
12,0,1,1,1,1,0,3,0,0,3,0,0,0,0,1,1,0,2,0,2,2,0,2,0
13,1,2,0,1,1,0,2,1,2,0,2,1,0,1,1,0,2,2,1,2,0,2,2,2
14,1,1,2,1,2,1,3,1,1,2,2,0,1,4,1,2,4,1,1,3,1,1,0,2
15,1,0,0,1,2,1,1,0,0,1,1,2,0,2,1,1,1,1,0,2,2,0,2,0
16,1,7,1,3,0,1,0,2,1,2,7,1,1,0,1,2,2,0,2,1,3,1,2,1
17,0,2,0,2,1,1,1,1,2,0,2,2,0,2,1,2,2,0,2,0,2,2,2,1
18,2,0,0,3,0,0,3,0,0,1,1,0,0,2,0,3,0,1,1,0,0,0,3,0
19,0,1,2,3,0,1,1,0,4,2,0,1,3,2,0,1,2,4,1,0,1,0,1,0
20,2,0,0,3,0,0,2,2,1,1,3,0,0,0,1,1,0,0,0,0,2,2,0,2
21,1,0,0,1,2,0,2,4,0,2,3,1,4,0,1,3,2,0,0,2,0,4,4,2
22,1,0,2,3,3,2,3,1,0,1,0,0,1,1,1,1,1,3,2,3,3,2,0,0
23,2,0,0,0,0,2,0,0,1,1,2,0,1,1,1,0,1,1,1,1,0,2,0,1
24,0,1,1,1,2,1,0,0,1,1,0,0,1,0,2,2,1,1,2,2,1,1,1,2
25,2,1,2,0,1,1,1,1,1,3,3,1,1,1,1,2,0,2,1,1,2,2,2,2
26,0,1,1,2,1,0,7,0,0,0,1,0,2,1,0,0,0,0,0,7,0,1,0,0
27,0,1,1,0,2,1,2,1,1,2,0,1,1,2,0,1,1,0,1,1,1,0,1,1
28,0,1,2,1,0,1,4,0,1,2,2,1,2,1,0,4,1,0,1,2,1,2,1,0
29,0,0,0,4,2,2,2,2,0,0,2,2,0,0,4,0,0,0,0,0,2,2,0,0
30,0,4,2,1,3,1,4,0,1,3,1,0,1,1,0,1,2,2,1,2,2,2,1,1
31,0,1,0,1,1,1,1,1,3,0,3,1,1,3,0,3,1,1,1,1,1,0,1,0
32,1,1,1,1,0,0,2,0,0,0,3,2,0,2,0,0,2,3,2,0,0,0,0,2
