,Inverness C scored,Inverness C received,Hearts scored,Hearts received,Celtic scored,Celtic received,Kilmarnock scored,Kilmarnock received,Rangers scored,Rangers received,Motherwell scored,Motherwell received,Falkirk scored,Falkirk received,Hibernian scored,Hibernian received,St Mirren scored,St Mirren received,Dundee United scored,Dundee United received,Aberdeen scored,Aberdeen received,Hamilton scored,Hamilton received
0,2.0,3.0,0.3333333333333333,0.0,1.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.6666666666666667,,
1,1.6666666666666667,2.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,2.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.3333333333333333,,
2,1.0,1.0,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,2.6666666666666665,2.0,1.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.6666666666666666,,
3,1.0,1.0,1.3333333333333333,1.3333333333333333,2.0,1.6666666666666667,1.0,0.0,2.3333333333333335,1.0,0.6666666666666666,0.6666666666666666,1.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,1.0
4,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,3.0,2.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,2.0,1.0,1.0,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,1.0,1.0,1.3333333333333333
5,1.0,1.3333333333333333,1.3333333333333333,1.0,3.0,2.3333333333333335,1.3333333333333333,1.6666666666666667,2.6666666666666665,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.0,1.0,1.3333333333333333
6,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,3.3333333333333335,1.6666666666666667,1.0,2.6666666666666665,2.3333333333333335,0.6666666666666666,1.6666666666666667,2.3333333333333335,2.3333333333333335,1.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,2.0,1.0,2.0
7,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,3.3333333333333335,1.0,1.3333333333333333,2.3333333333333335,1.6666666666666667,0.6666666666666666,2.0,1.6666666666666667,2.3333333333333335,1.6666666666666667,1.0,1.3333333333333333,1.0,1.0,2.0,0.3333333333333333,1.0,2.0,0.3333333333333333,3.0
8,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,3.0,1.0,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.0,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,1.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,3.3333333333333335
9,1.0,2.0,1.0,1.3333333333333333,3.3333333333333335,1.0,1.3333333333333333,1.0,2.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,1.0,1.0,2.3333333333333335,1.3333333333333333,1.0,1.0,0.6666666666666666,3.0
10,0.6666666666666666,3.0,0.6666666666666666,1.3333333333333333,2.6666666666666665,1.0,0.6666666666666666,1.0,3.6666666666666665,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,1.0,1.6666666666666667,1.0,1.0,0.3333333333333333,0.6666666666666666,2.3333333333333335
