,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal
0,16/08/2019,Denizlispor,Galatasaray,74,79,70,76,70,77,0.2202851823466532,0.2483778397259537,0.5313369779273931,1,4.273333333333333,3.7900000000000005,1.7716666666666665
1,17/08/2019,Genclerbirligi,Rizespor,73,70,69,69,70,71,0.4553595282886232,0.2793533677013458,0.2652871040100309,2,2.063333333333334,3.363333333333333,3.5416666666666665
2,17/08/2019,Kayserispor,Alanyaspor,70,76,70,71,69,72,0.3948730231046349,0.2846990666077312,0.32042791028763384,2,2.3816666666666664,3.3033333333333332,2.935
3,17/08/2019,Sivasspor,Besiktas,70,78,70,75,70,76,0.3403771160550624,0.27018451461021464,0.38943836933472314,1,2.765,3.483333333333333,2.4166666666666665
4,18/08/2019,Konyaspor,Ankaragucu,72,70,70,70,69,68,0.5415345114293775,0.2669247686421056,0.19154071992851707,X,1.7366666666666666,3.5233333333333334,4.91
5,18/08/2019,Goztep,Antalyaspor,74,73,69,69,72,71,0.5109449148330756,0.2564039887106728,0.2326510964562515,2,1.835,3.6566666666666667,4.03
6,18/08/2019,Kasimpasa,Trabzonspor,72,77,68,72,71,74,0.29680402728879124,0.25681586521437966,0.4463801074968292,X,3.168333333333333,3.6616666666666666,2.1066666666666665
7,18/08/2019,Yeni Malatyaspor,Buyuksehyr,70,76,69,75,71,74,0.27403115048683974,0.28498684931703216,0.4409820001961281,1,3.4249999999999994,3.2933333333333334,2.1283333333333334
8,19/08/2019,Fenerbahce,Gaziantep,76,72,73,70,76,71,0.6505123746677192,0.21282801088185377,0.13665961445042707,1,1.445,4.416666666666667,6.878333333333334
9,23/08/2019,Besiktas,Goztep,78,74,75,69,76,72,0.6385421948070671,0.22041050379127186,0.14104730140166097,1,1.4733333333333334,4.2683333333333335,6.670000000000001
10,24/08/2019,Ankaragucu,Kayserispor,70,70,70,70,68,69,0.3992945728076938,0.28933499044988276,0.3113704367424235,X,2.355,3.25,3.0199999999999996
11,24/08/2019,Alanyaspor,Kasimpasa,76,72,71,68,72,71,0.5629501419893788,0.2219492894714414,0.21510056853917975,1,1.6716666666666666,4.239999999999999,4.375
12,24/08/2019,Buyuksehyr,Fenerbahce,76,76,75,73,74,76,0.3777092249343709,0.2837564277773289,0.3385343472883001,2,2.4916666666666667,3.3166666666666664,2.78
13,25/08/2019,Rizespor,Sivasspor,70,70,69,70,71,70,0.44733634704550884,0.2709825948448755,0.28168105810961575,1,2.1,3.466666666666667,3.3350000000000004
14,25/08/2019,Trabzonspor,Yeni Malatyaspor,77,70,72,69,74,71,0.5684699652432801,0.2374803010040291,0.19404973375269066,1,1.655,3.9616666666666664,4.848333333333334
15,25/08/2019,Antalyaspor,Denizlispor,73,74,69,70,71,70,0.3619805073053344,0.28921409330482467,0.34880539938984095,2,2.603333333333333,3.2583333333333333,2.7016666666666667
16,25/08/2019,Galatasaray,Konyaspor,79,72,76,70,77,69,0.6571275514951024,0.20304768587564498,0.13982476262925267,X,1.4316666666666666,4.633333333333333,6.728333333333333
17,26/08/2019,Gaziantep,Genclerbirligi,72,73,70,69,71,70,0.39191502112675736,0.2936820397026662,0.3144029391705765,1,2.4066666666666667,3.2116666666666664,3.0
18,30/08/2019,Kasimpasa,Ankaragucu,72,70,68,70,71,68,0.5589406918751787,0.2359453192007539,0.2051139889240674,2,1.6849999999999998,3.9916666666666667,4.591666666666666
19,30/08/2019,Kayserispor,Galatasaray,70,79,70,76,69,77,0.207993719401708,0.24720340784657185,0.5448028727517202,2,4.5183333333333335,3.8016666666666663,1.7249999999999999
20,31/08/2019,Konyaspor,Antalyaspor,72,73,70,69,69,71,0.5856348873663002,0.2559166053586189,0.15844850727508095,X,1.6066666666666667,3.676666666666667,5.938333333333333
21,31/08/2019,Besiktas,Rizespor,78,70,75,69,76,71,0.5946284582829632,0.22440596275965335,0.18096557895738338,X,1.58,4.1866666666666665,5.191666666666666
22,31/08/2019,Goztep,Denizlispor,74,74,69,70,72,70,0.3952776803904455,0.2867622012796978,0.3179601183298566,X,2.3783333333333334,3.2783333333333338,2.956666666666667
23,01/09/2019,Genclerbirligi,Buyuksehyr,73,76,69,75,70,74,0.2138201439921408,0.27188204154224554,0.5142978144656137,2,4.401666666666667,3.4616666666666664,1.83
24,01/09/2019,Sivasspor,Gaziantep,70,72,70,70,70,71,0.6381023733711504,0.22234233270007764,0.1395552939287721,X,1.4733333333333334,4.228333333333333,6.736666666666667
25,01/09/2019,Fenerbahce,Trabzonspor,76,77,73,72,76,74,0.5712558923649019,0.22594108152783146,0.2028030261072666,X,1.6466666666666665,4.163333333333333,4.638333333333334
26,01/09/2019,Yeni Malatyaspor,Alanyaspor,70,76,69,71,71,72,0.3281878259719838,0.27743713123404823,0.394375042793968,2,2.8699999999999997,3.3949999999999996,2.388333333333333
27,13/09/2019,Galatasaray,Kasimpasa,79,72,76,68,77,71,0.7278311199547617,0.16608657274738614,0.10608230729785215,1,1.295,5.675,8.885
28,14/09/2019,Buyuksehyr,Sivasspor,76,70,75,70,74,70,0.5953358087905717,0.23833587605411802,0.16632831515531032,X,1.5766666666666669,3.938333333333333,5.6433333333333335
29,14/09/2019,Antalyaspor,Kayserispor,73,70,69,70,71,69,0.451123717066256,0.278504385486663,0.27037189744708107,X,2.0866666666666664,3.3799999999999994,3.481666666666667
