,Fenerbahce scored,Fenerbahce received,Sivasspor scored,Sivasspor received,Yeni Malatyaspor scored,Yeni Malatyaspor received,Denizlispor scored,Denizlispor received,Alanyaspor scored,Alanyaspor received,Antalyaspor scored,Antalyaspor received,Rizespor scored,Rizespor received,Kasimpasa scored,Kasimpasa received,Trabzonspor scored,Trabzonspor received,Konyaspor scored,Konyaspor received,Ankaragucu scored,Ankaragucu received,Genclerbirligi scored,Genclerbirligi received,Goztep scored,Goztep received,Kayserispor scored,Kayserispor received,Galatasaray scored,Galatasaray received,Besiktas scored,Besiktas received,Buyuksehyr scored,Buyuksehyr received,Gaziantep scored,Gaziantep received
0,5,0,3,0,3,0,2,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,2,0,3,0,3,0,5
1,2,1,1,2,1,2,2,0,4,1,0,2,2,1,1,4,2,1,1,1,1,1,1,4,0,3,1,1,1,1,3,0,1,2,4,1
2,1,1,1,1,2,3,0,0,3,2,2,2,1,1,0,1,1,1,2,2,1,0,1,2,0,0,2,3,3,2,1,1,2,1,1,1
3,1,3,1,1,4,0,0,1,3,1,2,2,0,0,0,1,2,2,1,0,0,4,2,2,0,0,2,2,1,0,2,3,1,1,3,2
4,2,1,2,1,1,1,1,1,1,1,0,3,1,2,3,0,1,2,0,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,2,1
5,0,0,1,1,0,3,0,1,1,1,3,0,0,5,1,0,4,1,2,1,2,1,1,2,1,1,1,2,0,0,1,4,5,0,1,1
6,0,1,3,1,5,1,1,5,0,2,1,0,1,2,1,4,2,1,4,1,1,3,0,0,4,0,0,4,0,0,2,0,2,1,1,2
7,2,1,2,3,2,0,1,2,5,2,0,6,2,5,1,1,4,1,0,2,0,0,6,0,1,2,1,1,3,2,0,0,2,1,1,4
8,5,1,2,1,4,0,2,0,1,1,1,2,2,0,4,1,2,2,1,5,0,2,0,2,1,4,0,4,0,1,1,0,2,2,1,1
9,0,1,2,0,2,2,0,2,0,0,1,2,0,2,2,2,0,1,1,1,1,2,1,1,1,0,1,0,2,0,2,1,0,0,2,1
10,3,2,2,0,1,1,0,1,0,1,0,1,1,0,2,3,1,0,0,2,1,2,2,1,1,1,1,2,2,0,1,0,2,1,0,2
11,0,0,4,1,0,0,2,0,0,1,1,1,0,2,1,2,3,0,0,1,0,3,2,1,1,0,1,4,0,1,1,0,1,0,1,1
12,2,2,2,0,3,3,2,1,5,0,0,2,3,1,0,2,1,1,1,3,0,5,3,3,2,2,1,4,1,1,4,1,2,0,1,2
13,5,2,3,1,1,3,1,1,0,1,1,3,0,1,2,3,3,1,0,0,1,3,2,5,3,1,1,0,1,0,3,2,1,1,0,0
14,1,3,3,1,2,0,2,1,0,0,0,0,0,3,3,0,1,2,1,1,2,2,3,1,1,3,0,3,2,2,0,2,1,1,3,0
15,3,1,2,2,0,2,1,5,5,1,2,2,2,0,3,4,1,0,0,1,2,2,2,2,2,1,1,4,1,2,1,3,4,1,4,3
16,2,1,1,0,1,1,2,2,2,1,0,5,1,2,1,5,6,2,1,2,2,2,1,4,0,1,2,6,5,0,4,1,5,1,1,1
17,2,0,2,1,1,4,1,2,5,1,0,3,2,0,0,6,6,0,1,0,0,1,0,2,3,0,1,5,2,1,1,2,4,1,0,2
18,2,0,1,1,1,3,0,3,2,1,3,0,1,1,1,2,3,1,0,3,1,1,1,0,2,1,1,1,3,0,1,2,0,2,0,1
19,1,2,1,5,1,2,1,1,2,1,0,0,1,2,1,1,2,1,0,0,1,1,1,3,1,1,1,4,4,1,2,1,3,1,5,1
20,1,1,1,1,0,1,0,0,1,1,2,2,0,2,0,3,2,0,0,0,1,0,0,2,2,0,2,2,3,0,3,0,1,1,0,3
21,1,2,1,2,0,1,0,1,0,1,3,1,0,2,1,3,2,1,1,3,2,1,1,0,3,1,1,0,1,0,0,1,1,0,2,0
22,1,3,1,0,1,2,0,2,0,1,2,1,1,2,2,0,2,2,2,2,0,1,1,0,1,1,2,2,3,1,2,2,2,1,1,1
23,2,2,3,0,0,2,2,0,1,2,2,2,2,5,0,0,5,2,0,0,0,3,0,3,0,1,1,0,3,0,2,1,3,1,1,3
24,2,2,2,2,1,1,2,2,1,1,1,1,1,1,5,1,1,1,1,1,1,2,1,1,0,3,1,5,2,2,2,1,3,0,1,1
25,0,1,0,1,1,2,1,0,1,0,1,0,1,2,2,0,1,1,1,0,2,1,0,1,0,2,2,1,0,0,0,0,1,1,0,1
