,Graafschap scored,Graafschap received,Heracles scored,Heracles received,Feyenoord scored,Feyenoord received,PSV Eindhoven scored,PSV Eindhoven received,Vitesse scored,Vitesse received,Nijmegen scored,Nijmegen received,Ajax scored,Ajax received,Groningen scored,Groningen received,AZ Alkmaar scored,AZ Alkmaar received,Twente scored,Twente received,Roda scored,Roda received,NAC Breda scored,NAC Breda received,VVV Venlo scored,VVV Venlo received,Den Haag scored,Den Haag received,Utrecht scored,Utrecht received,Heerenveen scored,Heerenveen received,Excelsior scored,Excelsior received,Willem II scored,Willem II received
0,3,0,3,0,3,1,3,1,3,1,1,0,2,2,2,2,1,1,0,0,0,0,1,1,0,1,1,3,1,3,1,3,0,3,0,3
1,3,6,3,1,5,4,9,1,5,5,6,3,6,4,3,3,2,2,0,0,3,1,2,4,1,1,2,6,4,4,1,3,3,5,3,8
2,4,8,4,2,6,5,12,2,5,8,8,7,9,4,5,4,3,5,3,0,3,4,3,7,3,4,5,8,7,4,4,4,7,7,3,11
3,4,13,6,6,10,5,14,4,5,12,10,9,14,4,8,4,4,6,7,0,7,6,5,7,3,6,7,10,7,8,6,6,8,8,3,14
4,6,15,7,8,10,7,17,5,6,14,11,12,16,4,9,4,5,8,9,1,9,7,7,7,4,8,9,12,7,9,8,7,10,9,3,16
5,9,17,7,8,11,9,17,5,6,14,11,13,18,5,11,4,6,8,9,1,9,7,7,7,6,11,13,14,10,11,10,10,10,11,5,20
6,9,18,9,11,11,12,18,6,8,14,14,13,20,7,12,5,7,8,11,3,11,9,9,8,7,11,16,16,10,12,12,12,10,13,6,22
7,10,19,10,13,12,13,21,6,8,14,14,15,21,9,14,9,9,9,15,5,13,10,11,8,7,14,16,16,12,13,12,12,11,15,6,22
8,12,21,13,15,12,14,25,8,9,18,16,18,24,9,15,9,10,9,16,5,17,11,11,11,7,15,18,17,14,15,12,13,12,17,8,26
9,13,22,14,16,12,24,35,8,10,22,19,20,26,11,17,12,13,9,19,7,19,12,12,13,7,17,20,20,18,16,14,13,14,19,8,29
10,15,23,18,17,15,24,37,8,10,24,20,21,29,12,20,13,14,11,22,8,20,13,13,17,7,20,21,23,20,16,15,16,14,21,9,32
11,15,25,19,21,16,26,37,9,10,24,20,21,33,13,25,16,16,12,23,8,22,15,15,17,10,25,22,23,20,17,17,16,14,23,11,34
12,16,29,21,24,17,27,39,10,11,25,24,22,33,14,27,17,17,13,25,9,23,16,16,19,14,26,23,23,21,19,20,18,15,25,12,38
13,17,29,24,24,19,29,43,12,16,26,25,23,33,16,27,20,19,13,26,11,24,17,18,20,15,31,24,24,22,20,22,20,17,29,12,39
14,20,30,24,26,19,31,43,12,18,26,25,27,33,16,29,20,21,14,27,13,25,20,18,23,15,32,27,24,26,20,27,20,18,29,12,44
15,21,31,26,27,21,32,45,16,19,27,27,31,35,16,29,21,23,16,31,15,26,20,22,25,15,34,28,26,27,22,29,22,19,30,13,45
16,21,33,28,32,22,33,50,18,20,31,28,32,36,17,33,22,25,16,33,15,30,20,25,26,15,38,28,28,29,23,30,24,20,33,14,46
17,21,33,30,34,23,33,50,18,20,32,31,33,37,17,35,22,25,18,35,21,31,21,28,27,17,40,29,29,30,26,36,26,20,34,15,49
18,21,37,30,39,23,35,53,19,21,33,33,35,39,17,37,24,27,20,40,21,32,24,29,28,18,42,31,30,32,27,40,26,22,36,16,51
19,22,37,30,39,23,36,56,19,21,34,35,37,39,20,38,26,27,20,42,22,35,24,31,30,18,45,34,31,35,27,41,29,22,39,17,51
20,22,37,31,40,24,38,58,20,26,36,36,38,42,20,42,27,33,21,44,23,37,29,31,33,19,51,39,32,35,27,42,33,23,44,18,53
21,22,39,32,40,25,39,58,21,27,37,36,38,44,20,49,28,34,23,45,24,37,30,31,36,22,51,40,32,36,28,42,33,25,45,19,60
22,23,40,33,42,27,40,62,21,27,38,38,38,46,22,50,29,34,27,46,24,39,32,31,38,22,54,43,32,39,31,44,33,25,47,22,63
23,23,42,34,43,29,42,66,22,29,38,39,39,47,22,51,33,36,27,47,25,43,33,32,42,22,55,45,34,40,32,44,35,29,47,22,67
24,24,43,40,44,34,43,66,22,30,44,40,40,47,22,52,38,38,28,48,27,44,34,35,44,23,55,47,37,41,33,47,39,29,48,26,70
25,26,44,44,45,35,43,69,24,32,44,41,45,51,22,53,42,38,32,50,27,45,35,35,46,23,57,52,38,42,34,47,40,31,51,27,72
26,27,44,48,46,37,44,71,26,33,45,43,47,54,23,53,43,40,33,52,28,46,37,36,48,24,59,52,39,43,34,48,41,32,55,28,75
27,27,45,52,48,37,47,72,26,34,48,44,47,56,26,54,43,43,34,54,28,49,37,36,49,24,59,55,41,43,35,50,45,32,57,28,75
28,28,48,52,51,37,48,72,28,36,49,45,49,59,26,57,45,44,34,56,28,54,41,39,50,26,62,58,43,45,38,52,48,35,59,32,80
29,28,48,58,53,41,48,74,30,36,50,49,50,61,26,57,47,45,35,57,29,55,42,40,51,27,66,59,43,45,42,54,50,35,59,34,86
30,29,49,58,55,47,49,76,30,38,51,50,52,63,27,58,49,48,36,58,30,60,44,41,53,29,71,60,46,45,45,57,50,37,60,35,92
31,29,51,60,55,50,50,77,33,40,55,51,55,67,28,61,50,49,38,60,31,65,45,42,58,31,73,61,48,49,47,59,52,38,64,37,93
32,30,56,62,56,52,53,79,34,41,57,56,55,69,29,65,52,54,39,64,31,65,50,43,60,34,75,63,52,50,50,60,54,41,65,37,97
33,31,56,65,56,53,54,79,34,42,61,57,56,72,30,65,52,55,44,65,34,65,50,44,60,34,76,63,55,55,51,60,54,45,66,37,98
