,Heracles scored,Heracles received,Feyenoord scored,Feyenoord received,PSV Eindhoven scored,PSV Eindhoven received,Vitesse scored,Vitesse received,Nijmegen scored,Nijmegen received,Ajax scored,Ajax received,Groningen scored,Groningen received,AZ Alkmaar scored,AZ Alkmaar received,Twente scored,Twente received,Roda scored,Roda received,NAC Breda scored,NAC Breda received,VVV Venlo scored,VVV Venlo received,Den Haag scored,Den Haag received,Utrecht scored,Utrecht received,Heerenveen scored,Heerenveen received,Willem II scored,Willem II received,Graafschap scored,Graafschap received,Excelsior scored,Excelsior received
0,2.6666666666666665,2.3333333333333335,3.0,1.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,2.6666666666666665,1.3333333333333333,2.6666666666666665,3.3333333333333335,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.3333333333333333,4.0,2.0,0.3333333333333333,1.0,2.0,1.6666666666666667,2.6666666666666665,2.3333333333333335,2.0,1.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,2.6666666666666665,,,,
1,1.3333333333333333,2.3333333333333335,2.6666666666666665,2.3333333333333335,3.3333333333333335,0.6666666666666666,2.0,3.6666666666666665,2.0,3.0,4.0,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.0,3.6666666666666665,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.3333333333333333,2.3333333333333335,2.3333333333333335,2.6666666666666665,1.0,0.6666666666666666,2.0,1.6666666666666667,3.6666666666666665,,,,
2,1.6666666666666667,1.3333333333333333,3.0,2.0,3.3333333333333335,0.6666666666666666,1.3333333333333333,3.0,2.6666666666666665,3.6666666666666665,3.6666666666666665,1.0,2.0,1.0,1.0,1.6666666666666667,1.6666666666666667,0.0,2.0,2.0,0.6666666666666666,2.6666666666666665,1.6666666666666667,1.3333333333333333,2.0,3.0,2.6666666666666665,1.0,1.6666666666666667,2.3333333333333335,1.6666666666666667,3.6666666666666665,,,,
3,1.0,2.0,2.3333333333333335,1.3333333333333333,3.6666666666666665,1.0,0.6666666666666666,3.6666666666666665,3.0,3.0,4.0,0.6666666666666666,2.0,0.6666666666666666,1.0,1.6666666666666667,2.3333333333333335,0.0,2.3333333333333335,2.0,1.3333333333333333,2.0,1.0,1.6666666666666667,2.0,2.3333333333333335,2.0,1.6666666666666667,1.6666666666666667,1.0,1.0,3.6666666666666665,0.3333333333333333,4.333333333333333,2.6666666666666665,1.6666666666666667
4,1.3333333333333333,2.3333333333333335,1.6666666666666667,1.0,2.6666666666666665,1.3333333333333333,0.3333333333333333,3.0,1.6666666666666667,3.0,3.3333333333333335,0.0,2.0,0.3333333333333333,1.0,2.0,3.0,0.3333333333333333,2.0,2.0,1.6666666666666667,1.0,1.0,2.3333333333333335,2.3333333333333335,2.0,1.0,1.6666666666666667,2.3333333333333335,1.3333333333333333,0.0,2.6666666666666665,1.0,3.0,2.3333333333333335,1.3333333333333333
5,1.0,2.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,2.0,1.0,2.0,3.0,0.3333333333333333,2.0,0.0,1.0,1.0,2.0,0.3333333333333333,2.0,1.0,1.3333333333333333,0.0,1.0,2.3333333333333335,2.6666666666666665,2.0,1.0,2.3333333333333335,2.0,2.0,0.6666666666666666,3.0,1.6666666666666667,3.0,1.0,1.3333333333333333
6,1.0,1.6666666666666667,0.3333333333333333,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.0,1.0,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666667,3.0,2.0,1.0,1.3333333333333333,2.0,2.0,1.0,2.6666666666666665,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.6666666666666667
7,1.0,1.6666666666666667,0.6666666666666666,2.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,1.0,2.0,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,2.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,2.0
8,2.0,2.3333333333333335,0.3333333333333333,1.6666666666666667,2.6666666666666665,1.0,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333333,2.3333333333333335,1.3333333333333333,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,1.0,2.0,1.0,1.3333333333333333,0.6666666666666666,2.0
9,1.6666666666666667,1.6666666666666667,0.3333333333333333,4.0,5.666666666666667,0.6666666666666666,0.6666666666666666,2.6666666666666665,1.6666666666666667,2.3333333333333335,2.0,1.3333333333333333,1.6666666666666667,2.3333333333333335,2.0,0.3333333333333333,2.6666666666666665,1.3333333333333333,2.6666666666666665,1.0,1.0,1.6666666666666667,0.0,2.0,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0
