,Benfica scored,Benfica received,Porto scored,Porto received,Santa Clara scored,Santa Clara received,Moreirense scored,Moreirense received,Belenenses scored,Belenenses received,Boavista scored,Boavista received,Nacional scored,Nacional received,Tondela scored,Tondela received,Pacos Ferreira scored,Pacos Ferreira received,Portimonense scored,Portimonense received,Rio Ave scored,Rio Ave received,Gil Vicente scored,Gil Vicente received,Sp Lisbon scored,Sp Lisbon received,Setubal scored,Setubal received,Guimaraes scored,Guimaraes received,Sp Braga scored,Sp Braga received,Maritimo scored,Maritimo received,Farense scored,Farense received,Famalicao scored,Famalicao received
0,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
1,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
2,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
3,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
4,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
5,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
6,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
7,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
8,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
9,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
10,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
11,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
12,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
13,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
14,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
15,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
16,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
17,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
18,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
19,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
20,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
21,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
22,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
23,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
24,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
25,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
26,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
27,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
28,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
29,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
30,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
31,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
32,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
33,5,1,3,1,2,0,2,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,2,0,2,1,5
