,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
1,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
2,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
3,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
4,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
5,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
6,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
7,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
8,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
9,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
10,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
11,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
12,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
13,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
14,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
15,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
16,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
17,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
18,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
19,Benfica,Porto,Santa Clara,Moreirense,Belenenses,Boavista,Nacional,Tondela,Pacos Ferreira,Portimonense,Rio Ave,Gil Vicente,Sp Lisbon,Setubal,Guimaraes,Sp Braga,Maritimo,Farense,Famalicao
