,Benfica scored,Benfica received,Naval scored,Naval received,Sp Lisbon scored,Sp Lisbon received,Porto scored,Porto received,Sp Braga scored,Sp Braga received,Maritimo scored,Maritimo received,Aves scored,Aves received,Beira Mar scored,Beira Mar received,Academica scored,Academica received,Setubal scored,Setubal received,Boavista scored,Boavista received,Pacos Ferreira scored,Pacos Ferreira received,Leiria scored,Leiria received,Nacional scored,Nacional received,Est Amadora scored,Est Amadora received,Belenenses scored,Belenenses received
0,4,0,2,0,3,2,2,1,2,1,1,0,2,2,2,2,1,1,1,1,2,3,1,2,1,2,0,1,0,2,0,4
1,0,3,2,1,1,0,3,0,1,0,1,2,0,1,2,2,1,2,0,2,3,0,2,1,2,2,0,1,0,3,2,0
2,1,0,0,2,0,1,2,0,0,1,0,0,0,0,2,0,1,1,1,0,0,1,1,0,1,0,0,1,0,2,1,1
3,1,1,0,0,2,0,3,0,0,0,0,1,0,2,0,3,2,2,0,1,2,2,1,1,1,0,1,0,0,0,0,0
4,4,1,2,1,2,0,1,2,2,1,2,1,1,4,1,2,1,3,1,1,2,0,1,1,0,2,3,1,1,2,0,2
5,4,0,1,0,1,0,3,0,3,0,0,3,1,2,0,3,1,1,2,1,0,1,1,1,0,4,2,1,0,1,1,2
6,3,1,1,1,1,1,1,1,1,1,2,1,0,2,1,2,2,0,1,2,0,4,0,2,2,1,4,0,1,3,2,0
7,2,3,1,1,3,3,3,2,1,4,4,1,0,1,3,3,0,2,0,1,0,2,2,0,2,0,1,1,1,0,1,0
8,3,0,0,1,3,0,3,0,0,3,1,0,1,2,0,3,2,0,0,3,2,1,1,5,1,0,5,1,0,2,0,1
9,1,3,1,1,1,0,2,1,3,1,0,1,3,1,1,1,1,2,1,1,0,0,1,1,0,0,1,3,1,0,0,1
10,2,1,0,1,1,0,1,0,2,1,1,2,0,2,1,3,3,1,1,2,1,1,2,0,1,2,2,1,1,1,0,1
11,2,0,0,2,0,2,2,0,4,2,1,0,2,0,1,2,2,4,0,1,0,2,0,0,0,0,0,2,2,0,2,1
12,0,0,0,0,3,0,2,1,0,2,2,1,0,1,0,3,1,2,0,3,3,0,1,1,1,0,1,2,1,1,2,0
13,3,0,2,1,1,0,4,0,2,2,1,4,0,1,1,1,0,1,0,3,2,2,0,4,1,2,1,1,1,0,4,1
14,2,0,3,0,0,0,2,0,0,0,1,1,0,2,0,1,0,2,0,3,1,1,1,0,0,0,0,0,0,0,0,0
15,2,1,0,0,1,1,0,1,2,3,2,3,0,0,0,0,0,1,1,0,1,1,3,2,1,0,3,2,0,0,1,2
16,0,0,0,1,5,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,5,1,0,1,0
17,2,0,0,4,1,1,4,0,0,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,0,0,2,2,2,1,2
18,3,1,2,3,0,0,5,0,2,1,2,1,0,0,0,5,0,2,1,1,2,0,1,3,1,2,1,1,1,2,3,2
19,1,0,3,1,0,0,1,0,0,1,0,1,0,1,1,3,0,4,0,1,0,0,1,0,0,0,4,0,1,0,0,0
20,2,0,1,1,3,1,2,1,0,0,1,2,1,1,0,0,0,2,1,1,1,1,2,0,0,2,0,2,1,3,2,0
21,1,0,1,2,1,0,0,1,2,1,2,2,2,2,2,2,2,2,1,1,0,2,0,2,1,1,2,0,0,1,2,0
22,1,1,0,0,2,0,1,1,2,1,1,2,0,1,0,2,0,0,2,0,3,1,1,3,0,0,0,0,0,2,1,0
23,2,2,1,1,1,0,5,1,0,1,1,1,1,0,2,2,3,3,1,5,0,1,2,1,0,1,1,2,3,3,1,0
24,0,0,1,1,4,0,2,1,0,0,0,4,4,3,3,1,1,2,1,3,1,1,1,1,1,1,3,4,0,3,3,0
25,3,0,0,4,4,0,3,1,0,0,0,3,0,1,0,1,1,0,0,0,1,2,1,0,1,0,0,1,2,1,1,3
26,1,1,0,1,1,1,1,2,1,0,1,1,1,0,0,2,0,1,1,1,2,1,0,0,0,0,1,0,0,1,2,0
27,2,1,1,2,3,1,2,0,2,1,0,0,1,3,1,0,0,0,1,3,0,1,0,1,3,1,0,2,1,0,1,2
28,1,0,2,2,2,0,1,1,1,0,0,2,0,1,0,3,0,2,0,1,0,1,1,1,2,2,3,0,1,0,2,0
29,2,0,1,2,4,0,4,1,1,1,1,2,1,4,1,1,0,2,2,1,2,1,1,1,1,1,1,1,1,1,0,4
