,Porto scored,Porto received,Benfica scored,Benfica received,Sp Lisbon scored,Sp Lisbon received,Guimaraes scored,Guimaraes received,Portimonense scored,Portimonense received,Maritimo scored,Maritimo received,Rio Ave scored,Rio Ave received,Feirense scored,Feirense received,Tondela scored,Tondela received,Setubal scored,Setubal received,Moreirense scored,Moreirense received,Chaves scored,Chaves received,Boavista scored,Boavista received,Belenenses scored,Belenenses received,Pacos Ferreira scored,Pacos Ferreira received,Sp Braga scored,Sp Braga received,Aves scored,Aves received,Estoril scored,Estoril received
0,4,0,3,1,2,0,3,2,2,1,1,0,1,0,1,1,1,1,1,1,1,1,2,3,1,2,0,1,0,1,1,3,0,2,0,4
1,1,0,1,0,1,0,0,3,1,2,0,1,2,1,0,0,0,1,0,1,0,0,0,1,1,2,1,0,2,2,2,1,2,2,3,0
2,3,0,5,0,5,0,0,5,0,2,1,0,2,0,2,1,2,3,1,1,0,3,1,1,0,1,0,5,1,2,2,0,0,2,3,2
3,1,0,1,1,2,1,0,0,1,2,2,1,1,1,2,0,3,0,1,1,0,3,0,2,1,0,1,1,0,0,0,1,0,1,1,2
4,3,0,2,1,3,2,1,0,1,2,1,0,0,1,2,3,2,2,2,0,2,0,0,3,0,1,1,2,2,2,0,2,2,1,0,2
5,2,1,1,2,2,0,1,2,2,1,2,1,1,2,1,2,0,2,0,1,0,3,3,0,2,1,2,1,1,0,2,1,1,2,1,2
6,5,2,2,0,1,1,2,1,2,5,1,2,0,0,1,4,1,2,1,1,1,1,2,0,1,1,4,1,0,2,2,1,0,0,0,2
7,0,0,1,1,0,0,0,1,2,2,1,1,2,1,0,1,1,1,1,2,2,3,1,1,1,0,1,0,3,2,6,0,2,2,0,6
8,6,1,3,1,5,1,3,3,3,3,1,3,0,1,1,0,2,0,3,1,0,1,1,5,3,0,0,2,1,6,1,0,1,3,0,3
9,3,0,1,0,1,0,3,1,5,2,2,0,0,1,0,1,0,2,2,5,0,3,0,1,0,3,3,0,1,0,1,0,1,3,0,1
10,2,0,3,1,2,2,1,3,1,1,1,0,2,0,0,1,3,2,0,1,1,1,4,2,2,3,0,2,2,4,2,2,1,0,0,2
11,1,1,6,0,2,1,1,0,2,0,0,0,0,1,1,3,0,2,0,6,0,1,1,0,1,0,0,1,1,2,3,1,1,1,0,0
12,0,0,0,0,1,0,2,1,0,0,1,1,3,1,0,1,1,3,1,2,1,1,0,0,0,0,0,1,0,3,3,0,1,0,0,0
13,5,0,3,1,3,1,1,0,0,1,1,0,2,1,0,1,1,0,0,5,1,2,1,0,1,3,1,1,1,1,0,1,0,1,1,3
14,3,1,5,1,2,0,1,2,0,2,1,3,1,1,1,0,1,5,0,1,2,1,1,1,2,1,0,4,1,2,4,0,2,3,3,2
15,2,1,1,1,1,1,0,1,0,0,1,2,4,2,1,2,1,0,2,2,2,1,2,1,1,3,0,0,2,4,3,1,1,2,2,2
16,4,2,2,0,5,0,2,4,1,1,0,5,1,2,2,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,1,1,1,0,2
17,3,1,3,1,3,0,3,4,0,2,0,0,2,1,1,3,3,1,2,2,2,2,4,3,2,0,1,2,0,0,1,3,0,3,1,3
18,1,0,3,0,1,1,3,1,1,2,0,0,2,0,1,0,0,1,1,1,0,1,0,3,0,2,0,0,2,0,2,1,0,2,1,3
19,0,0,1,1,1,0,0,1,4,1,1,2,1,4,1,2,0,3,2,2,0,0,2,2,2,1,1,1,2,1,2,0,0,2,3,0
20,3,1,5,1,0,2,3,2,3,0,0,3,1,5,1,2,1,2,3,0,2,1,2,1,0,3,0,3,2,3,1,3,3,0,2,0
21,4,0,3,1,2,0,0,1,1,3,0,3,3,0,0,2,2,0,1,3,1,2,0,4,1,0,2,5,0,2,3,1,5,2,2,1
22,5,0,4,0,2,1,0,5,3,1,0,0,0,5,1,3,1,2,1,0,0,1,1,0,0,4,2,0,0,1,5,0,0,0,0,2
23,5,1,3,1,1,0,2,3,1,5,3,2,0,0,0,1,0,1,0,4,0,1,2,0,4,0,1,0,1,3,1,0,0,0,0,2
24,2,1,5,0,1,2,0,0,0,3,0,5,0,1,3,0,2,0,1,0,2,0,0,2,0,3,0,0,0,2,6,0,3,0,0,6
25,0,1,2,0,2,1,1,2,2,1,4,2,2,1,1,2,0,0,2,4,0,3,1,2,1,0,0,0,1,0,3,0,0,2,0,1
26,2,0,2,0,2,0,2,1,1,1,2,1,0,2,0,2,1,2,1,1,2,1,1,4,0,2,1,2,1,1,4,1,1,2,1,1
27,0,2,2,0,0,1,0,2,4,3,4,1,2,0,1,4,1,1,4,1,3,4,0,2,1,1,2,0,2,0,1,0,1,4,0,2
28,2,0,2,1,2,0,3,0,2,2,1,1,0,3,2,2,2,2,1,2,1,0,1,1,0,1,1,1,0,2,2,2,0,2,1,1
29,1,0,0,1,4,3,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,3,3,3,3,3,4,1,5,5,1,1,0,1,0
30,5,1,2,1,1,0,1,2,1,2,0,2,1,2,2,1,3,0,1,5,2,1,2,1,0,1,1,1,1,1,2,0,0,3,1,2
31,1,0,2,3,2,1,1,0,1,2,0,1,2,1,2,0,3,2,0,2,0,1,1,2,1,0,0,1,0,1,1,0,1,0,0,1
32,2,1,0,0,0,0,4,1,2,3,1,4,0,0,1,2,1,4,1,2,0,3,4,1,1,1,3,2,0,0,1,1,3,0,2,1
33,1,0,1,0,1,2,0,1,3,1,2,1,1,0,0,0,0,1,1,0,0,1,3,2,1,0,0,1,1,3,0,1,2,3,0,0
