,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Genk,Club Brugge,Anderlecht,Standard,Oostende,Antwerp,Waregem,Waasland-Beveren,Cercle Brugge,St Truiden,Gent,Mouscron,Charleroi,Eupen,Kortrijk,Lokeren
1,Anderlecht,Club Brugge,Genk,Cercle Brugge,Standard,Antwerp,Charleroi,Oostende,Waregem,Waasland-Beveren,St Truiden,Gent,Kortrijk,Mouscron,Lokeren,Eupen
2,Anderlecht,Club Brugge,Genk,Antwerp,Waregem,Cercle Brugge,Standard,Gent,Charleroi,St Truiden,Oostende,Waasland-Beveren,Lokeren,Kortrijk,Mouscron,Eupen
3,Anderlecht,Genk,Club Brugge,Standard,Cercle Brugge,Antwerp,Gent,Oostende,Waregem,St Truiden,Charleroi,Waasland-Beveren,Kortrijk,Lokeren,Mouscron,Eupen
4,Genk,Club Brugge,Anderlecht,Standard,Antwerp,Gent,Oostende,Cercle Brugge,Waregem,St Truiden,Kortrijk,Charleroi,Waasland-Beveren,Eupen,Lokeren,Mouscron
5,Club Brugge,Genk,Anderlecht,Gent,Antwerp,Standard,Oostende,Cercle Brugge,St Truiden,Charleroi,Eupen,Waregem,Kortrijk,Lokeren,Waasland-Beveren,Mouscron
6,Club Brugge,Genk,Antwerp,Anderlecht,Gent,Standard,St Truiden,Oostende,Cercle Brugge,Charleroi,Eupen,Kortrijk,Waregem,Waasland-Beveren,Lokeren,Mouscron
7,Club Brugge,Genk,Anderlecht,Antwerp,St Truiden,Gent,Oostende,Standard,Cercle Brugge,Charleroi,Kortrijk,Eupen,Waasland-Beveren,Waregem,Lokeren,Mouscron
8,Club Brugge,Genk,Anderlecht,Antwerp,Standard,St Truiden,Gent,Oostende,Charleroi,Eupen,Cercle Brugge,Waasland-Beveren,Kortrijk,Lokeren,Waregem,Mouscron
9,Genk,Club Brugge,Anderlecht,Antwerp,Standard,St Truiden,Gent,Oostende,Cercle Brugge,Charleroi,Kortrijk,Eupen,Waasland-Beveren,Lokeren,Waregem,Mouscron
10,Genk,Club Brugge,Anderlecht,Antwerp,Standard,St Truiden,Gent,Charleroi,Kortrijk,Oostende,Cercle Brugge,Waasland-Beveren,Eupen,Mouscron,Lokeren,Waregem
11,Genk,Club Brugge,Antwerp,Anderlecht,Standard,Gent,St Truiden,Kortrijk,Oostende,Charleroi,Eupen,Cercle Brugge,Waasland-Beveren,Mouscron,Lokeren,Waregem
12,Genk,Club Brugge,Antwerp,Anderlecht,Standard,Gent,St Truiden,Charleroi,Kortrijk,Eupen,Oostende,Cercle Brugge,Waasland-Beveren,Mouscron,Waregem,Lokeren
13,Genk,Club Brugge,Antwerp,Anderlecht,Gent,St Truiden,Standard,Oostende,Charleroi,Kortrijk,Eupen,Cercle Brugge,Waasland-Beveren,Lokeren,Mouscron,Waregem
14,Genk,Club Brugge,Antwerp,Anderlecht,St Truiden,Standard,Gent,Charleroi,Cercle Brugge,Oostende,Kortrijk,Eupen,Waregem,Waasland-Beveren,Mouscron,Lokeren
15,Genk,Antwerp,Club Brugge,Anderlecht,St Truiden,Standard,Gent,Charleroi,Cercle Brugge,Kortrijk,Oostende,Eupen,Waregem,Mouscron,Waasland-Beveren,Lokeren
16,Genk,Club Brugge,Antwerp,Anderlecht,St Truiden,Standard,Charleroi,Gent,Kortrijk,Cercle Brugge,Oostende,Eupen,Waregem,Mouscron,Waasland-Beveren,Lokeren
17,Genk,Antwerp,Club Brugge,Anderlecht,St Truiden,Gent,Standard,Charleroi,Kortrijk,Cercle Brugge,Oostende,Eupen,Waregem,Waasland-Beveren,Mouscron,Lokeren
18,Genk,Club Brugge,Antwerp,Anderlecht,St Truiden,Standard,Charleroi,Gent,Cercle Brugge,Kortrijk,Oostende,Eupen,Waasland-Beveren,Waregem,Mouscron,Lokeren
19,Genk,Club Brugge,Antwerp,Standard,St Truiden,Anderlecht,Gent,Charleroi,Kortrijk,Cercle Brugge,Oostende,Eupen,Waasland-Beveren,Waregem,Mouscron,Lokeren
20,Genk,Club Brugge,Antwerp,Standard,Anderlecht,St Truiden,Gent,Charleroi,Kortrijk,Cercle Brugge,Eupen,Oostende,Waasland-Beveren,Waregem,Mouscron,Lokeren
21,Genk,Club Brugge,Antwerp,Standard,Anderlecht,Gent,St Truiden,Charleroi,Kortrijk,Eupen,Cercle Brugge,Oostende,Waasland-Beveren,Mouscron,Waregem,Lokeren
22,Genk,Club Brugge,Antwerp,Standard,Anderlecht,Gent,St Truiden,Charleroi,Kortrijk,Eupen,Cercle Brugge,Mouscron,Waregem,Oostende,Waasland-Beveren,Lokeren
23,Genk,Club Brugge,Antwerp,Standard,St Truiden,Gent,Anderlecht,Charleroi,Kortrijk,Eupen,Mouscron,Waregem,Cercle Brugge,Oostende,Waasland-Beveren,Lokeren
