,Genk scored,Genk received,Club Brugge scored,Club Brugge received,Anderlecht scored,Anderlecht received,Standard scored,Standard received,Oostende scored,Oostende received,Antwerp scored,Antwerp received,Waregem scored,Waregem received,Waasland-Beveren scored,Waasland-Beveren received,Cercle Brugge scored,Cercle Brugge received,St Truiden scored,St Truiden received,Gent scored,Gent received,Mouscron scored,Mouscron received,Charleroi scored,Charleroi received,Eupen scored,Eupen received,Kortrijk scored,Kortrijk received,Lokeren scored,Lokeren received
0,4,0,5,2,4,1,3,2,2,1,1,0,2,2,2,2,0,0,0,0,2,3,1,2,0,1,2,5,1,4,0,4
1,1,1,1,0,5,2,0,0,2,5,0,0,1,1,0,0,3,2,1,1,1,1,0,1,4,1,1,4,0,0,2,3
2,2,0,3,0,2,1,0,0,0,2,1,0,4,0,1,4,0,0,1,1,4,1,0,1,1,2,0,4,0,3,1,1
3,3,1,1,1,2,0,3,0,2,1,1,1,1,3,2,2,3,1,2,2,3,2,0,2,1,3,2,3,1,2,0,3
4,3,2,2,1,1,2,3,2,3,1,1,0,1,3,2,3,0,1,2,3,2,1,0,1,0,2,1,0,2,0,1,2
5,3,3,5,2,1,1,1,2,0,1,1,1,2,5,0,1,0,3,1,0,3,0,1,3,3,1,2,1,3,3,1,0
6,1,0,2,1,0,1,0,0,1,1,5,1,1,5,0,0,1,1,2,1,1,2,1,0,0,0,0,0,0,1,1,2
7,5,2,4,0,2,1,1,2,2,1,0,2,0,2,1,1,2,5,2,0,0,4,0,0,1,1,1,2,2,0,0,0
8,4,0,4,0,0,0,3,1,1,3,2,2,0,4,3,0,0,4,0,0,2,2,0,3,2,1,3,1,1,3,1,2
9,5,1,1,3,2,1,3,1,1,1,2,1,1,2,1,1,2,1,3,1,1,5,1,3,1,2,1,2,3,1,1,3
10,2,1,1,1,4,2,0,0,0,4,2,1,2,3,1,1,2,4,1,3,4,0,0,0,3,2,1,2,3,1,1,2
11,1,1,2,2,1,2,1,1,0,0,1,0,2,2,0,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,0,0
12,4,2,4,0,1,1,1,3,0,4,2,4,3,1,2,2,0,2,0,1,1,3,3,1,1,0,2,0,2,2,1,1
13,1,1,1,1,2,1,0,2,2,1,2,0,1,2,1,2,2,1,2,1,3,1,1,2,1,2,0,2,1,3,2,0
14,0,0,1,2,2,0,2,0,0,2,2,0,2,0,0,2,2,0,4,1,0,2,0,0,2,1,1,4,0,2,0,2
15,1,2,1,3,2,4,3,0,1,2,0,0,3,1,1,2,2,1,4,2,0,0,2,1,4,2,0,3,2,1,2,4
16,1,0,3,0,0,1,0,3,1,1,1,3,1,1,0,1,1,3,3,1,2,2,0,1,3,1,1,0,1,0,2,2
17,1,1,1,2,1,1,1,1,1,0,3,0,0,0,2,1,0,3,1,1,2,0,0,0,1,1,0,2,1,1,0,1
18,2,0,0,0,1,2,4,1,0,2,0,2,1,4,2,0,2,1,0,2,0,2,0,1,2,0,1,0,0,0,2,0
19,2,0,5,1,1,3,3,1,1,3,1,5,3,1,2,1,1,4,0,0,4,1,3,1,1,3,0,2,0,0,1,2
20,3,1,1,0,3,0,1,0,1,1,2,1,2,4,0,3,0,1,1,1,1,3,1,2,0,1,1,0,4,2,0,1
21,3,2,0,1,0,1,2,1,1,2,2,1,1,2,1,1,1,1,2,3,1,0,2,1,1,0,4,1,1,2,1,4
22,1,2,2,1,2,1,1,1,1,2,1,1,3,0,2,2,1,2,2,1,2,1,2,1,2,2,1,2,1,2,0,3
23,2,1,1,1,1,2,2,1,0,2,2,0,3,2,1,2,2,3,4,1,1,1,3,0,0,3,1,4,2,1,1,2
24,2,0,2,2,0,0,0,2,1,1,1,2,0,0,1,2,2,2,2,1,1,2,2,1,1,1,0,1,1,0,2,1
25,1,3,3,1,1,0,3,1,1,1,0,1,1,1,2,1,0,3,1,1,1,2,3,0,2,1,1,1,1,2,1,3
26,0,0,2,2,2,2,1,2,2,2,0,0,3,2,2,6,2,2,3,1,2,1,1,0,1,3,2,3,6,2,0,1
27,1,1,1,0,2,1,1,1,1,1,2,1,1,3,1,1,1,2,0,1,3,1,1,1,1,1,1,2,2,1,1,2
28,1,0,4,0,2,0,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,0,4,0,2,0,1
29,3,3,1,2,2,0,4,3,0,2,0,2,3,3,3,4,1,3,0,2,2,0,2,1,1,2,2,1,2,0,3,1
