,Ajax scored,Ajax received,AZ Alkmaar scored,AZ Alkmaar received,PSV Eindhoven scored,PSV Eindhoven received,Zwolle scored,Zwolle received,Groningen scored,Groningen received,Dordrecht scored,Dordrecht received,Feyenoord scored,Feyenoord received,NAC Breda scored,NAC Breda received,Excelsior scored,Excelsior received,Cambuur scored,Cambuur received,Go Ahead Eagles scored,Go Ahead Eagles received,Heerenveen scored,Heerenveen received,Den Haag scored,Den Haag received,Willem II scored,Willem II received,Utrecht scored,Utrecht received,Vitesse scored,Vitesse received,Heracles scored,Heracles received,Twente scored,Twente received
0,4,1,3,0,3,1,2,0,3,2,2,1,1,0,1,1,1,1,1,1,2,3,1,2,0,1,1,3,0,2,1,4,0,3,1,1
1,3,1,1,3,6,1,2,1,3,1,1,2,1,1,1,6,3,2,2,2,2,3,1,1,2,2,1,2,2,1,2,2,1,3,2,2
2,1,3,0,3,3,1,2,1,0,3,0,0,1,2,1,1,0,2,1,0,0,0,2,0,3,0,3,0,2,1,1,2,0,1,1,1
3,0,2,3,1,2,0,1,3,2,0,1,3,0,0,3,1,3,1,3,2,1,0,3,1,2,3,0,1,1,3,0,2,1,3,0,0
4,2,1,0,1,1,3,3,1,0,3,0,1,1,2,1,0,1,3,3,0,1,2,1,0,0,0,2,1,0,0,3,1,1,2,2,1
5,1,0,1,0,4,0,0,1,0,1,1,1,0,1,1,2,1,1,0,4,1,1,1,1,1,1,2,1,1,0,1,1,1,4,4,1
6,5,2,3,2,0,1,4,2,1,0,2,6,4,0,2,5,1,1,1,1,0,4,1,0,2,3,0,1,1,3,6,2,2,4,3,1
7,0,0,2,2,3,0,0,0,0,4,1,4,4,0,1,6,0,3,4,1,3,2,1,2,1,6,2,1,2,3,6,1,6,1,2,2
8,1,1,0,3,3,0,2,3,1,1,1,3,2,1,1,1,1,1,2,2,3,2,2,2,1,1,1,4,3,1,4,1,1,2,1,1
9,3,1,2,2,5,1,2,2,2,2,0,2,1,0,2,2,2,1,0,1,1,3,2,2,2,0,3,1,1,5,2,2,1,3,1,2
10,4,0,3,3,1,0,0,2,1,0,0,4,2,0,0,1,3,3,1,1,1,3,0,2,0,1,1,1,3,1,1,3,3,1,2,0
11,4,2,1,0,2,1,2,0,0,2,0,4,0,0,0,1,2,2,2,4,2,2,2,2,3,2,2,3,2,2,0,0,1,2,4,0
12,4,1,1,0,1,1,1,2,1,1,0,2,2,0,0,2,1,1,3,1,2,0,1,4,1,3,1,1,1,3,0,1,3,1,2,1
13,1,1,2,0,4,3,5,0,2,1,0,4,3,4,1,5,0,5,0,2,2,2,0,1,1,1,4,0,5,1,2,2,1,0,1,2
14,5,0,2,0,3,1,3,1,1,1,1,3,5,2,1,0,2,5,0,1,0,2,1,1,1,3,0,5,2,4,2,2,4,2,2,2
15,3,1,2,2,2,0,1,0,1,1,1,1,2,2,0,2,2,2,2,1,1,2,2,0,2,2,0,1,1,3,1,1,1,1,0,2
16,2,0,0,3,5,0,1,2,1,1,1,1,1,0,0,1,0,2,2,1,0,5,0,0,0,0,2,3,3,0,3,0,0,3,3,2
17,2,0,2,0,1,0,4,1,0,2,0,2,3,1,1,4,3,0,2,2,0,1,2,1,2,2,1,0,1,2,0,1,0,3,1,3
18,0,0,1,1,2,1,1,1,2,2,1,0,0,0,0,0,0,1,1,2,1,0,4,1,0,1,0,0,2,2,1,4,0,2,2,0
19,0,1,3,1,2,1,2,0,2,0,0,0,2,1,0,0,0,0,1,2,0,2,0,0,1,2,1,2,0,2,1,0,1,3,2,1
20,0,1,1,0,2,0,4,0,2,2,0,4,1,3,0,2,0,0,0,2,0,0,3,1,2,0,1,0,0,1,2,0,2,2,0,2
21,2,1,4,2,3,1,0,4,2,4,0,0,2,1,0,1,3,1,1,2,1,2,4,0,0,0,3,0,1,3,1,0,0,3,1,3
22,4,2,2,4,4,2,0,1,1,1,1,6,0,2,2,3,1,1,2,1,1,0,1,2,3,2,0,2,6,1,2,0,2,0,2,4
23,1,1,2,0,3,0,2,3,1,3,0,3,3,2,2,1,2,3,1,2,0,2,3,1,3,2,1,1,1,1,2,1,1,1,1,2
24,3,1,2,0,1,3,1,2,1,1,2,1,0,0,1,1,3,0,1,0,1,2,0,3,1,1,0,2,0,0,2,1,0,1,1,1
25,1,0,2,6,3,0,6,1,2,0,0,2,3,0,0,3,0,1,1,6,0,3,1,0,0,1,2,2,6,2,1,1,1,1,2,2
26,4,1,1,3,2,1,0,2,1,2,1,2,2,1,1,0,2,3,3,1,0,1,1,4,1,3,3,2,1,3,3,1,3,1,2,0
27,1,0,2,1,1,2,1,1,2,2,1,2,2,1,4,3,1,1,1,2,0,2,4,1,0,1,2,1,3,4,2,0,1,4,2,2
28,1,1,1,4,5,0,1,0,1,1,2,3,4,1,0,0,2,3,1,0,0,1,0,0,3,2,0,1,1,1,1,1,3,2,0,5
29,2,0,2,5,3,1,1,3,3,2,2,2,2,2,2,2,1,3,2,3,1,3,5,2,2,0,2,2,0,2,3,1,0,2,3,1
30,0,0,3,1,4,1,0,2,4,1,0,3,0,1,0,0,1,1,1,1,1,0,1,4,1,3,1,4,1,0,3,0,2,0,0,1
31,1,1,2,0,3,2,1,1,1,1,0,0,1,1,1,3,2,3,0,0,0,2,1,1,1,0,1,1,2,0,0,1,3,1,0,2
32,3,0,3,2,2,0,1,0,0,1,0,3,1,4,2,3,2,2,0,3,1,1,1,1,0,1,1,0,2,2,4,1,0,2,3,0
33,1,2,4,1,3,2,3,0,5,4,2,1,0,3,4,5,1,4,1,2,0,1,1,3,2,3,2,1,3,3,3,3,1,0,3,1
