,Ajax scored,Ajax received,AZ Alkmaar scored,AZ Alkmaar received,PSV Eindhoven scored,PSV Eindhoven received,Zwolle scored,Zwolle received,Groningen scored,Groningen received,Dordrecht scored,Dordrecht received,Feyenoord scored,Feyenoord received,NAC Breda scored,NAC Breda received,Excelsior scored,Excelsior received,Cambuur scored,Cambuur received,Go Ahead Eagles scored,Go Ahead Eagles received,Heerenveen scored,Heerenveen received,Den Haag scored,Den Haag received,Willem II scored,Willem II received,Utrecht scored,Utrecht received,Vitesse scored,Vitesse received,Heracles scored,Heracles received,Twente scored,Twente received
0,4,1,3,0,3,1,2,0,3,2,2,1,1,0,1,1,1,1,1,1,2,3,1,2,0,1,1,3,0,2,1,4,0,3,1,1
1,7,2,4,3,9,2,4,1,6,3,3,3,2,1,2,7,4,3,3,3,4,6,2,3,2,3,2,5,2,3,3,6,1,6,3,3
2,8,5,4,6,12,3,6,2,6,6,3,3,3,3,3,8,4,5,4,3,4,6,4,3,5,3,5,5,4,4,4,8,1,7,4,4
3,8,7,7,7,14,3,7,5,8,6,4,6,3,3,6,9,7,6,7,5,5,6,7,4,7,6,5,6,5,7,4,10,2,10,4,4
4,10,8,7,8,15,6,10,6,8,9,4,7,4,5,7,9,8,9,10,5,6,8,8,4,7,6,7,7,5,7,7,11,3,12,6,5
5,11,8,8,8,19,6,10,7,8,10,5,8,4,6,8,11,9,10,10,9,7,9,9,5,8,7,9,8,6,7,8,12,4,16,10,6
6,16,10,11,10,19,7,14,9,9,10,7,14,8,6,10,16,10,11,11,10,7,13,10,5,10,10,9,9,7,10,14,14,6,20,13,7
7,16,10,13,12,22,7,14,9,9,14,8,18,12,6,11,22,10,14,15,11,10,15,11,7,11,16,11,10,9,13,20,15,12,21,15,9
8,17,11,13,15,25,7,16,12,10,15,9,21,14,7,12,23,11,15,17,13,13,17,13,9,12,17,12,14,12,14,24,16,13,23,16,10
9,20,12,15,17,30,8,18,14,12,17,9,23,15,7,14,25,13,16,17,14,14,20,15,11,14,17,15,15,13,19,26,18,14,26,17,12
10,24,12,18,20,31,8,18,16,13,17,9,27,17,7,14,26,16,19,18,15,15,23,15,13,14,18,16,16,16,20,27,21,17,27,19,12
11,28,14,19,20,33,9,20,16,13,19,9,31,17,7,14,27,18,21,20,19,17,25,17,15,17,20,18,19,18,22,27,21,18,29,23,12
12,32,15,20,20,34,10,21,18,14,20,9,33,19,7,14,29,19,22,23,20,19,25,18,19,18,23,19,20,19,25,27,22,21,30,25,13
13,33,16,22,20,38,13,26,18,16,21,9,37,22,11,15,34,19,27,23,22,21,27,18,20,19,24,23,20,24,26,29,24,22,30,26,15
14,38,16,24,20,41,14,29,19,17,22,10,40,27,13,16,34,21,32,23,23,21,29,19,21,20,27,23,25,26,30,31,26,26,32,28,17
15,41,17,26,22,43,14,30,19,18,23,11,41,29,15,16,36,23,34,25,24,22,31,21,21,22,29,23,26,27,33,32,27,27,33,28,19
16,43,17,26,25,48,14,31,21,19,24,12,42,30,15,16,37,23,36,27,25,22,36,21,21,22,29,25,29,30,33,35,27,27,36,31,21
