,Ajax scored,Ajax received,AZ Alkmaar scored,AZ Alkmaar received,PSV Eindhoven scored,PSV Eindhoven received,Zwolle scored,Zwolle received,Groningen scored,Groningen received,Dordrecht scored,Dordrecht received,Feyenoord scored,Feyenoord received,NAC Breda scored,NAC Breda received,Excelsior scored,Excelsior received,Cambuur scored,Cambuur received,Go Ahead Eagles scored,Go Ahead Eagles received,Heerenveen scored,Heerenveen received,Den Haag scored,Den Haag received,Willem II scored,Willem II received,Utrecht scored,Utrecht received,Vitesse scored,Vitesse received,Heracles scored,Heracles received,Twente scored,Twente received
17,45,17,28,25,49,14,35,22,19,26,12,44,33,16,17,41,26,36,29,27,22,37,23,22,24,31,26,29,31,35,35,28,27,39,32,24
18,45,17,29,26,51,15,36,23,21,28,13,44,33,16,17,41,26,37,30,29,23,37,27,23,24,32,26,29,33,37,36,32,27,41,34,24
19,45,18,32,27,53,16,38,23,23,28,13,44,35,17,17,41,26,37,31,31,23,39,27,23,25,34,27,31,33,39,37,32,28,44,36,25
20,45,19,33,27,55,16,42,23,25,30,13,48,36,20,17,43,26,37,31,33,23,39,30,24,27,34,28,31,33,40,39,32,30,46,36,27
21,47,20,37,29,58,17,42,27,27,34,13,48,38,21,17,44,29,38,32,35,24,41,34,24,27,34,31,31,34,43,40,32,30,49,37,30
22,51,22,39,33,62,19,42,28,28,35,14,54,38,23,19,47,30,39,34,36,25,41,35,26,30,36,31,33,40,44,42,32,32,49,39,34
23,52,23,41,33,65,19,44,31,29,38,14,57,41,25,21,48,32,42,35,38,25,43,38,27,33,38,32,34,41,45,44,33,33,50,40,36
24,55,24,43,33,66,22,45,33,30,39,16,58,41,25,22,49,35,42,36,38,26,45,38,30,34,39,32,36,41,45,46,34,33,51,41,37
25,56,24,45,39,69,22,51,34,32,39,16,60,44,25,22,52,35,43,37,44,26,48,39,30,34,40,34,38,47,47,47,35,34,52,43,39
26,60,25,46,42,71,23,51,36,33,41,17,62,46,26,23,52,37,46,40,45,26,49,40,34,35,43,37,40,48,50,50,36,37,53,45,39
27,61,25,48,43,72,25,52,37,35,43,18,64,48,27,27,55,38,47,41,47,26,51,44,35,35,44,39,41,51,54,52,36,38,57,47,41
28,62,26,49,47,77,25,53,37,36,44,20,67,52,28,27,55,40,50,42,47,26,52,44,35,38,46,39,42,52,55,53,37,41,59,47,46
29,64,26,51,52,80,26,54,40,39,46,22,69,54,30,29,57,41,53,44,50,27,55,49,37,40,46,41,44,52,57,56,38,41,61,50,47
30,64,26,54,53,84,27,54,42,43,47,22,72,54,31,29,57,42,54,45,51,28,55,50,41,41,49,42,48,53,57,59,38,43,61,50,48
31,65,27,56,53,87,29,55,43,44,48,22,72,55,32,30,60,44,57,45,51,28,57,51,42,42,49,43,49,55,57,59,39,46,62,50,50
32,68,27,59,55,89,29,56,43,44,49,22,75,56,36,32,63,46,59,45,54,29,58,52,43,42,50,44,49,57,59,63,40,46,64,53,50
33,69,29,63,56,92,31,59,43,49,53,24,76,56,39,36,68,47,63,46,56,29,59,53,46,44,53,46,50,60,62,66,43,47,64,56,51
