,Hoffenheim scored,Hoffenheim received,Schalke 04 scored,Schalke 04 received,Stuttgart scored,Stuttgart received,Hertha scored,Hertha received,Dortmund scored,Dortmund received,Wolfsburg scored,Wolfsburg received,Karlsruhe scored,Karlsruhe received,Bielefeld scored,Bielefeld received,Bayern Munich scored,Bayern Munich received,Hamburg scored,Hamburg received,Werder Bremen scored,Werder Bremen received,Leverkusen scored,Leverkusen received,FC Koln scored,FC Koln received,Bochum scored,Bochum received,M'gladbach scored,M'gladbach received,Ein Frankfurt scored,Ein Frankfurt received,Cottbus scored,Cottbus received,Hannover scored,Hannover received
0,3,0,3,0,3,1,2,0,3,2,2,1,1,0,2,2,2,2,2,2,2,2,2,3,1,2,0,1,1,3,0,2,0,3,0,3
1,1,0,1,1,0,2,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,2,0,1,1,2,2,0,1,1,1,0,0,0,0
2,2,5,1,0,2,0,1,4,1,0,2,2,0,2,2,4,4,1,4,2,2,3,5,2,2,0,0,1,3,2,2,2,0,1,0,2
3,0,0,3,3,0,0,2,2,3,3,2,2,1,2,0,2,3,0,3,2,3,0,2,3,0,3,2,0,1,5,2,1,0,3,5,1
4,4,1,1,0,3,1,1,0,1,4,3,0,1,3,2,0,2,5,0,3,5,2,4,0,0,2,1,1,0,1,0,1,1,1,0,4
5,4,5,0,1,0,3,0,1,3,0,1,2,2,1,1,1,0,1,1,0,5,4,3,2,1,0,2,3,0,1,1,1,1,0,1,0
6,2,1,2,2,4,1,1,0,1,1,2,2,2,1,1,2,3,3,2,1,1,4,0,1,2,1,3,3,1,2,1,2,1,2,1,1
7,5,2,1,1,1,2,2,1,3,3,4,1,0,1,1,4,1,0,1,1,3,3,2,0,1,0,2,2,2,2,0,2,0,1,2,5
8,3,0,0,0,2,0,1,1,1,1,2,4,0,1,0,0,4,2,0,3,1,1,2,0,0,2,0,2,1,0,3,2,2,3,1,1
9,3,1,3,0,0,2,3,0,1,0,3,0,0,3,1,1,2,1,2,0,0,2,2,0,0,1,1,3,0,3,1,2,1,1,0,3
10,4,1,2,0,1,3,1,5,1,1,0,2,1,4,1,3,3,1,0,3,5,1,2,0,3,1,1,1,1,2,2,1,0,2,3,0
11,0,1,1,2,2,2,1,0,1,2,3,0,3,3,0,2,2,1,2,1,0,0,3,3,2,1,0,0,2,0,2,2,0,3,1,2
12,3,2,1,2,0,0,2,1,4,0,2,3,0,1,0,0,2,2,1,2,3,1,2,1,1,3,1,1,2,2,0,4,1,0,1,1
13,3,1,3,1,1,4,3,2,1,0,4,1,0,1,2,1,4,1,2,1,1,2,1,2,1,3,2,3,1,3,4,0,1,4,0,4
14,3,0,0,2,2,0,2,1,0,0,0,0,2,3,0,3,2,0,1,1,5,0,0,2,1,2,1,1,1,3,0,5,3,1,3,2
15,1,2,1,0,3,0,0,1,0,0,2,1,1,0,0,0,2,1,2,1,0,1,3,1,1,2,0,4,1,3,4,0,0,3,1,2
16,1,1,1,1,2,2,4,0,2,1,1,2,0,4,1,1,2,2,1,0,2,1,1,1,2,1,1,2,1,2,0,1,1,1,1,1
17,2,0,0,1,2,0,2,1,1,1,1,1,0,2,2,1,0,1,1,0,1,2,1,1,1,1,2,0,0,2,1,2,0,2,1,0
18,1,1,1,0,4,2,1,1,1,3,2,0,3,2,1,1,3,1,2,3,0,1,2,4,2,2,0,2,1,1,2,2,3,1,1,3
19,1,4,1,2,3,3,2,1,1,1,2,0,0,0,0,2,1,2,2,0,1,1,4,1,0,0,2,1,1,1,0,2,1,1,3,3
20,3,3,1,1,3,3,1,2,1,1,2,1,0,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,3,2,1,0,2,1,2,3
21,0,0,2,1,2,0,2,1,0,0,3,1,0,2,1,1,0,0,1,3,0,0,0,1,1,1,3,2,1,2,1,2,2,3,1,0
22,0,0,1,0,2,1,3,1,1,2,1,0,0,1,0,0,5,1,1,4,0,0,1,1,0,1,1,1,4,1,0,0,1,3,1,5
23,1,1,3,4,0,4,1,0,4,4,4,3,0,1,1,0,3,0,2,0,4,0,0,1,2,4,0,3,4,2,1,1,0,2,4,4
24,2,2,1,2,2,0,0,2,1,0,3,0,0,1,0,3,1,0,2,1,0,1,1,1,2,0,1,0,0,1,1,1,0,2,2,2
25,0,1,2,0,2,1,1,3,3,1,5,1,0,0,0,2,1,5,1,0,4,1,2,0,0,2,1,2,0,0,2,1,1,2,1,4
26,0,3,2,0,1,0,0,2,3,1,2,1,0,2,1,2,4,0,0,1,1,1,1,1,1,3,3,0,1,2,0,4,2,1,2,0
27,2,2,4,0,3,0,2,1,2,0,2,1,2,2,0,1,1,0,2,1,1,2,1,2,0,3,0,2,1,4,4,1,0,4,1,2
28,0,1,1,0,2,0,1,0,2,0,0,2,1,0,1,1,0,1,0,2,3,2,0,1,1,2,2,3,1,1,0,2,2,0,2,1
29,0,4,1,2,2,2,1,1,2,0,4,0,0,0,2,2,2,1,1,1,0,1,2,1,1,0,0,2,1,2,0,2,0,0,2,0
30,2,0,0,1,4,1,2,0,4,0,1,4,0,4,2,2,3,1,0,2,2,0,2,2,0,2,0,2,1,0,1,1,1,3,1,1
31,2,0,1,2,2,1,2,1,0,3,3,0,2,3,0,2,3,0,3,1,5,0,0,3,1,2,1,3,1,0,0,5,0,1,3,2
32,2,2,0,0,2,0,0,0,6,0,5,0,3,1,0,6,2,2,0,1,1,3,5,0,1,0,2,0,0,5,0,2,0,2,0,5
33,3,2,2,3,1,2,0,4,1,1,5,1,4,0,2,2,2,1,3,2,1,5,0,3,1,1,1,1,1,1,2,3,3,0,2,2
