,Real Madrid scored,Real Madrid received,Sevilla scored,Sevilla received,Mallorca scored,Mallorca received,Ath Bilbao scored,Ath Bilbao received,Ath Madrid scored,Ath Madrid received,Osasuna scored,Osasuna received,Alaves scored,Alaves received,Valladolid scored,Valladolid received,Villarreal scored,Villarreal received,Sociedad scored,Sociedad received,Valencia scored,Valencia received,Granada scored,Granada received,Betis scored,Betis received,Leganes scored,Leganes received,Barcelona scored,Barcelona received,Getafe scored,Getafe received,Levante scored,Levante received,Celta scored,Celta received,Espanol scored,Espanol received,Eibar scored,Eibar received
0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,2.0
1,2.0,1.0,1.5,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.0,0.5,0.0,1.5,1.0,2.5,3.0,1.0,0.5,0.5,1.0,2.0,2.5,1.5,3.5,0.0,1.0,2.5,1.5,0.5,1.0,1.0,1.0,1.0,1.5,0.0,1.0,0.5,1.0
2,2.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.3333333333333333,2.3333333333333335,2.6666666666666665,0.6666666666666666,1.0,1.0,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.6666666666666667,2.6666666666666665,0.3333333333333333,1.3333333333333333,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,0.0,1.6666666666666667,1.0,1.6666666666666667
3,2.0,1.6666666666666667,1.0,0.3333333333333333,0.0,1.0,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.0,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.0,1.6666666666666667,0.3333333333333333,1.6666666666666667,2.3333333333333335,0.3333333333333333,2.0,4.0,2.0,1.0,1.0,2.0,1.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667
4,2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,1.3333333333333333,0.0,1.0,1.3333333333333333,1.0,1.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.6666666666666667,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.0,1.6666666666666667,2.0,2.3333333333333335,0.0,1.0,0.6666666666666666,0.6666666666666666,2.0,2.3333333333333335,2.0,2.0,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,1.0,1.0,2.3333333333333335,1.0,1.6666666666666667
5,2.0,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,2.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.0,2.0,0.6666666666666666,1.3333333333333333,2.0,0.6666666666666666,2.6666666666666665,0.3333333333333333,2.0,3.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.6666666666666667,2.6666666666666665,2.0,1.0,2.0,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333
6,1.0,0.0,1.6666666666666667,2.0,0.6666666666666666,2.6666666666666665,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,1.0,1.0,2.6666666666666665,1.0,2.6666666666666665,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,1.0,1.3333333333333333,1.0,2.3333333333333335,2.3333333333333335,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,2.0,1.6666666666666667,0.6666666666666666
7,2.0,0.6666666666666666,1.6666666666666667,3.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.0,1.0,1.3333333333333333,1.0,1.6666666666666667,1.0,0.3333333333333333,2.3333333333333335,1.6666666666666667,2.0,1.6666666666666667,2.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.6666666666666665,0.3333333333333333,1.6666666666666667,2.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,1.6666666666666667,2.0,1.0
8,1.3333333333333333,1.0,1.3333333333333333,2.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,2.3333333333333335,1.0,2.0,2.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,3.0,0.3333333333333333,1.6666666666666667,3.0,0.0,1.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.3333333333333333,0.0,1.6666666666666667,1.0,1.3333333333333333
9,1.3333333333333333,1.0,1.0,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,2.0,1.0,0.3333333333333333,2.0,1.0,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.3333333333333335,0.0,1.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,2.0
