,Celtic scored,Celtic received,Hibernian scored,Hibernian received,Aberdeen scored,Aberdeen received,Rangers scored,Rangers received,Ross County scored,Ross County received,St Johnstone scored,St Johnstone received,Dundee scored,Dundee received,Kilmarnock scored,Kilmarnock received,Motherwell scored,Motherwell received,Partick scored,Partick received,Hamilton scored,Hamilton received,Hearts scored,Hearts received
0,4,1,3,1,2,0,2,1,2,1,2,1,1,2,1,2,1,2,1,3,0,2,1,4
1,5,1,6,3,4,1,4,4,3,3,6,2,1,5,1,3,2,6,1,4,3,2,2,4
2,7,1,7,6,6,2,4,4,3,5,7,2,2,7,1,5,4,6,1,5,6,3,2,4
3,8,2,8,7,10,5,7,5,4,8,8,3,3,8,3,7,6,7,4,9,8,5,3,6
4,12,3,9,8,10,5,11,6,5,9,9,4,4,12,3,9,8,7,5,10,9,9,3,6
5,16,3,11,10,11,6,13,8,5,13,11,7,7,14,4,10,10,9,7,12,10,11,5,7
6,18,3,12,10,12,6,13,10,5,14,13,8,8,15,5,11,10,10,8,13,11,13,6,8
7,20,5,14,12,15,6,17,11,7,14,13,11,10,16,5,13,13,10,8,16,12,17,7,10
8,21,5,14,13,16,6,20,11,8,16,13,14,10,17,7,13,15,11,8,18,13,19,9,11
9,22,6,17,13,16,9,23,11,10,17,13,15,11,19,7,16,16,12,10,19,14,21,10,11
10,25,6,18,13,16,12,24,12,10,17,13,15,11,20,8,17,17,12,10,19,14,21,10,12
11,26,7,19,13,18,13,27,13,11,19,13,16,12,23,9,18,17,13,11,19,17,22,11,15
12,30,7,21,14,20,15,30,13,14,21,13,20,13,25,11,19,19,16,11,22,19,24,12,17
13,31,7,22,16,20,17,30,15,14,22,15,21,13,25,11,19,21,16,12,23,21,24,13,18
14,33,7,23,17,23,18,31,17,14,22,15,23,15,26,12,22,23,16,12,25,22,25,13,18
15,38,8,24,17,24,20,33,18,14,24,16,25,17,26,14,23,24,21,12,26,23,26,14,19
16,40,10,26,19,25,20,35,19,15,26,17,25,17,27,19,24,24,22,13,31,23,27,15,19
17,43,11,27,21,28,20,37,20,17,28,17,28,17,29,21,26,26,25,16,33,24,30,17,19
18,43,15,28,25,32,21,38,23,19,31,20,29,20,29,22,26,26,26,16,36,27,32,21,19
19,46,15,30,26,32,24,39,25,20,33,20,29,21,30,24,27,27,27,17,36,27,33,21,19
20,48,15,30,26,33,24,41,25,21,34,21,30,21,32,26,28,27,29,17,37,28,35,21,19
21,48,15,31,27,33,24,41,25,21,36,21,32,23,32,27,29,28,32,19,37,31,36,21,19
22,50,16,32,27,33,26,43,25,21,38,21,34,23,33,29,29,30,32,20,39,31,39,24,19
23,51,16,32,28,36,27,45,26,22,40,22,37,25,34,30,32,31,33,23,40,32,41,25,20
24,54,17,34,29,40,29,47,26,24,44,23,37,27,37,33,34,32,35,23,42,32,42,26,23
25,54,18,36,30,43,29,48,28,28,45,23,38,28,41,34,34,33,36,24,43,32,45,27,23
26,54,18,38,30,43,31,53,31,29,46,23,38,30,42,35,34,33,37,25,45,35,50,28,24
27,56,18,40,32,43,33,55,31,29,48,25,38,30,43,37,36,34,37,26,47,37,51,28,26
28,56,18,43,33,45,33,59,32,33,48,26,42,30,43,38,37,34,39,26,51,38,54,29,27
29,59,20,45,33,45,33,61,35,35,51,30,42,30,47,41,39,34,41,26,51,40,54,29,29
30,59,20,46,34,46,33,61,36,37,53,31,43,30,48,42,39,34,41,26,54,42,56,32,29
31,62,20,48,34,50,34,63,38,37,56,32,47,31,49,44,39,36,43,26,56,42,58,33,30
32,64,21,49,35,50,36,67,38,38,57,32,47,31,53,45,39,36,43,26,57,43,60,35,30
