,0,1,2,3,4,5,6,7,8,9,10,11
0,Celtic,Hibernian,Aberdeen,Rangers,Ross County,St Johnstone,Dundee,Kilmarnock,Motherwell,Partick,Hamilton,Hearts
1,St Johnstone,Celtic,Hibernian,Aberdeen,Hamilton,Rangers,Ross County,Hearts,Kilmarnock,Partick,Motherwell,Dundee
2,Celtic,St Johnstone,Aberdeen,Hamilton,Hibernian,Rangers,Hearts,Motherwell,Ross County,Kilmarnock,Partick,Dundee
3,Aberdeen,Celtic,St Johnstone,Hamilton,Rangers,Hibernian,Motherwell,Hearts,Ross County,Kilmarnock,Dundee,Partick
4,Celtic,Aberdeen,St Johnstone,Rangers,Motherwell,Hibernian,Hamilton,Hearts,Ross County,Partick,Kilmarnock,Dundee
5,Celtic,Aberdeen,Rangers,St Johnstone,Motherwell,Hibernian,Hearts,Hamilton,Dundee,Ross County,Partick,Kilmarnock
6,Celtic,Aberdeen,St Johnstone,Hibernian,Rangers,Motherwell,Hearts,Hamilton,Dundee,Ross County,Partick,Kilmarnock
7,Celtic,Aberdeen,Rangers,St Johnstone,Motherwell,Hibernian,Hearts,Dundee,Hamilton,Ross County,Partick,Kilmarnock
8,Celtic,Aberdeen,Rangers,Motherwell,St Johnstone,Hibernian,Hearts,Dundee,Hamilton,Ross County,Kilmarnock,Partick
9,Celtic,Aberdeen,Rangers,Motherwell,Hibernian,Hearts,St Johnstone,Ross County,Dundee,Hamilton,Partick,Kilmarnock
10,Celtic,Aberdeen,Rangers,Motherwell,Hibernian,St Johnstone,Hearts,Ross County,Hamilton,Dundee,Partick,Kilmarnock
11,Celtic,Aberdeen,Rangers,Hibernian,Motherwell,St Johnstone,Hearts,Hamilton,Ross County,Partick,Kilmarnock,Dundee
12,Celtic,Rangers,Aberdeen,Hibernian,Motherwell,Hearts,St Johnstone,Ross County,Hamilton,Kilmarnock,Partick,Dundee
13,Celtic,Rangers,Aberdeen,Hibernian,Motherwell,St Johnstone,Hearts,Hamilton,Ross County,Kilmarnock,Partick,Dundee
14,Celtic,Aberdeen,Rangers,Motherwell,Hibernian,St Johnstone,Hearts,Hamilton,Ross County,Kilmarnock,Dundee,Partick
15,Celtic,Rangers,Aberdeen,Hibernian,Motherwell,Hearts,St Johnstone,Hamilton,Dundee,Kilmarnock,Ross County,Partick
16,Celtic,Rangers,Aberdeen,Hibernian,Motherwell,Hearts,St Johnstone,Kilmarnock,Hamilton,Dundee,Ross County,Partick
17,Celtic,Rangers,Aberdeen,Hibernian,Motherwell,Hearts,St Johnstone,Kilmarnock,Hamilton,Ross County,Dundee,Partick
18,Celtic,Aberdeen,Rangers,Hibernian,Hearts,Motherwell,St Johnstone,Kilmarnock,Hamilton,Dundee,Ross County,Partick
19,Celtic,Aberdeen,Rangers,Hibernian,Hearts,Motherwell,Kilmarnock,St Johnstone,Hamilton,Dundee,Partick,Ross County
20,Celtic,Aberdeen,Rangers,Hibernian,Hearts,Kilmarnock,Motherwell,St Johnstone,Hamilton,Dundee,Ross County,Partick
21,Celtic,Aberdeen,Rangers,Hibernian,Hearts,Kilmarnock,Motherwell,St Johnstone,Hamilton,Dundee,Partick,Ross County
22,Celtic,Rangers,Aberdeen,Hibernian,Hearts,Kilmarnock,Motherwell,St Johnstone,Hamilton,Dundee,Partick,Ross County
23,Celtic,Rangers,Aberdeen,Hibernian,Hearts,Kilmarnock,Motherwell,St Johnstone,Dundee,Hamilton,Partick,Ross County
24,Celtic,Rangers,Aberdeen,Hibernian,Kilmarnock,Hearts,Motherwell,St Johnstone,Dundee,Hamilton,Partick,Ross County
25,Celtic,Aberdeen,Rangers,Hibernian,Kilmarnock,Hearts,Motherwell,St Johnstone,Dundee,Partick,Hamilton,Ross County
26,Celtic,Rangers,Aberdeen,Hibernian,Kilmarnock,Hearts,Motherwell,St Johnstone,Dundee,Partick,Hamilton,Ross County
27,Celtic,Rangers,Aberdeen,Hibernian,Kilmarnock,Hearts,Motherwell,St Johnstone,Dundee,Hamilton,Partick,Ross County
28,Celtic,Rangers,Aberdeen,Hibernian,Kilmarnock,Hearts,Motherwell,St Johnstone,Dundee,Hamilton,Ross County,Partick
29,Celtic,Rangers,Aberdeen,Hibernian,Kilmarnock,Hearts,St Johnstone,Motherwell,Hamilton,Dundee,Partick,Ross County
30,Celtic,Aberdeen,Rangers,Hibernian,Kilmarnock,Hearts,St Johnstone,Motherwell,Hamilton,Dundee,Ross County,Partick
31,Celtic,Aberdeen,Rangers,Hibernian,Kilmarnock,Hearts,Motherwell,St Johnstone,Hamilton,Dundee,Ross County,Partick
32,Celtic,Rangers,Aberdeen,Hibernian,Kilmarnock,Hearts,Motherwell,St Johnstone,Hamilton,Dundee,Ross County,Partick
