,AZ Alkmaar scored,AZ Alkmaar received,Ajax scored,Ajax received,Groningen scored,Groningen received,Heracles scored,Heracles received,PSV Eindhoven scored,PSV Eindhoven received,Heerenveen scored,Heerenveen received,Vitesse scored,Vitesse received,Willem II scored,Willem II received,Roda scored,Roda received,Den Haag scored,Den Haag received,Utrecht scored,Utrecht received,Sparta Rotterdam scored,Sparta Rotterdam received,Excelsior scored,Excelsior received,Nijmegen scored,Nijmegen received,Twente scored,Twente received,Feyenoord scored,Feyenoord received,Waalwijk scored,Waalwijk received,NAC Breda scored,NAC Breda received
0,8,1,5,0,3,0,3,0,3,1,3,2,2,1,2,1,1,0,2,3,1,2,1,2,0,1,1,3,0,3,0,3,0,5,1,8
1,3,1,2,1,1,1,0,0,0,1,5,0,1,3,0,5,1,0,0,1,2,2,2,2,1,1,1,1,1,0,0,0,1,1,1,2
2,2,0,3,0,2,1,1,2,3,1,1,3,0,3,1,3,2,2,0,2,5,0,1,4,3,1,0,2,2,2,4,1,0,5,2,0
3,2,2,0,2,1,0,3,0,2,1,3,0,0,1,2,3,2,0,0,1,0,3,0,1,3,2,0,3,2,2,1,2,1,0,1,0
4,2,0,2,0,1,1,0,4,2,0,0,1,4,0,0,0,0,2,0,2,1,0,0,2,0,1,0,2,2,0,1,0,1,1,0,0
5,2,2,3,2,4,3,0,2,0,0,0,0,3,4,0,1,1,0,2,2,2,3,1,3,3,1,2,0,4,3,3,2,3,4,2,3
6,2,0,3,2,2,3,1,0,4,1,0,1,1,0,0,1,1,4,1,2,1,0,0,2,0,1,2,0,2,1,2,2,2,2,0,2
7,1,3,4,0,2,4,0,2,3,1,4,2,0,1,2,0,2,1,0,2,2,0,1,2,1,4,1,0,4,1,0,4,0,1,1,0
8,4,0,2,0,2,1,1,1,7,0,3,1,1,3,0,4,0,0,0,2,1,2,0,7,1,2,0,0,1,2,2,1,1,1,2,1
9,5,1,2,0,0,0,0,2,3,0,0,2,2,2,0,1,1,2,2,0,1,5,1,0,2,2,0,4,4,0,2,1,0,3,0,0
10,2,0,3,0,2,1,0,3,3,0,2,0,1,2,2,1,1,2,2,2,0,0,0,2,2,2,1,2,0,0,2,1,0,2,0,3
11,5,0,0,1,1,7,0,5,1,0,1,1,4,2,3,5,1,1,1,2,2,4,2,1,1,1,1,1,7,1,5,3,1,1,1,1
12,2,3,1,1,4,1,2,0,4,0,2,0,3,0,1,4,0,2,0,3,2,0,2,1,0,4,1,2,1,1,3,2,0,2,0,2
13,3,1,0,3,2,5,1,6,5,0,1,3,0,2,3,1,3,2,5,2,0,5,3,0,6,1,4,1,2,0,1,4,1,3,2,3
14,5,0,6,0,0,3,1,1,1,0,3,4,0,1,0,6,1,1,0,2,3,0,1,2,0,5,2,0,0,0,4,3,2,1,0,0
15,2,2,2,2,0,2,2,3,2,0,1,0,3,1,1,3,0,1,1,3,0,2,3,2,1,2,2,0,3,1,3,1,1,3,2,1
16,2,0,3,1,0,2,0,3,3,0,1,5,4,2,1,2,2,4,2,1,2,1,0,3,1,3,1,0,5,1,1,2,0,1,3,0
