,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,AZ Alkmaar,Ajax,Groningen,Heracles,PSV Eindhoven,Heerenveen,Vitesse,Willem II,Roda,Den Haag,Utrecht,Sparta Rotterdam,Excelsior,Nijmegen,Twente,Feyenoord,Waalwijk,NAC Breda
1,AZ Alkmaar,Heerenveen,Ajax,Roda,Groningen,Heracles,PSV Eindhoven,Vitesse,Twente,Willem II,Utrecht,Sparta Rotterdam,Excelsior,Nijmegen,Feyenoord,Waalwijk,Den Haag,NAC Breda
2,AZ Alkmaar,Ajax,Groningen,Roda,Heerenveen,PSV Eindhoven,Utrecht,Heracles,Excelsior,Feyenoord,Twente,Vitesse,NAC Breda,Willem II,Sparta Rotterdam,Nijmegen,Waalwijk,Den Haag
3,AZ Alkmaar,Groningen,Roda,Heerenveen,Ajax,PSV Eindhoven,Heracles,Excelsior,NAC Breda,Twente,Utrecht,Feyenoord,Waalwijk,Vitesse,Willem II,Sparta Rotterdam,Nijmegen,Den Haag
4,AZ Alkmaar,Ajax,PSV Eindhoven,Groningen,Roda,Heerenveen,Twente,Utrecht,Heracles,Excelsior,Feyenoord,NAC Breda,Vitesse,Waalwijk,Willem II,Sparta Rotterdam,Nijmegen,Den Haag
5,Ajax,AZ Alkmaar,Groningen,PSV Eindhoven,Roda,Twente,Heerenveen,Excelsior,Feyenoord,Utrecht,Heracles,NAC Breda,Vitesse,Waalwijk,Nijmegen,Willem II,Den Haag,Sparta Rotterdam
6,Ajax,AZ Alkmaar,PSV Eindhoven,Groningen,Twente,Roda,Feyenoord,Heerenveen,Utrecht,Excelsior,Heracles,Vitesse,Nijmegen,NAC Breda,Waalwijk,Willem II,Den Haag,Sparta Rotterdam
7,Ajax,PSV Eindhoven,AZ Alkmaar,Twente,Roda,Groningen,Heerenveen,Utrecht,Feyenoord,Excelsior,Heracles,Nijmegen,NAC Breda,Vitesse,Willem II,Waalwijk,Den Haag,Sparta Rotterdam
8,Ajax,PSV Eindhoven,AZ Alkmaar,Groningen,Twente,Roda,Heerenveen,Feyenoord,Utrecht,NAC Breda,Heracles,Nijmegen,Excelsior,Vitesse,Waalwijk,Willem II,Den Haag,Sparta Rotterdam
9,Ajax,PSV Eindhoven,AZ Alkmaar,Twente,Groningen,Roda,Feyenoord,Heerenveen,NAC Breda,Utrecht,Excelsior,Heracles,Nijmegen,Vitesse,Willem II,Waalwijk,Den Haag,Sparta Rotterdam
10,Ajax,PSV Eindhoven,AZ Alkmaar,Twente,Groningen,Feyenoord,Heerenveen,Roda,Utrecht,NAC Breda,Excelsior,Heracles,Nijmegen,Vitesse,Willem II,Waalwijk,Den Haag,Sparta Rotterdam
11,PSV Eindhoven,Ajax,AZ Alkmaar,Twente,Feyenoord,Groningen,Heerenveen,Roda,NAC Breda,Utrecht,Excelsior,Vitesse,Nijmegen,Heracles,Willem II,Waalwijk,Sparta Rotterdam,Den Haag
12,PSV Eindhoven,Ajax,AZ Alkmaar,Feyenoord,Twente,Groningen,Heerenveen,Roda,Utrecht,Vitesse,NAC Breda,Heracles,Excelsior,Nijmegen,Willem II,Sparta Rotterdam,Waalwijk,Den Haag
13,PSV Eindhoven,AZ Alkmaar,Ajax,Twente,Feyenoord,Groningen,Heerenveen,Roda,Utrecht,Excelsior,Vitesse,Nijmegen,NAC Breda,Heracles,Willem II,Sparta Rotterdam,Den Haag,Waalwijk
14,PSV Eindhoven,AZ Alkmaar,Ajax,Twente,Feyenoord,Groningen,Heerenveen,Roda,Utrecht,Nijmegen,Vitesse,Excelsior,NAC Breda,Heracles,Sparta Rotterdam,Willem II,Waalwijk,Den Haag
15,PSV Eindhoven,AZ Alkmaar,Ajax,Twente,Feyenoord,Heerenveen,Groningen,Roda,Nijmegen,Utrecht,Vitesse,NAC Breda,Excelsior,Sparta Rotterdam,Heracles,Willem II,Waalwijk,Den Haag
16,PSV Eindhoven,AZ Alkmaar,Ajax,Twente,Feyenoord,Heerenveen,Nijmegen,Groningen,Utrecht,Vitesse,Roda,NAC Breda,Excelsior,Sparta Rotterdam,Heracles,Willem II,Den Haag,Waalwijk
17,PSV Eindhoven,AZ Alkmaar,Ajax,Twente,Feyenoord,Heerenveen,Groningen,Vitesse,Nijmegen,Roda,Utrecht,NAC Breda,Excelsior,Sparta Rotterdam,Heracles,Willem II,Den Haag,Waalwijk
18,PSV Eindhoven,Ajax,AZ Alkmaar,Twente,Feyenoord,Heerenveen,Groningen,NAC Breda,Vitesse,Utrecht,Nijmegen,Roda,Sparta Rotterdam,Excelsior,Heracles,Willem II,Den Haag,Waalwijk
19,PSV Eindhoven,Ajax,AZ Alkmaar,Feyenoord,Twente,Heerenveen,Groningen,NAC Breda,Vitesse,Utrecht,Nijmegen,Roda,Sparta Rotterdam,Heracles,Excelsior,Willem II,Den Haag,Waalwijk
20,PSV Eindhoven,Ajax,AZ Alkmaar,Twente,Feyenoord,Heerenveen,NAC Breda,Groningen,Vitesse,Roda,Nijmegen,Utrecht,Sparta Rotterdam,Heracles,Excelsior,Willem II,Den Haag,Waalwijk
21,PSV Eindhoven,Ajax,AZ Alkmaar,Twente,Feyenoord,Heerenveen,Roda,NAC Breda,Vitesse,Nijmegen,Groningen,Utrecht,Sparta Rotterdam,Heracles,Willem II,Excelsior,Den Haag,Waalwijk
22,PSV Eindhoven,Ajax,AZ Alkmaar,Twente,Feyenoord,Heerenveen,NAC Breda,Roda,Vitesse,Nijmegen,Groningen,Utrecht,Sparta Rotterdam,Heracles,Willem II,Excelsior,Den Haag,Waalwijk
23,PSV Eindhoven,Ajax,AZ Alkmaar,Twente,Feyenoord,Heerenveen,Roda,NAC Breda,Groningen,Utrecht,Vitesse,Nijmegen,Sparta Rotterdam,Heracles,Willem II,Excelsior,Waalwijk,Den Haag
24,PSV Eindhoven,Ajax,AZ Alkmaar,Twente,Feyenoord,Heerenveen,NAC Breda,Roda,Groningen,Nijmegen,Vitesse,Utrecht,Sparta Rotterdam,Willem II,Heracles,Excelsior,Waalwijk,Den Haag
25,PSV Eindhoven,Ajax,AZ Alkmaar,Twente,Feyenoord,NAC Breda,Roda,Heerenveen,Utrecht,Groningen,Nijmegen,Vitesse,Sparta Rotterdam,Willem II,Heracles,Waalwijk,Excelsior,Den Haag
26,PSV Eindhoven,AZ Alkmaar,Twente,Ajax,Feyenoord,Heerenveen,Roda,NAC Breda,Groningen,Utrecht,Nijmegen,Vitesse,Sparta Rotterdam,Heracles,Willem II,Excelsior,Waalwijk,Den Haag
27,PSV Eindhoven,AZ Alkmaar,Ajax,Twente,Feyenoord,Heerenveen,Roda,NAC Breda,Groningen,Nijmegen,Utrecht,Vitesse,Sparta Rotterdam,Willem II,Heracles,Excelsior,Waalwijk,Den Haag
28,PSV Eindhoven,Ajax,AZ Alkmaar,Twente,Feyenoord,Heerenveen,Roda,NAC Breda,Utrecht,Groningen,Nijmegen,Vitesse,Sparta Rotterdam,Willem II,Heracles,Excelsior,Waalwijk,Den Haag
29,PSV Eindhoven,Ajax,AZ Alkmaar,Twente,Feyenoord,Heerenveen,NAC Breda,Roda,Groningen,Utrecht,Nijmegen,Vitesse,Sparta Rotterdam,Willem II,Excelsior,Heracles,Waalwijk,Den Haag
30,PSV Eindhoven,AZ Alkmaar,Ajax,Twente,Feyenoord,Heerenveen,Roda,Groningen,Utrecht,NAC Breda,Nijmegen,Vitesse,Sparta Rotterdam,Willem II,Excelsior,Heracles,Waalwijk,Den Haag
31,PSV Eindhoven,AZ Alkmaar,Ajax,Twente,Heerenveen,Feyenoord,Roda,Groningen,Utrecht,NAC Breda,Nijmegen,Vitesse,Sparta Rotterdam,Willem II,Heracles,Excelsior,Waalwijk,Den Haag
32,AZ Alkmaar,Ajax,PSV Eindhoven,Twente,Feyenoord,Heerenveen,Roda,Groningen,Utrecht,NAC Breda,Nijmegen,Vitesse,Sparta Rotterdam,Heracles,Willem II,Excelsior,Waalwijk,Den Haag
33,PSV Eindhoven,Ajax,AZ Alkmaar,Twente,Heerenveen,Roda,Feyenoord,Groningen,Utrecht,Nijmegen,NAC Breda,Vitesse,Sparta Rotterdam,Heracles,Willem II,Excelsior,Waalwijk,Den Haag
