,Club Brugge scored,Club Brugge received,Charleroi scored,Charleroi received,Waregem scored,Waregem received,St Truiden scored,St Truiden received,Mouscron scored,Mouscron received,Waasland-Beveren scored,Waasland-Beveren received,Anderlecht scored,Anderlecht received,Genk scored,Genk received,Standard scored,Standard received,Antwerp scored,Antwerp received,Mechelen scored,Mechelen received,Gent scored,Gent received,Kortrijk scored,Kortrijk received,Lokeren scored,Lokeren received,Oostende scored,Oostende received,Eupen scored,Eupen received
0,4,0,1,0,5,0,3,2,1,0,3,3,0,0,3,3,1,1,0,0,1,1,2,3,0,1,0,4,0,1,0,5
1,7,1,6,2,7,0,3,4,3,5,5,5,1,0,4,5,3,2,1,0,3,3,2,4,1,1,0,5,0,2,1,8
2,9,2,8,2,8,2,4,4,5,5,8,5,1,2,9,8,3,3,4,5,4,4,3,5,3,2,0,7,0,5,2,10
3,11,3,9,2,12,2,7,6,8,7,10,8,3,5,9,9,3,7,6,6,5,6,5,8,4,4,3,9,1,7,4,11
4,15,3,12,4,14,5,8,6,9,8,10,9,3,5,10,9,3,11,10,9,5,7,5,8,5,5,6,9,4,11,4,14
5,16,5,12,4,16,7,9,7,11,9,15,10,6,7,11,10,3,11,11,10,6,8,6,9,7,7,8,12,5,12,5,19
6,18,5,14,6,18,8,11,8,12,11,17,12,8,9,12,12,4,12,12,11,6,10,8,9,9,9,9,13,5,14,6,20
7,20,6,15,8,19,8,11,10,15,13,18,14,10,10,13,13,6,13,15,11,8,10,8,10,9,12,10,15,6,15,8,23
8,22,7,16,8,20,11,11,11,17,15,21,14,11,10,16,16,6,14,15,14,10,12,9,12,10,14,13,16,8,16,11,26
9,25,9,18,10,20,14,12,12,18,16,21,16,15,13,17,17,9,15,18,14,13,16,11,12,11,17,14,17,10,19,13,28
10,26,9,19,11,22,19,13,12,19,19,26,18,15,14,18,17,12,16,18,15,14,20,12,13,12,18,15,18,10,20,17,29
11,26,11,19,14,22,21,14,12,19,20,28,19,17,14,20,17,12,16,18,15,14,22,15,13,13,20,17,18,13,20,17,32
12,30,12,21,15,24,22,15,16,21,22,29,22,20,16,20,17,15,17,20,17,15,24,16,15,13,20,17,21,16,20,19,35
13,30,12,24,16,26,26,19,20,21,24,31,22,20,16,20,17,15,18,21,20,17,24,17,15,13,22,17,21,20,22,23,39
14,33,12,26,16,26,27,21,23,22,26,31,25,22,17,21,17,15,18,22,20,17,26,20,15,16,24,17,24,20,22,23,40
15,36,14,28,16,28,30,21,23,23,29,31,27,26,17,21,19,17,18,22,20,17,26,23,16,16,28,17,24,21,22,23,41
16,38,16,29,17,28,31,22,24,24,30,32,31,28,18,23,22,18,19,23,21,20,28,24,16,20,29,18,26,22,23,25,43
17,41,17,32,18,29,32,23,25,24,31,35,32,29,21,24,23,19,22,24,21,21,28,26,17,21,31,19,29,22,24,26,44
18,46,17,33,19,30,34,23,25,25,31,36,33,29,26,25,24,19,22,26,22,21,30,26,17,23,31,20,30,22,25,26,44
19,49,17,33,20,31,36,24,26,27,32,37,36,30,26,27,27,20,23,27,24,21,33,27,17,26,33,22,31,25,26,26,45
20,53,19,37,20,31,40,24,29,29,36,37,37,31,26,29,28,21,25,30,24,21,35,27,18,28,34,24,31,26,28,27,45
21,55,21,39,20,33,40,25,32,29,38,40,38,32,26,29,29,24,27,32,26,21,37,30,18,29,36,24,34,28,29,29,48
22,58,23,39,21,35,41,27,32,29,41,42,40,34,28,31,30,25,29,33,27,21,39,31,19,32,36,25,36,30,32,30,48
23,58,25,40,22,37,43,28,33,31,41,44,42,37,31,32,31,28,32,34,28,21,41,33,19,32,36,28,38,32,35,30,48
24,61,28,43,25,38,44,28,35,31,42,46,43,39,33,33,31,31,32,35,30,23,43,34,20,34,36,28,41,33,36,31,49
25,62,29,44,26,39,47,28,38,34,46,47,44,39,35,36,32,35,35,35,34,24,43,37,20,38,36,29,42,35,36,31,50
26,64,31,45,27,42,49,29,38,36,48,49,46,39,36,38,34,36,36,35,34,26,45,39,22,39,36,29,43,35,36,33,53
27,65,32,46,28,43,49,29,40,39,53,50,48,44,39,42,34,37,37,35,38,27,46,41,23,39,37,31,46,37,36,36,55
28,67,33,46,28,45,52,29,40,40,55,50,49,47,41,43,34,40,39,37,38,29,49,43,26,40,39,33,47,40,38,36,57
29,68,33,46,30,47,52,29,41,40,59,50,51,49,42,44,36,43,41,38,40,31,49,45,27,42,39,33,49,42,41,40,57
