,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Club Brugge,Charleroi,Waregem,St Truiden,Mouscron,Waasland-Beveren,Anderlecht,Genk,Standard,Antwerp,Mechelen,Gent,Kortrijk,Lokeren,Oostende,Eupen
1,Club Brugge,Charleroi,Waregem,Anderlecht,Standard,Antwerp,Kortrijk,St Truiden,Mouscron,Waasland-Beveren,Mechelen,Genk,Gent,Lokeren,Oostende,Eupen
2,Club Brugge,Charleroi,Kortrijk,Waregem,St Truiden,Mouscron,Waasland-Beveren,Anderlecht,Genk,Standard,Antwerp,Mechelen,Gent,Lokeren,Oostende,Eupen
3,Club Brugge,Charleroi,Waregem,St Truiden,Mouscron,Antwerp,Kortrijk,Waasland-Beveren,Anderlecht,Genk,Standard,Lokeren,Eupen,Mechelen,Gent,Oostende
4,Club Brugge,Charleroi,St Truiden,Antwerp,Mouscron,Waregem,Genk,Kortrijk,Lokeren,Waasland-Beveren,Anderlecht,Standard,Eupen,Mechelen,Gent,Oostende
5,Charleroi,Club Brugge,St Truiden,Mouscron,Antwerp,Waregem,Waasland-Beveren,Anderlecht,Genk,Kortrijk,Lokeren,Standard,Mechelen,Gent,Eupen,Oostende
6,Club Brugge,Charleroi,St Truiden,Waregem,Mouscron,Antwerp,Waasland-Beveren,Anderlecht,Kortrijk,Genk,Lokeren,Gent,Standard,Eupen,Mechelen,Oostende
7,Club Brugge,Charleroi,Waregem,St Truiden,Mouscron,Antwerp,Anderlecht,Waasland-Beveren,Genk,Standard,Kortrijk,Lokeren,Mechelen,Gent,Eupen,Oostende
8,Club Brugge,Charleroi,Mouscron,Waregem,St Truiden,Anderlecht,Antwerp,Waasland-Beveren,Genk,Lokeren,Standard,Kortrijk,Mechelen,Gent,Oostende,Eupen
9,Club Brugge,Charleroi,Anderlecht,Antwerp,Mouscron,St Truiden,Waregem,Waasland-Beveren,Standard,Genk,Lokeren,Gent,Kortrijk,Mechelen,Eupen,Oostende
10,Club Brugge,Charleroi,St Truiden,Anderlecht,Antwerp,Mouscron,Waregem,Waasland-Beveren,Standard,Genk,Lokeren,Gent,Kortrijk,Eupen,Mechelen,Oostende
11,Club Brugge,St Truiden,Charleroi,Anderlecht,Antwerp,Waasland-Beveren,Mouscron,Genk,Standard,Waregem,Lokeren,Gent,Kortrijk,Eupen,Oostende,Mechelen
12,Club Brugge,Charleroi,Anderlecht,St Truiden,Antwerp,Standard,Waregem,Mouscron,Waasland-Beveren,Genk,Lokeren,Gent,Kortrijk,Oostende,Eupen,Mechelen
13,Club Brugge,Charleroi,Anderlecht,St Truiden,Waasland-Beveren,Antwerp,Genk,Standard,Waregem,Mouscron,Gent,Lokeren,Oostende,Kortrijk,Mechelen,Eupen
14,Club Brugge,Charleroi,Anderlecht,St Truiden,Antwerp,Genk,Waasland-Beveren,Standard,Gent,Waregem,Mouscron,Lokeren,Oostende,Kortrijk,Mechelen,Eupen
15,Club Brugge,Charleroi,Anderlecht,St Truiden,Antwerp,Standard,Gent,Genk,Waasland-Beveren,Waregem,Mouscron,Oostende,Lokeren,Kortrijk,Mechelen,Eupen
16,Club Brugge,Charleroi,Anderlecht,St Truiden,Gent,Antwerp,Standard,Genk,Waasland-Beveren,Mouscron,Waregem,Oostende,Kortrijk,Lokeren,Mechelen,Eupen
17,Club Brugge,Charleroi,Anderlecht,Gent,Antwerp,St Truiden,Waasland-Beveren,Standard,Genk,Waregem,Mouscron,Oostende,Mechelen,Kortrijk,Lokeren,Eupen
18,Club Brugge,Charleroi,Anderlecht,Antwerp,Gent,St Truiden,Waasland-Beveren,Standard,Genk,Mouscron,Kortrijk,Waregem,Oostende,Lokeren,Mechelen,Eupen
19,Club Brugge,Charleroi,Anderlecht,Gent,Antwerp,St Truiden,Standard,Mouscron,Waasland-Beveren,Genk,Kortrijk,Oostende,Lokeren,Waregem,Mechelen,Eupen
20,Club Brugge,Charleroi,Anderlecht,Antwerp,Gent,St Truiden,Genk,Standard,Kortrijk,Mouscron,Waasland-Beveren,Lokeren,Oostende,Waregem,Mechelen,Eupen
21,Club Brugge,Charleroi,Anderlecht,Gent,Antwerp,Standard,St Truiden,Waasland-Beveren,Genk,Kortrijk,Mouscron,Oostende,Lokeren,Waregem,Mechelen,Eupen
22,Club Brugge,Charleroi,Anderlecht,Gent,Antwerp,St Truiden,Genk,Waasland-Beveren,Standard,Kortrijk,Waregem,Mouscron,Oostende,Lokeren,Eupen,Mechelen
23,Club Brugge,Charleroi,Anderlecht,Gent,Antwerp,St Truiden,Genk,Waasland-Beveren,Standard,Kortrijk,Mouscron,Waregem,Lokeren,Oostende,Eupen,Mechelen
24,Club Brugge,Charleroi,Anderlecht,Gent,Antwerp,Genk,Waasland-Beveren,Standard,Kortrijk,St Truiden,Mouscron,Waregem,Lokeren,Oostende,Eupen,Mechelen
25,Club Brugge,Charleroi,Anderlecht,Gent,Genk,Antwerp,Standard,Kortrijk,Waasland-Beveren,St Truiden,Oostende,Mouscron,Waregem,Lokeren,Mechelen,Eupen
26,Club Brugge,Charleroi,Anderlecht,Gent,Kortrijk,Genk,Antwerp,Standard,St Truiden,Waasland-Beveren,Waregem,Oostende,Mouscron,Lokeren,Mechelen,Eupen
27,Club Brugge,Charleroi,Anderlecht,Gent,Genk,Kortrijk,Standard,Antwerp,St Truiden,Waasland-Beveren,Waregem,Oostende,Mouscron,Lokeren,Eupen,Mechelen
28,Club Brugge,Anderlecht,Charleroi,Gent,Genk,Standard,Antwerp,Kortrijk,St Truiden,Oostende,Waasland-Beveren,Waregem,Lokeren,Mouscron,Eupen,Mechelen
