,Bayern Munich scored,Bayern Munich received,FC Koln scored,FC Koln received,Wolfsburg scored,Wolfsburg received,M'gladbach scored,M'gladbach received,Dortmund scored,Dortmund received,Hertha scored,Hertha received,Ein Frankfurt scored,Ein Frankfurt received,Hoffenheim scored,Hoffenheim received,RB Leipzig scored,RB Leipzig received,Ingolstadt scored,Ingolstadt received,Hamburg scored,Hamburg received,Mainz scored,Mainz received,Leverkusen scored,Leverkusen received,Freiburg scored,Freiburg received,Schalke 04 scored,Schalke 04 received,Augsburg scored,Augsburg received,Darmstadt scored,Darmstadt received,Werder Bremen scored,Werder Bremen received
0,6,0,2,0,2,0,2,1,2,1,2,1,1,0,2,2,2,2,1,1,1,1,1,2,1,2,1,2,0,1,0,2,0,2,0,6
1,2,0,0,0,0,0,1,3,0,1,2,0,0,1,4,4,1,0,0,2,1,3,4,4,3,1,3,1,0,2,2,1,1,0,1,2
2,3,1,3,0,0,0,4,1,6,0,2,0,2,1,0,0,4,0,1,3,0,4,3,1,1,2,0,3,0,2,1,3,0,6,1,4
3,3,0,3,1,1,5,1,1,5,1,0,3,2,0,1,1,1,1,0,2,0,1,2,1,0,0,1,0,1,3,0,0,1,1,1,2
4,1,0,1,1,1,2,2,0,3,1,3,3,3,3,2,1,1,1,0,2,0,1,2,3,3,2,1,3,1,2,1,0,0,1,2,1
5,1,1,1,1,0,0,0,4,0,2,2,0,0,1,2,1,2,1,1,2,0,2,0,0,2,0,1,0,4,0,1,2,2,2,2,2
6,2,2,2,1,0,1,0,0,1,1,1,1,2,2,2,1,1,0,1,2,0,0,2,1,1,2,1,2,1,1,1,1,1,2,2,1
7,2,0,1,2,1,3,0,2,3,3,2,1,3,0,3,0,3,1,3,3,0,3,0,3,0,3,2,1,3,0,1,2,3,1,1,3
8,3,1,3,0,1,2,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,3,2,0,2,1,3,1,0,0,1,3,0,2,1,3
9,1,1,0,1,3,0,0,3,5,2,3,0,1,0,1,1,3,1,0,2,2,5,1,3,3,2,0,3,3,1,2,0,2,3,1,3
10,0,1,2,1,0,1,1,2,1,0,0,0,2,1,2,2,3,2,1,0,2,2,4,2,2,3,2,4,1,0,0,0,0,1,1,2
11,2,1,0,0,1,1,1,1,1,2,2,1,2,1,1,1,4,1,1,1,2,2,1,2,1,2,1,4,3,1,0,0,1,3,2,2
12,3,1,0,4,2,3,1,4,4,1,3,2,1,1,4,0,2,1,1,2,2,0,1,3,1,1,1,1,1,2,1,1,0,2,2,1
13,5,0,1,1,0,5,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
14,1,0,1,1,1,0,0,1,2,2,0,2,0,1,2,2,2,0,2,1,1,3,3,1,1,2,1,1,1,1,1,0,0,1,1,1
15,3,0,1,1,2,1,1,2,1,1,2,0,3,0,1,1,0,3,1,2,2,1,0,3,1,1,2,1,1,2,1,1,0,2,1,1
16,2,1,0,0,1,0,0,0,2,1,1,3,0,3,2,0,3,0,0,1,0,1,0,0,3,1,1,2,1,0,0,2,0,0,1,2
17,2,1,6,1,1,2,3,2,1,1,1,2,1,0,1,2,2,1,3,1,1,3,1,1,2,3,2,1,0,1,2,1,1,6,1,2
18,1,1,1,0,0,1,3,0,1,0,1,0,2,0,4,0,0,1,0,1,1,0,0,4,0,1,0,3,1,1,3,2,0,2,2,3
19,2,0,1,2,2,1,1,0,1,2,0,2,0,3,1,2,0,3,0,2,3,0,2,0,3,0,2,1,2,0,0,2,2,1,0,1
20,1,1,1,1,0,3,1,2,3,0,1,1,0,2,2,0,2,1,2,0,2,2,0,2,3,1,2,2,1,1,1,3,0,2,2,0
21,8,0,1,3,1,2,2,0,3,0,2,0,0,2,1,1,3,1,0,2,0,8,2,0,0,2,0,3,1,1,2,1,1,2,2,1
22,3,0,0,3,1,1,4,2,6,2,0,1,1,2,5,2,2,2,2,5,1,0,1,1,2,6,2,1,2,4,2,2,0,2,2,0
23,3,0,2,2,1,0,1,2,1,2,2,1,0,3,1,1,0,1,2,2,2,1,1,2,1,1,1,1,3,0,0,3,2,1,1,1
24,1,0,4,2,1,0,0,1,1,0,2,4,0,0,1,0,0,3,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,3,0
25,6,0,1,2,3,3,0,0,1,1,1,3,0,0,3,1,4,0,2,1,2,1,1,2,3,3,2,5,1,1,0,6,0,4,5,2
26,0,1,1,0,0,1,1,0,3,0,0,1,0,1,1,0,3,2,3,2,0,3,2,3,2,0,1,0,0,3,2,3,0,2,3,0
27,4,1,2,3,1,4,3,2,1,4,2,0,2,2,1,2,1,0,3,2,2,1,0,1,0,1,1,0,4,1,0,2,2,3,2,2
28,0,0,1,2,3,0,3,5,3,1,0,1,1,3,5,3,4,0,0,3,1,2,1,0,0,0,0,4,1,2,2,1,2,1,2,1
29,2,2,1,1,0,1,2,3,3,2,1,0,3,1,1,1,1,1,2,4,1,2,2,2,1,2,2,1,1,1,1,3,2,1,4,2
30,6,0,0,0,0,6,2,1,0,0,0,2,0,1,1,0,0,0,0,0,0,4,1,2,1,4,0,3,4,1,4,0,3,0,2,0
31,1,0,4,3,2,0,1,1,2,1,1,4,0,2,1,2,4,1,1,1,0,0,0,0,1,1,2,0,0,2,1,1,0,1,3,4
32,5,4,2,2,1,1,1,1,1,1,2,0,2,4,5,3,4,5,1,1,1,1,4,2,2,2,1,1,1,1,1,1,0,2,3,5
33,4,1,2,0,1,2,2,2,4,3,2,6,2,2,0,0,2,2,1,1,2,1,0,2,6,2,1,4,1,1,0,0,2,2,3,4
