,Nacional scored,Nacional received,Sp Lisbon scored,Sp Lisbon received,Porto scored,Porto received,Sp Braga scored,Sp Braga received,Est Amadora scored,Est Amadora received,Naval scored,Naval received,Rio Ave scored,Rio Ave received,Benfica scored,Benfica received,Guimaraes scored,Guimaraes received,Setubal scored,Setubal received,Academica scored,Academica received,Maritimo scored,Maritimo received,Trofense scored,Trofense received,Leixoes scored,Leixoes received,Belenenses scored,Belenenses received,Pacos Ferreira scored,Pacos Ferreira received
0,3,1,3,1,2,0,2,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,3,1,3,0,2,0,2
1,2,1,1,0,1,1,0,1,0,1,1,2,0,1,1,1,1,0,1,0,1,0,0,1,1,2,2,1,2,2,2,2
2,2,0,2,0,0,0,0,2,0,0,3,1,0,0,4,3,0,2,0,1,1,0,0,0,1,3,2,0,0,2,3,4
3,1,2,0,2,2,0,1,1,2,1,1,1,0,1,2,0,3,1,1,0,0,2,2,0,1,3,1,0,0,1,0,2
4,1,1,1,2,2,1,0,0,1,0,1,1,3,2,1,1,0,0,0,2,1,1,2,0,0,1,1,1,1,1,2,3
5,1,0,0,0,2,3,5,0,0,5,1,2,1,1,2,1,1,1,0,1,0,0,1,1,0,0,3,2,1,1,0,0
6,2,4,1,0,0,1,1,1,1,1,1,0,0,1,2,1,1,2,0,2,1,1,4,2,2,0,2,1,1,1,1,2
7,0,0,0,1,2,0,1,0,0,1,1,2,0,0,1,0,0,2,0,1,0,1,2,0,0,2,1,0,1,0,2,1
8,1,0,1,0,4,2,0,0,2,4,0,1,1,2,2,0,0,0,2,0,0,2,0,0,0,1,2,1,0,2,0,0
9,0,1,2,0,2,1,1,0,0,1,1,1,0,2,2,2,0,2,2,2,1,2,2,0,2,0,1,1,0,2,1,0
10,4,2,3,1,3,0,0,0,1,3,0,2,2,0,6,0,1,0,0,3,2,1,0,6,0,0,0,1,2,4,1,2
11,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,3,1,1,3,2,2,0
12,2,4,2,0,4,2,2,0,1,0,0,1,2,4,0,2,4,2,0,2,0,0,4,1,2,0,0,0,0,2,1,4
13,3,2,2,0,0,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,2,3
14,1,1,1,1,2,0,0,2,2,0,1,0,0,2,0,0,1,2,0,1,2,1,0,0,1,3,0,0,0,0,3,1
15,0,0,0,0,3,1,2,0,2,2,0,1,0,1,1,0,4,2,2,4,2,2,1,0,0,0,0,0,1,3,0,2
16,4,0,2,3,1,1,3,2,0,0,0,4,1,0,1,1,2,1,0,0,0,1,1,2,0,2,2,0,1,1,1,1
17,3,0,2,1,3,1,0,1,0,1,2,2,1,3,3,2,0,3,2,1,1,2,1,0,2,2,1,0,1,2,2,3
18,0,1,3,2,2,0,2,1,1,0,1,2,1,0,2,3,0,1,0,1,3,1,1,3,1,0,2,2,2,2,0,2
19,3,1,0,0,0,0,1,0,1,1,2,1,0,2,2,1,0,1,1,5,1,3,5,1,1,1,1,2,1,2,2,0
20,0,2,2,0,4,1,2,2,2,2,1,2,1,1,2,1,3,1,2,0,1,0,1,1,0,1,1,4,1,3,0,2
21,1,1,2,0,2,0,1,1,2,2,0,2,0,2,0,1,1,0,1,0,1,1,1,1,0,1,0,4,2,2,4,0
22,3,0,1,0,3,1,3,0,1,2,0,0,0,3,2,1,1,3,0,3,1,0,1,1,1,1,0,1,0,1,0,0
23,2,1,3,1,3,0,1,1,0,3,1,3,0,1,0,1,1,1,1,2,1,0,1,1,1,2,1,0,2,1,1,1
24,1,1,2,1,3,0,1,1,0,2,1,0,2,1,4,0,1,2,0,4,0,3,1,1,1,2,0,1,1,1,2,0
25,2,1,2,1,2,0,1,0,1,2,0,1,1,0,3,2,2,2,0,2,1,1,2,3,0,1,2,2,1,2,1,1
26,3,1,0,0,3,0,0,0,2,1,0,1,0,0,1,3,1,0,2,1,0,0,0,3,2,1,1,2,1,2,1,2
27,0,1,2,1,1,0,5,0,0,0,0,0,1,0,2,2,0,1,1,2,1,0,1,2,2,2,0,1,0,5,2,1
28,1,0,2,1,4,1,1,3,1,0,1,3,0,1,3,1,0,1,0,1,3,1,1,2,1,4,1,0,1,0,0,1
29,1,3,3,1,1,1,1,1,1,2,2,2,2,1,3,1,3,2,2,2,2,3,0,1,0,1,1,0,1,3,1,0
