,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal
0,22/08/08,Guimaraes,Setubal,66,71,65,66,68,68,0.46454229984823286,0.28185442130688115,0.2536032788448861,X,1.9516666666666664,3.216666666666667,3.5749999999999997
1,23/08/08,Pacos Ferreira,Sp Braga,62,74,61,69,64,68,0.2929577481795608,0.29422802567844236,0.4128142261419969,2,3.088333333333333,3.0749999999999997,2.191666666666667
2,23/08/08,Sp Lisbon,Trofense,78,65,75,67,77,67,0.7458787620474888,0.1761236302641167,0.07799760768839455,1,1.22,5.166666666666667,11.666666666666666
3,24/08/08,Est Amadora,Academica,65,70,60,65,64,61,0.4184890237222433,0.29777103611005773,0.283739940167699,1,2.158333333333333,3.033333333333333,3.183333333333333
4,24/08/08,Leixoes,Nacional,72,52,59,51,66,52,0.37377757334559925,0.30406175629462234,0.3221606703597784,2,2.4133333333333336,2.966666666666667,2.8000000000000003
5,24/08/08,Naval,Maritimo,68,68,58,67,65,68,0.3684905142626737,0.3015480708382879,0.3299614148990384,1,2.4549999999999996,3.0,2.741666666666667
6,24/08/08,Porto,Belenenses,81,70,74,65,76,64,0.7105978122959389,0.2013797490196609,0.08802243868440017,1,1.28,4.516666666666667,10.333333333333334
7,24/08/08,Rio Ave,Benfica,59,82,61,75,55,75,0.16797942452981834,0.2600064298344318,0.5720141456357498,X,5.391666666666667,3.483333333333333,1.5833333333333333
8,29/08/08,Belenenses,Pacos Ferreira,70,62,65,61,64,64,0.5274222149010184,0.2764604994137654,0.19611728568521625,X,1.7166666666666668,3.275,4.616666666666666
9,30/08/08,Benfica,Porto,82,81,75,74,75,76,0.36833042237583324,0.29308012103023295,0.3385894565939337,X,2.466666666666667,3.1,2.6833333333333336
10,31/08/08,Academica,Rio Ave,70,59,65,61,61,55,0.4734130803223523,0.2830564071875007,0.243530512490147,1,1.9033333333333333,3.1833333333333336,3.6999999999999997
11,31/08/08,Nacional,Naval,52,68,51,58,52,65,0.5014064299333598,0.2815188184730009,0.21707475159363926,1,1.7966666666666666,3.1999999999999997,4.15
12,31/08/08,Setubal,Est Amadora,71,65,66,60,68,64,0.5064836684229489,0.28059456979297215,0.21292176178407887,1,1.7866666666666664,3.225,4.25
13,31/08/08,Trofense,Leixoes,65,72,67,59,67,66,0.4053452115812918,0.29732739420935417,0.29732739420935417,2,2.225,3.033333333333333,3.033333333333333
14,01/09/08,Maritimo,Guimaraes,68,66,67,65,68,68,0.39251408968390095,0.300349179122764,0.307136731193335,2,2.3083333333333336,3.016666666666667,2.9499999999999997
15,01/09/08,Sp Braga,Sp Lisbon,74,78,69,75,68,77,0.2910673335944437,0.29184767497137254,0.41708499143418365,2,3.1166666666666667,3.108333333333333,2.1750000000000003
16,20/09/08,Sp Lisbon,Belenenses,78,70,75,65,77,64,0.6864638105047581,0.21323619940482447,0.10029999009041743,1,1.3150000000000002,4.233333333333333,9.0
17,21/09/08,Academica,Setubal,70,71,65,66,61,68,0.3860210833413171,0.30047624492772884,0.3135026717309541,1,2.341666666666667,3.0083333333333333,2.8833333333333333
18,21/09/08,Est Amadora,Maritimo,65,68,60,67,64,68,0.3863438253675396,0.29341247277913135,0.3202437018533292,X,2.3416666666666663,3.0833333333333335,2.8250000000000006
19,21/09/08,Leixoes,Sp Braga,72,74,59,69,66,68,0.266182813393151,0.28504616237376795,0.4487710242330811,1,3.4,3.1750000000000003,2.016666666666666
20,21/09/08,Naval,Trofense,68,65,58,67,65,67,0.48101604985643776,0.283307090781587,0.23567685936197522,1,1.87,3.1750000000000003,3.816666666666667
21,21/09/08,Rio Ave,Porto,59,81,61,74,55,76,0.13915028676429644,0.24555932958405252,0.615290383651651,X,6.5,3.6833333333333336,1.4699999999999998
22,22/09/08,Guimaraes,Nacional,66,52,65,51,68,52,0.49495634546518263,0.2810323561524387,0.22401129838237868,2,1.8216666666666665,3.2083333333333335,4.025
23,22/09/08,Pacos Ferreira,Benfica,62,82,61,75,64,75,0.18577538913581165,0.269420527030294,0.5448040838338944,2,4.858333333333333,3.35,1.6566666666666665
24,26/09/08,Porto,Pacos Ferreira,81,62,74,61,76,64,0.7659971220228793,0.1654461355560729,0.0685567424210477,1,1.1933333333333334,5.5249999999999995,13.333333333333334
25,27/09/08,Benfica,Sp Lisbon,82,78,75,75,75,77,0.4068357221609702,0.2965821389195149,0.2965821389195148,1,2.2416666666666667,3.0749999999999997,3.0750000000000006
26,27/09/08,Setubal,Rio Ave,71,59,66,61,68,55,0.5175934605344058,0.2759618195196194,0.2064447199459748,1,1.7416666666666665,3.266666666666666,4.366666666666666
27,27/09/08,Sp Braga,Naval,74,68,69,58,68,65,0.5828462175459106,0.2593526231185152,0.15780115933557406,X,1.55,3.483333333333334,5.7250000000000005
28,28/09/08,Maritimo,Academica,68,70,67,65,68,61,0.46060292331627745,0.2894162753457893,0.24998080133793343,1,1.9583333333333333,3.1166666666666667,3.608333333333334
29,28/09/08,Nacional,Est Amadora,52,65,51,60,52,64,0.5240962902626314,0.275952740587263,0.19995096915010557,2,1.72,3.266666666666667,4.508333333333334
30,28/09/08,Trofense,Guimaraes,65,66,67,65,67,68,0.2847202052835974,0.29318486003527183,0.42209493468113074,2,3.1749999999999994,3.0833333333333335,2.1416666666666666
