,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Nacional,Sp Lisbon,Porto,Sp Braga,Est Amadora,Naval,Rio Ave,Benfica,Guimaraes,Setubal,Academica,Maritimo,Trofense,Leixoes,Belenenses,Pacos Ferreira
1,Nacional,Sp Lisbon,Porto,Guimaraes,Setubal,Sp Braga,Naval,Academica,Est Amadora,Leixoes,Benfica,Rio Ave,Belenenses,Pacos Ferreira,Maritimo,Trofense
2,Nacional,Sp Lisbon,Naval,Leixoes,Academica,Porto,Benfica,Setubal,Est Amadora,Guimaraes,Sp Braga,Rio Ave,Maritimo,Pacos Ferreira,Belenenses,Trofense
3,Nacional,Sp Lisbon,Leixoes,Porto,Benfica,Naval,Guimaraes,Est Amadora,Setubal,Academica,Maritimo,Sp Braga,Rio Ave,Pacos Ferreira,Belenenses,Trofense
4,Porto,Nacional,Leixoes,Est Amadora,Benfica,Sp Lisbon,Naval,Guimaraes,Maritimo,Academica,Setubal,Rio Ave,Sp Braga,Belenenses,Pacos Ferreira,Trofense
5,Nacional,Leixoes,Benfica,Porto,Sp Lisbon,Est Amadora,Guimaraes,Sp Braga,Maritimo,Naval,Academica,Setubal,Rio Ave,Belenenses,Pacos Ferreira,Trofense
6,Leixoes,Benfica,Nacional,Sp Lisbon,Maritimo,Porto,Naval,Est Amadora,Sp Braga,Guimaraes,Academica,Setubal,Rio Ave,Belenenses,Trofense,Pacos Ferreira
7,Leixoes,Benfica,Maritimo,Porto,Nacional,Sp Lisbon,Sp Braga,Naval,Est Amadora,Guimaraes,Academica,Rio Ave,Belenenses,Setubal,Pacos Ferreira,Trofense
8,Leixoes,Benfica,Porto,Nacional,Sp Lisbon,Maritimo,Sp Braga,Naval,Est Amadora,Guimaraes,Setubal,Academica,Rio Ave,Belenenses,Pacos Ferreira,Trofense
9,Leixoes,Benfica,Porto,Sp Lisbon,Maritimo,Nacional,Sp Braga,Naval,Setubal,Est Amadora,Guimaraes,Pacos Ferreira,Academica,Rio Ave,Trofense,Belenenses
10,Benfica,Porto,Leixoes,Sp Lisbon,Nacional,Maritimo,Sp Braga,Guimaraes,Naval,Academica,Setubal,Est Amadora,Rio Ave,Pacos Ferreira,Trofense,Belenenses
11,Benfica,Porto,Leixoes,Sp Lisbon,Nacional,Sp Braga,Maritimo,Guimaraes,Naval,Academica,Pacos Ferreira,Est Amadora,Setubal,Rio Ave,Belenenses,Trofense
12,Porto,Benfica,Sp Lisbon,Leixoes,Sp Braga,Maritimo,Nacional,Guimaraes,Est Amadora,Academica,Naval,Pacos Ferreira,Trofense,Setubal,Rio Ave,Belenenses
13,Benfica,Sp Lisbon,Porto,Leixoes,Nacional,Sp Braga,Maritimo,Guimaraes,Naval,Est Amadora,Academica,Belenenses,Trofense,Pacos Ferreira,Setubal,Rio Ave
14,Porto,Benfica,Sp Lisbon,Leixoes,Nacional,Sp Braga,Maritimo,Naval,Est Amadora,Guimaraes,Academica,Pacos Ferreira,Belenenses,Trofense,Setubal,Rio Ave
15,Porto,Benfica,Sp Lisbon,Leixoes,Sp Braga,Nacional,Maritimo,Guimaraes,Est Amadora,Naval,Academica,Pacos Ferreira,Belenenses,Trofense,Setubal,Rio Ave
16,Porto,Benfica,Sp Lisbon,Leixoes,Sp Braga,Nacional,Maritimo,Guimaraes,Est Amadora,Naval,Academica,Pacos Ferreira,Belenenses,Rio Ave,Trofense,Setubal
17,Porto,Benfica,Sp Lisbon,Leixoes,Nacional,Sp Braga,Maritimo,Guimaraes,Est Amadora,Naval,Academica,Pacos Ferreira,Setubal,Belenenses,Trofense,Rio Ave
18,Porto,Benfica,Sp Lisbon,Leixoes,Nacional,Sp Braga,Maritimo,Guimaraes,Est Amadora,Academica,Naval,Trofense,Rio Ave,Pacos Ferreira,Belenenses,Setubal
19,Porto,Benfica,Sp Lisbon,Nacional,Sp Braga,Leixoes,Maritimo,Est Amadora,Guimaraes,Naval,Academica,Pacos Ferreira,Trofense,Rio Ave,Belenenses,Setubal
20,Porto,Benfica,Sp Lisbon,Sp Braga,Nacional,Leixoes,Maritimo,Guimaraes,Est Amadora,Academica,Naval,Pacos Ferreira,Setubal,Trofense,Rio Ave,Belenenses
21,Porto,Sp Lisbon,Benfica,Sp Braga,Nacional,Leixoes,Maritimo,Guimaraes,Est Amadora,Academica,Naval,Pacos Ferreira,Setubal,Trofense,Rio Ave,Belenenses
22,Porto,Sp Lisbon,Benfica,Sp Braga,Nacional,Maritimo,Leixoes,Guimaraes,Academica,Est Amadora,Naval,Pacos Ferreira,Setubal,Trofense,Belenenses,Rio Ave
23,Porto,Sp Lisbon,Benfica,Nacional,Sp Braga,Leixoes,Maritimo,Guimaraes,Academica,Est Amadora,Pacos Ferreira,Naval,Setubal,Belenenses,Trofense,Rio Ave
24,Porto,Sp Lisbon,Benfica,Nacional,Sp Braga,Leixoes,Maritimo,Guimaraes,Academica,Pacos Ferreira,Naval,Est Amadora,Setubal,Belenenses,Rio Ave,Trofense
25,Porto,Sp Lisbon,Benfica,Nacional,Sp Braga,Leixoes,Maritimo,Guimaraes,Academica,Pacos Ferreira,Naval,Est Amadora,Rio Ave,Setubal,Belenenses,Trofense
26,Porto,Sp Lisbon,Benfica,Nacional,Sp Braga,Leixoes,Maritimo,Guimaraes,Academica,Est Amadora,Pacos Ferreira,Naval,Setubal,Rio Ave,Trofense,Belenenses
27,Porto,Sp Lisbon,Benfica,Sp Braga,Nacional,Leixoes,Maritimo,Academica,Guimaraes,Pacos Ferreira,Est Amadora,Naval,Rio Ave,Setubal,Trofense,Belenenses
28,Porto,Sp Lisbon,Benfica,Nacional,Sp Braga,Leixoes,Academica,Maritimo,Guimaraes,Est Amadora,Pacos Ferreira,Naval,Rio Ave,Setubal,Belenenses,Trofense
29,Porto,Sp Lisbon,Benfica,Nacional,Sp Braga,Leixoes,Academica,Guimaraes,Maritimo,Pacos Ferreira,Est Amadora,Rio Ave,Naval,Setubal,Belenenses,Trofense
