,Dundee scored,Dundee received,Partick scored,Partick received,Celtic scored,Celtic received,Motherwell scored,Motherwell received,Hamilton scored,Hamilton received,Aberdeen scored,Aberdeen received,St Johnstone scored,St Johnstone received,Hearts scored,Hearts received,Kilmarnock scored,Kilmarnock received,Ross County scored,Ross County received,Inverness C scored,Inverness C received,Rangers scored,Rangers received
0,2.6666666666666665,2.0,0.6666666666666666,0.6666666666666666,2.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,2.0,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,1.0,2.3333333333333335,1.0,0.3333333333333333,1.0,2.6666666666666665,2.0,0.6666666666666666,,
1,2.3333333333333335,2.0,0.0,0.6666666666666666,2.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.0,2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,2.0,2.3333333333333335,1.6666666666666667,1.6666666666666667,,
2,1.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,2.3333333333333335,1.0,1.0,2.0,1.3333333333333333,1.3333333333333333,1.0,1.0,1.3333333333333333,2.6666666666666665,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.0,2.0,0.6666666666666666,1.6666666666666667,2.6666666666666665,,
3,0.6666666666666666,1.0,0.6666666666666666,1.6666666666666667,3.0,1.0,0.6666666666666666,1.3333333333333333,1.0,1.0,1.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,2.3333333333333335,0.6666666666666666,1.0,1.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,3.0,1.6666666666666667,1.0
4,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,4.333333333333333,1.3333333333333333,0.6666666666666666,1.0,1.0,1.3333333333333333,1.3333333333333333,2.0,1.6666666666666667,2.0,3.3333333333333335,1.0,0.6666666666666666,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.3333333333333333,2.3333333333333335
5,0.6666666666666666,1.3333333333333333,1.0,2.0,3.6666666666666665,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,2.3333333333333335,1.6666666666666667,2.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.0
6,1.0,2.3333333333333335,1.0,1.6666666666666667,4.333333333333333,1.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,2.6666666666666665,2.0,1.0,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,3.0,0.3333333333333333,0.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,2.3333333333333335
7,0.6666666666666666,2.3333333333333335,1.0,1.6666666666666667,3.0,1.0,2.0,2.0,1.3333333333333333,2.0,3.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,4.0,0.0,0.6666666666666666,2.0,1.3333333333333333,1.0,0.6666666666666666
8,0.3333333333333333,2.0,1.0,1.6666666666666667,3.0,0.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,1.3333333333333333,3.3333333333333335,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.6666666666666666,3.3333333333333335,0.0,2.0,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666
9,0.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,0.0,1.0,4.0,1.0,1.3333333333333333,5.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.3333333333333335,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333,2.3333333333333335,0.6666666666666666,1.0,1.0,0.6666666666666666
10,0.3333333333333333,2.0,1.6666666666666667,1.0,2.3333333333333335,0.0,0.6666666666666666,4.0,1.0,1.0,3.6666666666666665,1.0,1.0,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0
11,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.0,0.0,2.0,3.6666666666666665,0.3333333333333333,0.6666666666666666,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,3.0,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.0
12,1.0,0.6666666666666666,1.6666666666666667,1.0,2.6666666666666665,0.0,1.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.3333333333333335,0.6666666666666666,1.0,0.6666666666666666,3.0,2.0,2.0,1.6666666666666667,0.6666666666666666
13,1.0,0.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,0.0,2.0,1.0,1.0,1.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.0,1.3333333333333333,2.0,2.3333333333333335,1.3333333333333333,3.0,1.6666666666666667,0.3333333333333333
14,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,1.6666666666666667,0.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,3.3333333333333335,1.0,1.3333333333333333,2.3333333333333335,2.6666666666666665,1.6666666666666667,0.3333333333333333,2.0,2.0,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.3333333333333333,0.6666666666666666
