,Dundee scored,Dundee received,Partick scored,Partick received,Celtic scored,Celtic received,Motherwell scored,Motherwell received,Hamilton scored,Hamilton received,Rangers scored,Rangers received,Aberdeen scored,Aberdeen received,St Johnstone scored,St Johnstone received,Hearts scored,Hearts received,Kilmarnock scored,Kilmarnock received,Ross County scored,Ross County received,Inverness C scored,Inverness C received
0,3,1,2,0,2,1,2,1,1,1,1,1,0,0,0,0,1,2,1,2,1,3,0,2
1,1,2,0,1,1,0,1,2,1,2,2,1,0,0,2,1,0,0,2,1,3,2,2,3
2,1,1,1,2,4,2,1,2,1,1,2,1,2,1,2,4,5,1,0,2,2,0,1,5
3,0,0,1,2,4,1,0,0,1,0,1,1,1,4,1,2,2,1,1,1,0,1,2,1
4,1,1,0,2,5,1,1,1,1,3,1,5,1,1,2,0,3,1,1,1,1,1,1,1
5,1,3,2,2,2,2,4,2,2,4,0,0,3,1,1,0,0,1,2,2,0,0,2,2
6,1,3,1,1,6,1,1,1,1,1,1,2,2,1,1,1,0,0,1,6,0,0,3,1
7,0,1,0,2,1,0,1,3,1,1,2,0,4,0,2,0,3,1,0,4,0,2,1,1
8,0,2,2,2,2,0,0,2,2,2,1,0,4,0,0,1,2,0,1,0,0,4,0,1
9,1,2,1,1,1,0,2,7,0,1,0,2,7,2,2,1,2,0,1,1,1,1,1,1
10,0,2,2,0,4,0,0,3,1,0,1,1,0,1,1,1,0,2,2,0,0,4,3,0
11,1,0,2,1,1,0,4,1,0,1,3,0,0,1,1,2,3,3,0,3,1,4,3,3
12,2,0,1,2,3,0,0,2,0,0,1,1,2,1,2,2,2,2,0,0,1,1,0,3
13,0,1,0,2,1,0,2,0,3,3,1,0,3,1,2,4,3,3,0,1,4,2,1,3
14,2,1,1,2,1,0,0,3,1,1,2,1,5,1,0,1,3,0,1,5,1,1,1,2
15,0,2,1,1,4,3,3,4,1,1,2,1,1,2,3,0,2,2,2,0,2,2,0,3
16,0,0,1,4,4,1,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,1,1
17,1,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1
18,3,2,3,1,3,0,1,3,0,3,1,0,3,1,1,0,2,3,0,1,1,3,0,1
19,0,2,2,0,2,0,2,1,1,2,1,1,2,1,1,1,4,0,0,4,0,2,1,2
20,3,0,0,0,2,1,1,1,1,1,1,2,1,0,0,3,0,1,0,0,3,2,2,3
21,0,3,0,0,4,0,0,2,0,3,2,0,3,0,3,0,0,4,3,2,2,3,0,0
22,1,1,0,1,1,0,2,1,3,0,1,4,0,1,1,0,4,1,1,1,1,2,0,3
23,2,2,0,2,5,2,0,3,1,1,1,1,2,0,2,5,3,0,1,1,1,1,2,2
24,2,1,2,0,2,0,0,2,0,2,1,2,2,1,2,1,1,1,1,2,1,2,1,1
25,5,1,2,0,2,0,1,5,0,2,1,2,1,0,0,2,0,2,2,0,0,1,2,1
26,0,1,1,0,4,0,2,1,1,0,3,2,0,1,2,3,0,1,1,2,1,0,0,4
27,0,2,1,1,1,1,0,1,0,4,1,1,1,0,2,0,4,0,2,1,1,2,1,1
28,1,2,1,1,2,1,1,2,0,4,4,0,2,0,2,1,0,2,1,1,1,1,1,1
29,0,7,2,1,5,0,1,1,1,0,1,1,7,0,0,1,0,5,1,1,1,2,1,1
30,1,2,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,0,1
31,0,1,1,0,3,1,0,1,1,1,3,0,0,3,3,0,1,0,1,3,1,1,0,3
32,0,2,0,2,2,2,4,2,2,0,2,0,2,1,1,2,0,0,0,0,2,2,2,4
