,0,1,2,3,4,5,6,7,8,9,10,11
0,Dundee,Partick,Celtic,Motherwell,Hamilton,Rangers,Aberdeen,St Johnstone,Hearts,Kilmarnock,Ross County,Inverness C
1,Celtic,Rangers,St Johnstone,Dundee,Partick,Kilmarnock,Motherwell,Ross County,Aberdeen,Hamilton,Hearts,Inverness C
2,Celtic,Rangers,Ross County,Aberdeen,Hearts,Dundee,St Johnstone,Partick,Motherwell,Kilmarnock,Hamilton,Inverness C
3,Celtic,Rangers,Hearts,Ross County,Dundee,Hamilton,Aberdeen,Motherwell,St Johnstone,Kilmarnock,Partick,Inverness C
4,Celtic,Hearts,Rangers,Ross County,St Johnstone,Dundee,Aberdeen,Motherwell,Hamilton,Kilmarnock,Inverness C,Partick
5,Celtic,Hearts,St Johnstone,Aberdeen,Rangers,Motherwell,Ross County,Dundee,Kilmarnock,Hamilton,Inverness C,Partick
6,Celtic,Aberdeen,Hearts,St Johnstone,Motherwell,Ross County,Rangers,Inverness C,Dundee,Hamilton,Kilmarnock,Partick
7,Celtic,Aberdeen,Hearts,St Johnstone,Rangers,Motherwell,Ross County,Inverness C,Hamilton,Dundee,Kilmarnock,Partick
8,Celtic,Aberdeen,Hearts,Rangers,St Johnstone,Motherwell,Inverness C,Ross County,Kilmarnock,Hamilton,Partick,Dundee
9,Celtic,Aberdeen,Hearts,St Johnstone,Rangers,Inverness C,Ross County,Kilmarnock,Motherwell,Hamilton,Partick,Dundee
10,Celtic,Aberdeen,Hearts,St Johnstone,Rangers,Inverness C,Kilmarnock,Hamilton,Partick,Ross County,Motherwell,Dundee
11,Celtic,Aberdeen,Hearts,Rangers,St Johnstone,Inverness C,Partick,Kilmarnock,Motherwell,Hamilton,Ross County,Dundee
12,Celtic,Aberdeen,Hearts,Rangers,St Johnstone,Inverness C,Kilmarnock,Partick,Hamilton,Dundee,Motherwell,Ross County
13,Celtic,Aberdeen,Hearts,Rangers,St Johnstone,Motherwell,Inverness C,Ross County,Kilmarnock,Hamilton,Partick,Dundee
14,Celtic,Aberdeen,Hearts,Rangers,St Johnstone,Dundee,Motherwell,Ross County,Hamilton,Inverness C,Kilmarnock,Partick
15,Celtic,Aberdeen,Rangers,Hearts,St Johnstone,Kilmarnock,Ross County,Hamilton,Dundee,Motherwell,Partick,Inverness C
16,Celtic,Rangers,Aberdeen,Hearts,St Johnstone,Kilmarnock,Ross County,Hamilton,Dundee,Motherwell,Inverness C,Partick
17,Celtic,Rangers,Aberdeen,Hearts,St Johnstone,Ross County,Kilmarnock,Motherwell,Hamilton,Dundee,Inverness C,Partick
18,Celtic,Rangers,Aberdeen,Hearts,St Johnstone,Ross County,Dundee,Kilmarnock,Partick,Motherwell,Hamilton,Inverness C
19,Celtic,Rangers,Aberdeen,Hearts,St Johnstone,Partick,Motherwell,Ross County,Dundee,Kilmarnock,Hamilton,Inverness C
20,Celtic,Aberdeen,Rangers,Hearts,St Johnstone,Ross County,Partick,Dundee,Motherwell,Kilmarnock,Hamilton,Inverness C
21,Celtic,Aberdeen,Rangers,Hearts,St Johnstone,Partick,Ross County,Kilmarnock,Dundee,Motherwell,Hamilton,Inverness C
22,Celtic,Aberdeen,Rangers,Hearts,St Johnstone,Motherwell,Kilmarnock,Partick,Dundee,Ross County,Hamilton,Inverness C
23,Celtic,Aberdeen,Rangers,Hearts,St Johnstone,Kilmarnock,Dundee,Ross County,Motherwell,Partick,Hamilton,Inverness C
24,Celtic,Aberdeen,Rangers,Hearts,St Johnstone,Dundee,Partick,Kilmarnock,Ross County,Motherwell,Hamilton,Inverness C
25,Celtic,Aberdeen,Rangers,Hearts,St Johnstone,Dundee,Partick,Kilmarnock,Ross County,Motherwell,Inverness C,Hamilton
26,Celtic,Aberdeen,Rangers,Hearts,St Johnstone,Partick,Dundee,Kilmarnock,Ross County,Motherwell,Hamilton,Inverness C
27,Celtic,Aberdeen,Rangers,Hearts,St Johnstone,Partick,Kilmarnock,Dundee,Ross County,Motherwell,Hamilton,Inverness C
28,Celtic,Aberdeen,Rangers,St Johnstone,Hearts,Partick,Kilmarnock,Dundee,Ross County,Motherwell,Inverness C,Hamilton
29,Celtic,Aberdeen,Rangers,St Johnstone,Hearts,Partick,Kilmarnock,Dundee,Ross County,Motherwell,Hamilton,Inverness C
30,Celtic,Aberdeen,Rangers,St Johnstone,Hearts,Partick,Kilmarnock,Ross County,Dundee,Motherwell,Hamilton,Inverness C
31,Celtic,Aberdeen,Rangers,St Johnstone,Hearts,Partick,Kilmarnock,Ross County,Dundee,Hamilton,Motherwell,Inverness C
32,Celtic,Aberdeen,Rangers,St Johnstone,Hearts,Partick,Kilmarnock,Ross County,Hamilton,Motherwell,Dundee,Inverness C
