,Celta scored,Celta received,Ath Madrid scored,Ath Madrid received,Barcelona scored,Barcelona received,Espanol scored,Espanol received,Eibar scored,Eibar received,Betis scored,Betis received,Villarreal scored,Villarreal received,La Coruna scored,La Coruna received,Malaga scored,Malaga received,Vallecano scored,Vallecano received,Real Madrid scored,Real Madrid received,Sociedad scored,Sociedad received,Sevilla scored,Sevilla received,Valencia scored,Valencia received,Sp Gijon scored,Sp Gijon received,Levante scored,Levante received,Ath Bilbao scored,Ath Bilbao received,Getafe scored,Getafe received,Las Palmas scored,Las Palmas received,Granada scored,Granada received
0,2,1,1,0,1,0,1,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,1,3
1,3,0,3,0,1,0,1,3,2,0,0,5,3,1,1,1,0,1,0,3,5,0,0,0,0,3,1,1,0,0,0,0,0,2,1,2,0,0,2,1
2,3,3,1,2,2,1,0,6,0,0,1,0,3,1,3,1,0,0,1,3,6,0,0,1,1,1,1,0,0,1,1,1,3,1,1,3,3,3,1,3
3,2,1,2,0,4,1,3,2,0,2,0,0,3,1,2,3,0,1,1,0,1,0,2,3,1,2,0,0,3,2,1,4,1,3,1,0,0,1,0,1
4,4,1,2,0,1,4,1,0,2,2,1,2,1,0,2,1,0,1,2,1,2,1,3,0,0,2,0,1,1,2,2,2,1,2,0,2,2,0,0,3
5,1,1,0,1,2,1,0,3,1,1,2,1,1,0,3,0,0,0,2,3,0,0,0,0,3,2,1,0,1,2,0,3,0,0,3,0,1,2,0,1
6,0,0,1,1,1,2,1,2,2,0,2,0,0,1,1,1,3,1,0,2,1,1,1,3,2,1,1,3,2,1,1,0,3,1,0,0,0,2,1,1
7,2,1,2,0,5,2,3,1,1,1,1,3,1,2,2,2,0,3,2,5,3,0,0,2,1,1,3,0,3,3,0,3,2,2,4,0,0,4,3,3
8,1,3,2,1,3,1,0,3,1,3,1,1,0,0,0,2,2,0,3,0,3,1,4,0,5,0,1,2,0,3,0,4,3,0,0,5,0,0,1,1
9,3,2,1,1,2,0,1,1,1,0,1,3,2,1,1,1,0,1,0,1,3,1,2,3,1,2,3,0,1,0,0,3,3,1,0,2,1,3,1,1
10,1,5,1,0,3,0,1,2,3,1,1,0,0,3,1,1,0,1,2,1,2,3,0,2,3,2,5,1,0,1,1,1,2,1,1,3,2,0,1,2
11,0,2,1,0,4,0,2,0,1,1,0,1,1,1,2,0,0,2,1,1,0,4,2,0,0,2,1,1,0,3,3,0,0,2,1,1,1,1,2,0
12,2,1,1,0,4,0,0,1,0,2,1,0,0,2,2,0,2,2,0,3,2,0,0,4,1,0,0,1,1,2,0,1,3,0,2,0,0,2,2,2
13,1,1,2,0,1,1,1,1,1,2,1,1,2,1,1,1,0,0,1,2,4,1,2,1,1,1,1,1,3,1,1,1,0,0,1,4,1,3,0,2
14,1,0,2,1,2,2,0,1,1,1,0,1,1,0,2,2,2,1,1,2,0,1,1,1,2,0,1,1,0,2,1,2,1,2,1,1,1,0,2,1
15,2,0,0,1,3,1,1,0,0,2,0,0,2,0,2,0,1,0,2,10,10,2,0,2,0,0,2,2,1,3,0,2,2,0,2,2,0,1,0,2
16,0,1,2,0,4,0,0,2,2,0,0,4,1,0,0,0,1,0,0,2,3,1,1,3,2,0,0,1,0,2,0,1,1,0,0,0,4,1,1,4
17,0,2,1,0,0,0,0,0,4,0,0,4,2,1,1,2,2,0,2,2,2,2,2,2,1,2,2,2,1,2,0,1,2,2,2,1,2,2,2,1
18,0,2,2,0,4,0,1,2,2,1,0,1,2,0,0,5,1,1,1,2,5,0,2,0,2,0,0,2,0,2,2,1,0,2,1,0,1,1,0,4
19,4,3,3,0,6,0,1,3,5,1,0,0,0,0,1,1,1,2,2,2,5,1,1,1,2,1,2,2,1,5,3,4,0,6,3,1,0,3,1,5
20,0,3,0,0,2,1,2,2,2,5,1,1,2,2,1,1,1,2,3,0,1,1,1,5,0,0,1,1,5,1,3,2,5,2,2,3,2,3,3,2
21,1,2,1,2,2,1,0,6,1,2,1,2,1,0,2,2,2,1,2,2,6,0,2,1,3,1,0,1,1,0,1,3,1,0,0,1,2,1,0,1
22,1,1,3,1,2,0,0,5,1,3,1,0,0,0,1,1,3,0,2,0,2,1,5,0,1,1,0,1,1,1,0,2,0,0,0,3,0,2,1,2
23,1,6,1,0,6,1,1,2,2,0,2,2,1,0,2,2,0,1,2,2,4,2,3,0,2,0,2,1,2,2,0,2,2,4,0,1,0,2,0,3
24,3,2,0,0,2,1,1,0,2,3,1,1,0,0,0,1,1,1,2,2,1,1,1,0,2,2,2,1,1,1,3,0,0,1,0,3,1,2,1,2
25,1,0,1,0,2,1,4,2,0,1,2,2,3,0,0,1,1,1,2,2,0,1,1,1,1,2,0,3,2,4,0,3,3,0,0,1,1,0,1,0
26,0,0,3,0,5,1,0,3,0,1,3,0,0,0,1,4,1,2,1,5,3,1,0,3,1,0,2,1,0,2,1,3,4,1,0,4,4,0,2,0
27,1,7,3,1,4,0,2,1,0,4,2,0,0,1,3,3,3,3,1,2,7,1,1,1,1,1,1,3,0,2,1,1,2,0,1,1,1,0,0,2
28,1,0,3,0,6,0,1,1,1,1,1,3,2,4,0,3,1,0,1,1,2,1,0,1,4,2,0,1,0,1,1,0,3,1,0,6,1,2,1,1
29,2,0,1,2,2,2,2,1,1,1,0,1,2,2,2,1,1,0,2,2,4,0,0,1,0,4,0,2,2,1,1,2,1,2,1,1,1,0,2,2
30,1,1,5,1,1,2,1,1,1,2,1,5,2,1,1,1,1,1,2,0,2,1,2,1,1,2,1,2,0,0,0,0,1,1,0,2,2,1,1,1
31,1,0,3,1,0,1,1,3,0,4,1,0,2,0,1,3,0,0,0,1,4,0,1,0,1,2,2,1,0,1,0,1,1,0,0,2,3,1,0,0
32,1,1,3,0,1,2,1,2,2,1,1,1,1,2,1,1,0,1,2,1,5,1,1,2,1,1,2,1,1,1,2,1,1,0,1,5,1,1,0,3
33,1,1,1,0,8,0,1,1,0,4,1,0,0,3,0,8,1,1,1,1,3,0,1,2,1,2,4,0,2,1,1,5,0,1,2,1,0,1,5,1
34,2,1,1,0,6,0,0,4,1,1,0,2,0,0,1,1,0,1,2,3,3,2,0,0,2,0,2,2,0,6,2,2,2,2,2,2,4,0,1,2
35,1,2,1,0,2,0,1,0,0,2,0,2,2,0,0,2,3,1,0,1,1,0,0,1,0,1,0,2,2,0,1,3,2,1,2,0,2,3,3,2
36,1,0,1,2,5,0,0,5,1,1,1,1,0,2,2,0,0,1,1,2,3,2,2,1,1,4,2,3,1,1,2,1,0,0,1,1,0,0,4,1
37,0,2,2,0,3,0,4,2,2,4,2,1,0,2,0,2,4,1,3,1,2,0,1,0,1,3,0,1,2,0,1,3,3,1,1,2,1,4,0,3
