,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Celta,Ath Madrid,Barcelona,Espanol,Eibar,Betis,Villarreal,La Coruna,Malaga,Vallecano,Real Madrid,Sociedad,Sevilla,Valencia,Sp Gijon,Levante,Ath Bilbao,Getafe,Las Palmas,Granada
1,Celta,Ath Madrid,Barcelona,Eibar,Real Madrid,Villarreal,Espanol,Granada,La Coruna,Sociedad,Valencia,Sp Gijon,Levante,Malaga,Vallecano,Sevilla,Betis,Las Palmas,Getafe,Ath Bilbao
2,Barcelona,Real Madrid,Celta,Villarreal,Eibar,Ath Madrid,La Coruna,Valencia,Betis,Ath Bilbao,Espanol,Granada,Levante,Malaga,Sociedad,Sevilla,Las Palmas,Sp Gijon,Vallecano,Getafe
3,Barcelona,Real Madrid,Villarreal,Celta,Ath Madrid,Eibar,Valencia,Espanol,La Coruna,Betis,Sp Gijon,Vallecano,Ath Bilbao,Getafe,Granada,Sociedad,Malaga,Levante,Sevilla,Las Palmas
4,Real Madrid,Celta,Villarreal,Ath Madrid,Barcelona,Espanol,La Coruna,Eibar,Vallecano,Valencia,Sociedad,Betis,Las Palmas,Sp Gijon,Ath Bilbao,Levante,Getafe,Granada,Malaga,Sevilla
5,Villarreal,Barcelona,Real Madrid,Celta,Ath Madrid,La Coruna,Valencia,Espanol,Eibar,Betis,Vallecano,Sociedad,Getafe,Sevilla,Las Palmas,Sp Gijon,Ath Bilbao,Malaga,Levante,Granada
6,Villarreal,Real Madrid,Celta,Barcelona,Ath Madrid,La Coruna,Eibar,Betis,Valencia,Espanol,Sevilla,Sp Gijon,Ath Bilbao,Getafe,Vallecano,Sociedad,Malaga,Levante,Las Palmas,Granada
7,Real Madrid,Celta,Barcelona,Ath Madrid,Villarreal,La Coruna,Eibar,Valencia,Espanol,Betis,Getafe,Sevilla,Sp Gijon,Ath Bilbao,Vallecano,Sociedad,Malaga,Levante,Las Palmas,Granada
8,Real Madrid,Barcelona,Ath Madrid,Celta,Villarreal,La Coruna,Eibar,Sevilla,Betis,Valencia,Espanol,Ath Bilbao,Getafe,Vallecano,Sociedad,Malaga,Sp Gijon,Levante,Las Palmas,Granada
9,Real Madrid,Barcelona,Celta,Ath Madrid,Villarreal,Eibar,Valencia,Ath Bilbao,La Coruna,Espanol,Sevilla,Betis,Sp Gijon,Getafe,Vallecano,Sociedad,Malaga,Granada,Levante,Las Palmas
