,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
3,Porto,Benfica,Sp Braga,Academica,Maritimo,Sp Lisbon,Olhanense,Feirense,Beira Mar,Pacos Ferreira,Gil Vicente,Setubal,Guimaraes,Leiria,Rio Ave,Nacional
4,Porto,Benfica,Sp Braga,Maritimo,Academica,Sp Lisbon,Setubal,Olhanense,Feirense,Gil Vicente,Beira Mar,Guimaraes,Pacos Ferreira,Nacional,Leiria,Rio Ave
5,Porto,Benfica,Sp Braga,Maritimo,Academica,Sp Lisbon,Olhanense,Gil Vicente,Setubal,Feirense,Beira Mar,Guimaraes,Pacos Ferreira,Nacional,Leiria,Rio Ave
6,Porto,Benfica,Sp Braga,Sp Lisbon,Maritimo,Academica,Setubal,Olhanense,Gil Vicente,Feirense,Nacional,Beira Mar,Leiria,Guimaraes,Pacos Ferreira,Rio Ave
7,Porto,Benfica,Sp Lisbon,Sp Braga,Maritimo,Olhanense,Academica,Setubal,Gil Vicente,Pacos Ferreira,Feirense,Nacional,Beira Mar,Leiria,Rio Ave,Guimaraes
8,Porto,Benfica,Sp Lisbon,Sp Braga,Maritimo,Academica,Olhanense,Gil Vicente,Setubal,Nacional,Leiria,Guimaraes,Pacos Ferreira,Feirense,Beira Mar,Rio Ave
9,Porto,Benfica,Sp Lisbon,Maritimo,Sp Braga,Olhanense,Academica,Gil Vicente,Setubal,Guimaraes,Nacional,Beira Mar,Leiria,Rio Ave,Pacos Ferreira,Feirense
10,Porto,Benfica,Sp Lisbon,Maritimo,Sp Braga,Olhanense,Gil Vicente,Guimaraes,Beira Mar,Academica,Setubal,Nacional,Feirense,Leiria,Rio Ave,Pacos Ferreira
11,Porto,Benfica,Sp Lisbon,Sp Braga,Maritimo,Academica,Olhanense,Gil Vicente,Guimaraes,Beira Mar,Leiria,Setubal,Rio Ave,Feirense,Nacional,Pacos Ferreira
12,Porto,Benfica,Sp Lisbon,Sp Braga,Maritimo,Academica,Beira Mar,Gil Vicente,Guimaraes,Olhanense,Feirense,Setubal,Leiria,Nacional,Rio Ave,Pacos Ferreira
13,Benfica,Porto,Sp Lisbon,Sp Braga,Maritimo,Academica,Guimaraes,Beira Mar,Gil Vicente,Nacional,Olhanense,Rio Ave,Feirense,Setubal,Leiria,Pacos Ferreira
14,Benfica,Porto,Sp Braga,Sp Lisbon,Maritimo,Guimaraes,Academica,Olhanense,Gil Vicente,Nacional,Beira Mar,Feirense,Rio Ave,Setubal,Leiria,Pacos Ferreira
15,Benfica,Porto,Sp Braga,Sp Lisbon,Maritimo,Guimaraes,Nacional,Academica,Olhanense,Gil Vicente,Beira Mar,Feirense,Rio Ave,Leiria,Setubal,Pacos Ferreira
