,Galatasaray scored,Galatasaray received,Fenerbahce scored,Fenerbahce received,Akhisar Belediyespor scored,Akhisar Belediyespor received,Eskisehirspor scored,Eskisehirspor received,Besiktas scored,Besiktas received,Gaziantepspor scored,Gaziantepspor received,Rizespor scored,Rizespor received,Genclerbirligi scored,Genclerbirligi received,Buyuksehyr scored,Buyuksehyr received,Kasimpasa scored,Kasimpasa received,Erciyesspor scored,Erciyesspor received,Trabzonspor scored,Trabzonspor received,Karabukspor scored,Karabukspor received,Konyaspor scored,Konyaspor received,Mersin Idman Yurdu scored,Mersin Idman Yurdu received,Bursaspor scored,Bursaspor received,Sivasspor scored,Sivasspor received,Balikesirspor scored,Balikesirspor received
0,2,0,3,2,2,1,2,1,1,0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,2,3,1,2,0,1,0,2,1,2,1,2
1,0,0,0,0,2,2,0,0,1,1,2,2,1,1,1,2,0,0,2,2,2,2,0,0,0,0,2,0,2,2,2,1,2,2,0,2
2,0,2,1,0,2,1,0,2,1,0,0,1,0,2,2,0,1,1,2,1,1,2,1,1,1,2,0,0,2,0,0,1,0,0,2,0
3,2,1,0,2,2,0,1,1,1,1,0,0,0,1,3,1,0,0,1,1,1,1,1,1,0,2,1,1,2,0,1,0,1,2,1,3
4,2,1,2,1,0,4,1,2,1,0,2,4,2,1,0,1,4,0,4,2,1,2,0,3,3,0,1,2,2,1,1,2,1,0,0,1
5,2,1,1,2,2,0,2,2,3,2,1,0,2,2,0,0,0,0,0,2,0,0,3,1,0,1,0,0,1,3,2,2,2,3,2,2
6,0,4,2,1,1,2,2,4,2,3,4,4,1,0,1,2,4,0,2,0,3,2,4,4,2,1,0,2,4,2,5,0,0,1,0,5
7,2,1,2,0,1,1,2,2,0,2,1,0,1,1,1,0,0,1,1,2,1,1,1,1,0,1,1,0,0,1,3,0,0,3,2,2
8,2,1,2,1,0,1,1,1,2,1,1,0,1,2,2,2,1,2,2,2,1,1,3,2,1,2,2,3,2,1,1,1,1,1,1,2
9,0,3,1,1,1,1,2,1,2,0,0,2,0,2,2,2,2,0,0,2,1,2,3,0,2,2,2,0,1,1,1,1,3,1,1,3
