,AZ Alkmaar scored,AZ Alkmaar received,Vitesse scored,Vitesse received,PSV Eindhoven scored,PSV Eindhoven received,Graafschap scored,Graafschap received,Heerenveen scored,Heerenveen received,FC Emmen scored,FC Emmen received,VVV Venlo scored,VVV Venlo received,Ajax scored,Ajax received,For Sittard scored,For Sittard received,Heracles scored,Heracles received,Excelsior scored,Excelsior received,Zwolle scored,Zwolle received,Den Haag scored,Den Haag received,Willem II scored,Willem II received,Feyenoord scored,Feyenoord received,Groningen scored,Groningen received,Utrecht scored,Utrecht received,NAC Breda scored,NAC Breda received
0,5,0,5,1,4,0,2,0,3,2,2,1,1,0,1,1,1,1,1,1,1,1,2,3,1,2,0,1,0,2,1,5,0,4,0,5
1,4,1,1,1,2,1,0,3,1,1,1,4,0,1,1,0,1,2,4,2,0,3,0,2,2,4,1,0,3,0,0,1,2,0,3,0
2,0,0,0,0,2,1,0,1,3,5,0,5,1,1,5,0,1,3,0,5,2,0,1,2,3,1,5,0,5,3,1,0,1,1,0,2
3,2,3,0,4,6,1,1,1,1,1,1,1,1,1,4,0,1,1,3,2,2,4,1,0,4,2,1,6,4,2,0,1,1,1,2,4
4,1,1,2,0,7,0,1,2,3,5,2,1,2,1,3,0,3,2,5,3,2,2,0,2,0,7,2,2,1,1,0,3,1,2,2,3
5,3,1,1,1,3,0,0,4,3,3,0,1,3,0,0,3,4,4,4,0,3,3,1,0,1,1,4,4,1,0,1,3,0,1,0,3
6,2,2,1,2,2,0,2,1,1,1,1,2,0,1,2,0,0,2,2,1,1,0,2,2,1,1,1,2,2,1,1,1,1,1,0,2
7,0,5,4,0,4,0,0,5,5,0,3,3,0,4,5,0,3,3,0,4,0,2,2,0,1,0,1,1,1,1,0,1,2,1,1,2
8,1,2,0,2,6,0,1,3,0,4,0,6,2,0,4,0,3,1,4,1,2,0,0,3,0,2,2,2,3,0,1,4,2,1,2,2
9,2,3,2,1,2,1,4,1,3,2,1,1,1,1,3,0,1,2,1,1,1,4,1,1,1,1,0,1,0,3,1,2,1,0,1,1
10,1,0,0,1,1,0,0,1,1,1,1,1,1,4,2,0,3,0,1,2,2,4,0,3,0,3,0,2,4,1,4,2,3,0,2,1
11,1,0,2,1,4,1,1,4,0,2,2,0,3,2,7,1,2,3,0,2,1,7,2,3,0,1,3,2,2,0,2,0,1,2,0,2
12,2,2,3,1,3,0,0,5,0,3,1,2,2,2,3,0,3,0,0,3,2,1,2,3,3,2,1,3,1,0,0,1,5,0,0,3
13,0,2,1,1,1,2,0,2,3,1,1,1,1,4,5,1,1,3,4,1,3,3,2,0,1,5,2,0,2,1,5,2,3,3,2,5
14,3,0,1,2,6,0,0,0,5,1,1,4,0,0,4,1,0,3,1,3,0,6,1,4,0,0,1,5,4,1,0,0,3,1,2,1
15,2,1,2,1,4,0,0,8,2,3,2,1,1,2,8,0,2,0,0,4,1,2,0,0,3,0,0,3,0,2,1,2,3,2,0,0
16,1,3,2,2,3,1,2,2,2,4,0,2,2,0,3,1,0,0,3,0,0,3,0,2,2,2,2,0,2,2,0,0,1,3,4,2
17,3,0,3,2,2,2,5,1,4,4,2,2,4,2,4,4,1,5,0,3,2,3,3,1,2,4,2,0,1,3,3,0,0,3,0,2
18,2,0,1,2,2,1,0,2,0,2,3,2,2,3,2,6,2,1,0,2,2,0,2,0,1,1,1,0,6,2,1,2,0,1,1,1
19,5,0,2,2,5,0,3,0,2,2,0,5,0,6,6,0,0,5,0,2,2,1,4,3,2,0,1,2,1,2,2,1,3,4,0,3
