,AZ Alkmaar scored,AZ Alkmaar received,Vitesse scored,Vitesse received,PSV Eindhoven scored,PSV Eindhoven received,Graafschap scored,Graafschap received,Heerenveen scored,Heerenveen received,FC Emmen scored,FC Emmen received,VVV Venlo scored,VVV Venlo received,Ajax scored,Ajax received,For Sittard scored,For Sittard received,Heracles scored,Heracles received,Excelsior scored,Excelsior received,Zwolle scored,Zwolle received,Den Haag scored,Den Haag received,Willem II scored,Willem II received,Feyenoord scored,Feyenoord received,Groningen scored,Groningen received,Utrecht scored,Utrecht received,NAC Breda scored,NAC Breda received
0,5.0,0.0,5.0,1.0,4.0,0.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,5.0,0.0,4.0,0.0,5.0
1,4.5,0.5,3.0,1.0,3.0,0.5,1.0,1.5,2.0,1.5,1.5,2.5,0.5,0.5,1.0,0.5,1.0,1.5,2.5,1.5,0.5,2.0,1.0,2.5,1.5,3.0,0.5,0.5,1.5,1.0,0.5,3.0,1.0,2.0,1.5,2.5
2,3.0,0.3333333333333333,2.0,0.6666666666666666,2.6666666666666665,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.3333333333333335,2.6666666666666665,1.0,3.3333333333333335,0.6666666666666666,0.6666666666666666,2.3333333333333335,0.3333333333333333,1.0,2.0,1.6666666666666667,2.6666666666666665,1.0,1.3333333333333333,1.0,2.3333333333333335,2.0,2.3333333333333335,2.0,0.3333333333333333,2.6666666666666665,1.6666666666666667,0.6666666666666666,2.0,1.0,1.6666666666666667,1.0,2.3333333333333335
3,2.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,3.3333333333333335,1.0,0.3333333333333333,1.6666666666666667,1.6666666666666667,2.3333333333333335,0.6666666666666666,3.3333333333333335,0.6666666666666666,1.0,3.3333333333333335,0.0,1.0,2.0,2.3333333333333335,3.0,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.3333333333333333,3.0,2.3333333333333335,2.3333333333333335,2.0,4.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.0
4,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,5.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.3333333333333335,3.6666666666666665,1.0,2.3333333333333335,1.3333333333333333,1.0,4.0,0.0,1.6666666666666667,2.0,2.6666666666666665,3.3333333333333335,2.0,2.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,3.3333333333333335,2.6666666666666665,2.6666666666666665,3.3333333333333335,2.0,0.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,3.0
5,2.0,1.6666666666666667,1.0,1.6666666666666667,5.333333333333333,0.3333333333333333,0.6666666666666666,2.3333333333333335,2.3333333333333335,3.0,1.0,1.0,2.0,0.6666666666666666,2.3333333333333335,1.0,2.6666666666666665,2.3333333333333335,4.0,1.6666666666666667,2.3333333333333335,3.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,3.3333333333333335,2.3333333333333335,4.0,2.0,1.0,0.3333333333333333,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.3333333333333333,3.3333333333333335
6,2.0,1.3333333333333333,1.3333333333333333,1.0,4.0,0.0,1.0,2.3333333333333335,2.3333333333333335,3.0,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,2.3333333333333335,2.6666666666666665,3.6666666666666665,1.3333333333333333,2.0,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,3.0,2.3333333333333335,2.6666666666666665,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.3333333333333335,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.6666666666666665
7,1.6666666666666667,2.6666666666666665,2.0,1.0,3.0,0.0,0.6666666666666666,3.3333333333333335,3.0,1.3333333333333333,1.3333333333333333,2.0,1.0,1.6666666666666667,2.3333333333333335,1.0,2.3333333333333335,3.0,2.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,2.0,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.0,1.0,0.3333333333333333,2.3333333333333335
8,1.0,3.0,1.6666666666666667,1.3333333333333333,4.0,0.0,1.0,3.0,2.0,1.6666666666666667,1.3333333333333333,3.6666666666666665,0.6666666666666666,1.6666666666666667,3.6666666666666665,0.0,2.0,2.0,2.0,2.0,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,1.6666666666666667,2.0,0.6666666666666666,0.6666666666666666,2.0,1.6666666666666667,1.0,1.0,2.0
9,1.0,3.3333333333333335,2.0,1.0,4.0,0.3333333333333333,1.6666666666666667,3.0,2.6666666666666665,2.0,1.3333333333333333,3.3333333333333335,1.0,1.6666666666666667,4.0,0.0,2.3333333333333335,2.0,1.6666666666666667,2.0,1.0,2.0,1.0,1.3333333333333333,0.6666666666666666,1.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.6666666666666667
